date,pm10,o3,no2,so2,co,city,pm25
2023-1-2, 23, 18,, 3,,bielsko biała,
2023-1-3, 25, 27, 7, 2,,bielsko biała,
2023-1-4, 19, 24, 4, 1,,bielsko biała,
2023-1-5, 9, 20, 3, 1,,bielsko biała,
2023-1-6, 13, 17,, 2,,bielsko biała,
2023-1-7, 11,,,,,bielsko biała,
2022-10-1, 21, 24,, 1,,bielsko biała,
2022-10-2, 11, 18,, 1,,bielsko biała,
2022-10-3, 11, 18,, 1,,bielsko biała,
2022-10-4, 16, 25,, 1,,bielsko biała,
2022-10-5, 15, 29,, 1,,bielsko biała,
2022-10-6, 15, 26,, 1,,bielsko biała,
2022-10-7, 20, 30,,,,bielsko biała,
2022-10-8, 25, 22,, 1,,bielsko biała,
2022-10-9, 20, 30,,,,bielsko biała,
2022-10-10, 19, 16,, 1,,bielsko biała,
2022-10-11, 29, 21,, 1,,bielsko biała,
2022-10-12, 27, 18,, 1,,bielsko biała,
2022-10-13, 33, 29,, 1,,bielsko biała,
2022-10-14, 28, 32,, 2,,bielsko biała,
2022-10-15, 23, 29,, 2,,bielsko biała,
2022-10-16, 18, 27,, 1,,bielsko biała,
2022-10-17, 19, 31,, 2,,bielsko biała,
2022-10-18, 19, 21,, 1,,bielsko biała,
2022-10-19, 14, 19,, 1,,bielsko biała,
2022-10-20, 24, 26,, 2,,bielsko biała,
2022-10-21, 20, 16,, 2,,bielsko biała,
2022-10-22, 30, 21,, 1,,bielsko biała,
2022-10-23, 14, 23,, 1,,bielsko biała,
2022-10-24, 15, 23,, 2,,bielsko biała,
2022-10-25, 13, 21,, 1,,bielsko biała,
2022-10-26, 18, 20,,,,bielsko biała,
2022-10-27, 22, 16,,,,bielsko biała,
2022-10-28, 21, 14,, 1,,bielsko biała,
2022-10-29, 22, 16,, 2,,bielsko biała,
2022-10-30, 24, 15,, 2,,bielsko biała,
2022-10-31, 32, 10,, 1,,bielsko biała,
2022-11-1, 23, 22,, 3,,bielsko biała,
2022-11-2, 19, 26,, 3,,bielsko biała,
2022-11-3, 22, 29,, 2,,bielsko biała,
2022-11-4, 18, 19,, 1,,bielsko biała,
2022-11-5, 15, 12,, 2,,bielsko biała,
2022-11-6, 28, 21,, 1,,bielsko biała,
2022-11-7, 16, 23,, 1,,bielsko biała,
2022-11-8, 14, 22,, 2,,bielsko biała,
2022-11-9, 21, 10,, 2,,bielsko biała,
2022-11-10, 25, 17,, 2,,bielsko biała,
2022-11-11, 31, 13,, 3,,bielsko biała,
2022-11-12, 34, 11,, 2,,bielsko biała,
2022-11-13, 49, 7,, 2,,bielsko biała,
2022-11-14, 45, 8,, 4,,bielsko biała,
2022-11-15, 46, 8,, 3,,bielsko biała,
2022-11-16, 34, 7,, 2,,bielsko biała,
2022-11-17, 16, 12,, 2,,bielsko biała,
2022-11-18, 25, 13,, 5,,bielsko biała,
2022-11-19, 31, 7,, 6,,bielsko biała,
2022-11-20, 47, 15,, 2,,bielsko biała,
2022-11-21, 17, 17,, 3,,bielsko biała,
2022-11-22, 18, 2,, 3,,bielsko biała,
2022-11-23, 47, 5,, 3,,bielsko biała,
2022-11-24, 45, 7,, 3,,bielsko biała,
2022-11-25, 38, 7,, 2,,bielsko biała,
2022-11-26, 28, 8,, 2,,bielsko biała,
2022-11-27, 33, 9,, 3,,bielsko biała,
2022-11-28, 34, 10,, 4,,bielsko biała,
2022-11-29, 48, 9,, 3,,bielsko biała,
2022-11-30, 44, 8,, 4,,bielsko biała,
2022-12-1, 30, 8,, 4,,bielsko biała,
2022-12-2, 36, 1,, 6,,bielsko biała,
2022-12-3, 64, 2,, 5,,bielsko biała,
2022-12-4, 52,,, 4,,bielsko biała,
2022-12-5, 48,,, 2,,bielsko biała,
2022-12-6, 34, 20,, 2,,bielsko biała,
2022-12-7, 12, 24,, 1,,bielsko biała,
2022-12-8, 11, 13,, 5,,bielsko biała,
2022-12-9, 36, 5,, 3,,bielsko biała,
2022-12-10, 29, 18,, 3,,bielsko biała,
2022-12-11, 20, 16,, 4,,bielsko biała,
2022-12-12, 20, 15,, 5,,bielsko biała,
2022-12-13, 32, 9,, 10,,bielsko biała,
2022-12-14, 56, 4,, 10,,bielsko biała,
2022-12-15, 54, 2,, 9,,bielsko biała,
2022-12-16, 56, 6,, 6,,bielsko biała,
2022-12-17, 57, 19,, 7,,bielsko biała,
2022-12-18, 52, 30,, 6,,bielsko biała,
2022-12-19, 27, 26,, 7,,bielsko biała,
2022-12-20, 37, 14,, 7,,bielsko biała,
2022-12-21, 43, 22,, 2,,bielsko biała,
2022-12-22, 14, 20,, 2,,bielsko biała,
2022-12-23, 10, 23,, 2,,bielsko biała,
2022-12-24, 12, 23,, 3,,bielsko biała,
2022-12-25, 19, 25,, 1,,bielsko biała,
2022-12-26, 11, 25,, 2,,bielsko biała,
2022-12-27, 11, 29,, 1,,bielsko biała,
2022-12-28, 11, 28,, 1,,bielsko biała,
2022-12-29, 13, 20,, 3,,bielsko biała,
2022-12-30, 25, 26,,,,bielsko biała,
2022-12-31, 8, 26,, 1,,bielsko biała,
2023-1-1, 13, 20,, 2,,bielsko biała,
2022-9-26, 18, 20,, 1,,bielsko biała,
2022-9-27, 14, 28,, 2,,bielsko biała,
