date, pm25, pm10, o3, no2, so2, co
2016/4/8, 98, , 20, 9, 3, 
2016/4/18, 59, , 29, 5, 2, 
2016/4/23, 93, 54, 33, 7, 3, 5
2016/4/24, 139, , 30, 4, 3, 
2016/5/1, 122, 14, 34, 3, 1, 2
2016/5/2, 59, , 30, 3, 1, 
2016/5/22, 77, 27, 37, 7, 1, 2
2016/5/23, 62, , 34, 6, 5, 
2016/5/25, 53, , 34, 4, 2, 
2016/5/28, 67, , 37, 5, 3, 
2016/1/6, 160, , 9, 7, 3, 
2016/1/12, 98, , 13, 7, 4, 
2016/1/14, 43, , 26, 6, 3, 
2016/1/24, 230, 41, 10, 12, 5, 3
2016/1/25, 112, , 12, 12, 4, 
2016/1/28, 100, , 9, 8, 3, 
2016/1/31, 59, 22, 22, 4, 2, 5
2016/2/1, 73, 22, 16, 9, 3, 2
2016/2/2, 81, 10, 14, 6, 3, 1
2016/2/3, 42, , 24, 5, 3, 
2016/2/9, 70, , 21, 5, 3, 
2016/2/12, 73, 24, 13, 8, 3, 2
2016/2/13, 80, , 16, 6, 7, 
2016/2/17, 71, , 13, 4, 5, 
2016/2/28, 96, , 19, 7, 3, 
2016/3/4, 84, , 16, 4, 2, 
2016/3/10, 56, 33, 14, 3, 1, 3
2016/3/11, 95, , 25, 3, 2, 
2016/3/14, 79, , 26, 5, 2, 
2016/3/17, 107, , 22, 5, 2, 
2016/3/20, 78, , 20, 4, 3, 
2016/3/23, 59, 20, 28, 3, 2, 3
2016/3/24, 71, , 28, 9, 3, 
2016/3/31, 60, , 25, 7, 2, 
2015/10/18, 62, , 21, 5, 2, 
2015/10/31, 115, , 18, 9, 2, 
2015/11/4, 173, 49, 16, 12, 4, 4
2015/11/5, 134, , 13, 6, 2, 
2015/11/23, 101, 27, 11, 10, 2, 2
2015/11/24, 95, 42, 13, 10, 2, 4
2015/11/25, 112, , 14, 7, 4, 
2015/12/3, 98, 32, 9, 11, 2, 4
2015/12/4, 96, , 15, 9, 2, 
2015/12/14, 43, 108, 23, 12, 3, 21
2015/12/15, 211, , 13, 11, 3, 
2015/7/5, 81, , 51, 9, 1, 
2015/7/9, 51, , 36, 3, 1, 
2015/8/2, 66, , 45, 4, 1, 
2015/8/5, 82, , 58, 5, 3, 
2015/8/11, 63, 48, 61, 4, 1, 4
2015/8/12, 101, , 68, 8, 4, 
2015/9/10, 55, , 27, 6, , 
2015/9/24, 86, , 34, 7, 1, 
2015/4/3, 73, , 22, 1, 1, 
2015/4/11, 127, , 56, , 4, 
2015/4/15, 66, 22, 28, 6, 1, 1
2015/4/16, 64, , 42, , 1, 
2015/4/18, 47, , 28, , 1, 
2015/4/21, 55, 23, 31, , 1, 
2015/4/22, 67, , 37, , 1, 
2015/5/3, 79, , 46, , 1, 
2015/5/10, 82, , 43, , 1, 
2015/5/13, 52, , 48, , 1, 
2015/5/17, 67, , 36, , 1, 
2015/5/19, 79, , 33, , 4, 
2015/5/21, 48, , 30, , 2, 
2015/5/26, 37, , 41, , 1, 
2015/6/3, 69, 17, 62, 1, 1, 
2015/6/4, 52, , 47, 6, , 
2015/6/11, 59, , 42, , 1, 
2015/6/15, 77, , 31, 1, 1, 
2015/6/19, 79, 16, 29, 6, , 2
2015/6/20, 61, , 33, , , 
2015/1/7, 109, , 23, , 4, 
2015/1/14, 78, , 17, , 4, 
2015/2/19, 114, , 13, , 3, 
2015/3/3, 64, , 23, 3, 2, 
2015/3/5, 82, , 16, 2, 4, 
2015/3/8, 138, , 29, , 6, 
2015/3/15, 61, , 20, 7, 2, 
2015/3/25, 112, , 30, , 5, 
2015/3/28, 57, , 21, 2, 1, 
2015/3/30, 56, , 27, , 2, 
2014/11/12, 121, , 9, 7, 3, 
2014/11/23, 120, 23, 11, 5, 1, 1
2014/11/24, 83, , 16, 6, 1, 
2014/9/20, 99, , 26, 4, 2, 
