date, pm25, no2, so2, co
2023/1/2, 59, 3, , 
2023/1/3, 40, 3, , 
2023/1/4, 44, 3, , 
2023/1/5, 27, 1, , 
2023/1/6, 43, 1, , 
2023/1/7, 44, , , 
2022/11/15, 59, 5, , 
2022/11/16, 43, 3, , 
2022/11/17, 40, 4, , 
2022/11/18, 47, 4, , 
2022/11/19, 63, 6, , 
2022/11/20, 63, 2, , 
2022/11/21, 82, 6, , 
2022/11/22, 71, 7, , 
2022/11/23, 40, 3, , 
2022/11/24, 53, 6, , 
2022/11/25, 62, 6, , 
2022/11/26, 73, 6, , 
2022/11/27, 83, 5, , 
2022/11/28, 81, 5, , 
2022/11/29, 49, 3, , 
2022/11/30, 42, 3, , 
2022/12/1, 66, 4, , 
2022/12/2, 67, 3, , 
2022/12/3, 72, 4, , 
2022/12/4, 64, 2, , 
2022/12/5, 58, 2, , 
2022/12/6, 51, 3, , 
2022/12/7, 45, 5, , 
2022/12/8, 54, 5, , 
2022/12/9, 98, 8, , 
2022/12/10, 66, 5, , 
2022/12/11, 51, 3, , 
2022/12/12, 42, 4, , 
2022/12/13, 44, 4, , 
2022/12/14, 91, 8, , 
2022/12/15, 84, 9, , 
2022/12/16, 87, 7, , 
2022/12/17, 73, 5, , 
2022/12/18, 80, 4, , 
2022/12/19, 76, 3, 2, 
2022/12/20, 78, 8, 4, 
2022/12/21, 98, 10, 2, 
2022/12/22, 79, 7, 1, 
2022/12/23, 66, 6, 1, 
2022/12/24, 59, 4, , 
2022/12/25, 50, 1, , 
2022/12/26, 54, 2, 1, 
2022/12/27, 44, 2, , 
2022/12/28, 47, 3, , 
2022/12/29, 53, 3, , 
2022/12/30, 59, 5, , 
2022/12/31, 61, 2, , 
2023/1/1, 53, 1, , 
2022/7/1, 42, 1, , 
2022/7/2, 45, 1, 1, 
2022/7/3, 27, 3, 1, 
2022/7/4, 33, 3, 1, 
2022/7/5, 41, 3, 1, 
2022/7/6, 24, 3, , 
2022/7/7, 25, 3, 1, 
2022/7/8, 29, 1, , 
2022/7/9, 24, 1, , 
2022/7/10, 25, 3, , 
2022/7/11, 18, 2, 1, 
2022/7/12, 19, 3, , 
2022/7/13, 15, 3, , 
2022/7/14, 24, 4, , 
2022/7/15, 25, 2, , 
2022/7/16, 27, 2, , 
2022/7/17, 21, 4, , 
2022/7/18, 28, 3, , 
2022/7/19, 24, 5, , 
2022/7/20, 36, 8, 1, 
2022/7/21, 33, 6, 1, 
2022/7/22, 50, 3, , 
2022/7/23, 49, 1, , 
2022/7/24, 29, 2, , 
2022/7/25, 20, 1, , 
2022/7/26, 26, 3, , 
2022/7/27, 20, 5, , 
2022/7/28, 28, 3, , 
2022/7/29, 21, 1, 1, 
2022/7/30, 27, 2, , 
2022/7/31, 30, 5, , 
2022/8/1, 16, 7, , 
2022/8/2, 31, 7, , 
2022/8/3, 38, 7, , 
2022/8/4, 38, 5, 1, 
2022/8/5, 42, 3, , 
2022/8/6, 39, 4, , 
2022/8/7, 18, 4, , 
2022/8/8, 22, 4, , 
2022/8/9, 20, 5, , 
2022/8/10, 23, 5, , 
2022/8/11, 32, 3, 1, 
2022/8/12, 36, 2, 1, 
2022/8/13, 36, 1, 1, 
2022/8/14, 38, 2, , 
