date, pm10, o3, no2, so2, co
2023/1/2, 23, 18, , 3, 
2023/1/3, 25, 27, 7, 2, 
2023/1/4, 19, 24, 4, 1, 
2023/1/5, 9, 20, 3, 1, 
2023/1/6, 13, 17, , 2, 
2023/1/7, 11, , , , 
2022/10/1, 21, 24, , 1, 
2022/10/2, 11, 18, , 1, 
2022/10/3, 11, 18, , 1, 
2022/10/4, 16, 25, , 1, 
2022/10/5, 15, 29, , 1, 
2022/10/6, 15, 26, , 1, 
2022/10/7, 20, 30, , , 
2022/10/8, 25, 22, , 1, 
2022/10/9, 20, 30, , , 
2022/10/10, 19, 16, , 1, 
2022/10/11, 29, 21, , 1, 
2022/10/12, 27, 18, , 1, 
2022/10/13, 33, 29, , 1, 
2022/10/14, 28, 32, , 2, 
2022/10/15, 23, 29, , 2, 
2022/10/16, 18, 27, , 1, 
2022/10/17, 19, 31, , 2, 
2022/10/18, 19, 21, , 1, 
2022/10/19, 14, 19, , 1, 
2022/10/20, 24, 26, , 2, 
2022/10/21, 20, 16, , 2, 
2022/10/22, 30, 21, , 1, 
2022/10/23, 14, 23, , 1, 
2022/10/24, 15, 23, , 2, 
2022/10/25, 13, 21, , 1, 
2022/10/26, 18, 20, , , 
2022/10/27, 22, 16, , , 
2022/10/28, 21, 14, , 1, 
2022/10/29, 22, 16, , 2, 
2022/10/30, 24, 15, , 2, 
2022/10/31, 32, 10, , 1, 
2022/11/1, 23, 22, , 3, 
2022/11/2, 19, 26, , 3, 
2022/11/3, 22, 29, , 2, 
2022/11/4, 18, 19, , 1, 
2022/11/5, 15, 12, , 2, 
2022/11/6, 28, 21, , 1, 
2022/11/7, 16, 23, , 1, 
2022/11/8, 14, 22, , 2, 
2022/11/9, 21, 10, , 2, 
2022/11/10, 25, 17, , 2, 
2022/11/11, 31, 13, , 3, 
2022/11/12, 34, 11, , 2, 
2022/11/13, 49, 7, , 2, 
2022/11/14, 45, 8, , 4, 
2022/11/15, 46, 8, , 3, 
2022/11/16, 34, 7, , 2, 
2022/11/17, 16, 12, , 2, 
2022/11/18, 25, 13, , 5, 
2022/11/19, 31, 7, , 6, 
2022/11/20, 47, 15, , 2, 
2022/11/21, 17, 17, , 3, 
2022/11/22, 18, 2, , 3, 
2022/11/23, 47, 5, , 3, 
2022/11/24, 45, 7, , 3, 
2022/11/25, 38, 7, , 2, 
2022/11/26, 28, 8, , 2, 
2022/11/27, 33, 9, , 3, 
2022/11/28, 34, 10, , 4, 
2022/11/29, 48, 9, , 3, 
