date, pm25, pm10, o3, no2, so2, co
2023/1/2, 51, 6, 29, 6, 1, 
2023/1/3, 24, 12, , , , 
2023/1/4, 45, 4, 18, 6, 1, 1
2023/1/5, 16, , , , , 
2022/10/1, 73, 7, 21, 3, 1, 2
2022/10/2, 30, 9, 25, 3, 1, 2
2022/10/3, 36, 9, 21, 7, 1, 2
2022/10/4, 30, 17, 15, 11, 1, 2
2022/10/5, 52, 15, 26, 7, 1, 2
2022/10/6, 42, 15, 27, 12, 2, 2
2022/10/7, 41, 20, 26, 11, 2, 3
2022/10/8, 58, 9, 24, 7, 2, 2
2022/10/9, 29, 18, 22, 10, 2, 2
2022/10/10, 58, 13, 25, 5, 2, 2
2022/10/11, 39, 12, 24, 9, 2, 2
2022/10/12, 36, 22, 24, 13, 2, 2
2022/10/13, 62, 45, 11, 17, 2, 4
2022/10/14, 110, 38, 13, 11, 2, 3
2022/10/15, 104, 21, 13, 6, 2, 2
2022/10/16, 67, 22, 19, 12, 2, 3
2022/10/17, 62, 12, 22, 7, 1, 2
2022/10/18, 37, 6, 23, 5, 1, 1
2022/10/19, 21, 10, 22, 11, 1, 2
2022/10/20, 32, 24, 10, 13, 1, 2
2022/10/21, 73, 29, 15, 9, 1, 3
2022/10/22, 86, 16, 19, 9, 1, 4
2022/10/23, 55, 26, 7, 10, 1, 3
2022/10/24, 78, 15, 24, 6, 1, 2
2022/10/25, 50, 14, 22, 8, , 2
2022/10/26, 48, 25, 12, 12, , 4
2022/10/27, 70, 29, 11, 11, , 4
2022/10/28, 82, 18, 24, 5, , 2
2022/10/29, 51, 16, 20, 11, , 4
2022/10/30, 51, 29, 6, 11, , 4
2022/10/31, 82, 11, 9, 6, , 3
2022/11/1, 46, 16, 18, 7, , 2
2022/11/2, 53, 13, 19, 8, , 2
2022/11/3, 39, 17, 15, 8, 1, 2
2022/11/4, 56, 13, 18, 8, , 2
2022/11/5, 49, 12, 20, 4, 1, 2
2022/11/6, 45, 18, 13, 8, 1, 2
2022/11/7, 63, 13, 13, 8, 1, 2
2022/11/8, 47, 19, 13, 9, 1, 2
2022/11/9, 63, 13, 18, 8, 1, 2
2022/11/10, 48, 13, 20, 4, 1, 2
2022/11/11, 49, 10, 22, 4, 1, 2
2022/11/12, 41, 12, 17, 7, 1, 2
2022/11/13, 44, 16, 18, 5, 1, 2
2022/11/14, 58, 24, 13, 11, 1, 3
2022/11/15, 75, 14, 13, 8, 4, 2
2022/11/16, 39, 18, 15, 9, 2, 1
2022/11/17, 46, 18, 16, 8, 4, 1
2022/11/18, 36, 16, 15, 5, , 2
2022/11/19, 60, 30, 11, 8, 1, 3
2022/11/20, 93, 34, 8, 12, 1, 3
2022/11/21, 106, 42, 11, 12, 1, 4
2022/11/22, 122, 24, 12, 6, , 2
