date, pm25, pm10, o3, no2, so2, co
2023/1/2, 48, 11, 26, 6, 1, 
2023/1/3, 31, 13, 19, 7, 2, 
2023/1/4, 44, 4, 24, 2, 3, 
2023/1/5, 10, 10, 12, 6, 2, 
2023/1/6, 38, 11, 3, 9, 2, 
2023/1/7, 48, , , , , 
2022/10/1, 47, 6, 19, 2, 2, 
2022/10/2, 18, 7, 18, 3, 2, 
2022/10/3, 16, 10, 17, 6, 2, 
2022/10/4, 27, 17, 9, 12, 3, 
2022/10/5, 46, 12, 25, 9, 2, 
2022/10/6, 31, 23, 17, 15, 2, 
2022/10/7, 58, 17, 19, 7, 2, 
2022/10/8, 49, 11, 15, 6, 1, 
2022/10/9, 34, 19, 10, 10, 2, 
2022/10/10, 55, 17, 22, 8, 2, 
2022/10/11, 45, 25, 14, 12, 1, 
2022/10/12, 65, 26, 10, 11, 2, 
2022/10/13, 68, 31, 9, 12, 2, 
2022/10/14, 84, 20, 5, 8, 3, 
2022/10/15, 64, 12, 11, 7, 2, 
2022/10/16, 37, 23, 5, 11, 2, 
2022/10/17, 66, 19, 5, 8, 2, 
2022/10/18, 57, 10, 16, 6, 1, 
2022/10/19, 25, 16, 17, 6, 1, 
2022/10/20, 48, 21, 9, 9, 2, 
2022/10/21, 64, 20, 3, 7, 2, 
2022/10/22, 66, 15, 10, 6, 2, 
2022/10/23, 52, 18, 5, 11, 3, 
2022/10/24, 47, 12, 15, 9, 2, 
2022/10/25, 34, 19, 3, 12, 2, 
2022/10/26, 51, 24, 3, 10, 2, 
2022/10/27, 69, 28, 2, 12, 2, 
2022/10/28, 71, 25, 13, 9, 2, 
2022/10/29, 63, 33, 3, 7, 2, 
2022/10/30, 85, 34, 1, 7, 2, 
2022/10/31, 93, 23, 4, 6, 2, 
2022/11/1, 69, 12, 16, 8, 2, 
2022/11/2, 36, 16, 12, 10, 2, 
2022/11/3, 48, 23, 10, 8, 3, 
2022/11/4, 68, 14, 17, 5, 3, 
2022/11/5, 41, 18, 10, 8, 2, 
2022/11/6, 58, 17, 7, 11, 3, 
2022/11/7, 51, 16, 9, 13, 2, 
2022/11/8, 46, 19, 4, 13, 3, 
2022/11/9, 61, 14, 18, 9, 2, 
2022/11/10, 41, 15, 12, 7, 1, 
2022/11/11, 45, 27, 5, 10, 1, 
2022/11/12, 77, 23, 17, 4, 2, 
2022/11/13, 73, 35, 12, 6, 2, 
2022/11/14, 100, 26, 4, 7, 2, 
2022/11/15, 82, 16, 10, 4, 3, 
2022/11/16, 54, 13, 13, 3, 3, 
2022/11/17, 46, 21, 16, 7, 2, 
2022/11/18, 63, 21, 9, 8, 2, 
2022/11/19, 71, 18, 10, 6, 3, 
2022/11/20, 64, 21, 12, 9, 3, 
2022/11/21, 72, 30, 19, 7, 3, 
2022/11/22, 93, 45, 2, 9, 3, 
2022/11/23, 129, 46, 2, 7, 3, 
2022/11/24, 134, 27, 1, 7, 3, 
2022/11/25, 84, 26, , 6, 2, 
2022/11/26, 82, 23, 11, 6, 2, 
2022/11/27, 76, 30, 11, 7, 2, 
2022/11/28, 86, 36, 6, 7, 2, 
2022/11/29, 100, 42, 9, 7, 2, 
2022/11/30, 118, 31, 11, 7, 2, 
2022/12/1, 90, 27, 15, 5, 2, 
2022/12/2, 79, 35, 10, 5, 2, 
2022/12/3, 100, 42, 5, 5, 2, 
2022/12/4, 123, 31, 6, 6, 2, 
2022/12/5, 92, 21, 2, 5, 3, 
2022/12/6, 69, 7, 21, 5, 3, 
2022/12/7, 30, 16, 12, 11, 3, 
2022/12/8, 55, 19, 20, 11, 3, 
2022/12/9, 65, 17, 19, 5, 3, 
2022/12/10, 57, 19, 19, 5, 4, 
2022/12/11, 66, 9, 15, 5, 4, 
2022/12/12, 36, 17, 15, 8, 3, 
2022/12/13, 48, 42, 6, 12, 3, 
2022/12/14, 114, 62, 3, 13, 3, 
2022/12/15, 157, 49, 5, 12, 3, 
2022/12/16, 138, 40, 10, 8, 2, 
2022/12/17, 119, 25, 16, 7, 1, 
2022/12/18, 83, 41, 11, 13, 2, 
2022/12/19, 120, 25, 9, 15, 3, 
2022/12/20, 80, 28, 6, 12, 3, 
2022/12/21, 88, 18, 10, 11, 3, 
2022/12/22, 62, 22, 4, 13, 3, 
2022/12/23, 73, 17, 13, 7, 3, 
2022/12/24, 63, 17, 12, 6, 2, 
2022/12/25, 62, 9, 31, 4, 3, 
2022/12/26, 34, 9, 27, 5, 2, 
2022/12/27, 29, 10, 15, 10, 2, 
2022/12/28, 36, 8, 16, 10, 3, 
2022/12/29, 27, 10, 21, 9, 3, 
2022/12/30, 28, 4, 19, 4, 3, 
2022/12/31, 14, 16, 20, 5, 3, 
2023/1/1, 43, 19, 27, 11, 3, 
2022/7/1, 49, 9, 29, 4, 3, 
2022/7/2, 25, 11, 35, 3, 3, 
2022/7/3, 34, 11, 28, 5, 3, 
2022/7/4, 32, 11, 29, 5, 3, 
2022/7/5, 24, 8, 25, 4, 3, 
2022/7/6, 16, 7, 17, 6, 3, 
2022/7/7, 21, 11, 18, 3, 3, 
2022/7/8, 24, 7, 18, 3, 3, 
2022/7/9, 17, 7, 21, 1, 2, 
2022/7/10, 14, 7, 20, 3, 3, 
2022/7/11, 11, 8, 24, 4, 3, 
2022/7/12, 13, 10, 36, 6, 3, 
2022/7/13, 17, 9, 25, 3, 3, 
2022/7/14, 17, 8, 27, 2, 3, 
2022/7/15, 12, 7, 23, 3, 3, 
2022/7/16, 14, 6, 25, 2, 3, 
2022/7/17, 14, 10, 29, 8, 3, 
2022/7/18, 25, 16, 51, 9, 3, 
2022/7/19, 35, 21, 62, 7, 3, 
2022/7/20, 50, 25, 63, 6, 3, 
2022/7/21, 55, 14, 32, 4, 3, 
2022/7/22, 40, 10, 21, 3, 3, 
2022/7/23, 31, 6, 31, 4, 3, 
2022/7/24, 15, 15, 48, 10, 3, 
