date, pm25, pm10, o3, no2, so2, co
2021/4/1, 105, 18, 31, 5, 1, 
2021/4/2, 55, 12, 31, 4, 2, 
2021/4/3, 43, 17, 33, 5, 2, 
2021/4/4, 56, 15, 33, 4, 1, 
2021/4/5, 46, 12, 29, 4, , 
2021/4/6, 33, 12, 30, 5, 1, 
2021/4/7, 41, 15, 26, 5, 1, 
2021/4/8, 49, 23, 36, 7, 1, 
2021/4/9, 64, 44, 27, 10, 4, 
2021/4/10, 112, 33, 42, 6, 5, 
2021/4/11, 80, 17, 26, 6, 1, 
2021/4/12, 55, 11, 32, 4, 1, 
2021/4/13, 39, 11, 31, 4, 1, 
2021/4/14, 40, 8, 26, 4, 1, 
2021/4/15, 33, 15, 26, 5, 1, 
2021/4/16, 53, 32, 20, 5, 2, 
2021/4/17, 87, 34, 28, 7, 3, 
2021/4/18, 100, 29, 42, 7, 4, 
2021/4/19, 83, 37, 41, 10, 5, 
2021/4/20, 101, 33, 44, 8, 2, 
2021/4/21, 87, 16, 33, 3, , 
2021/4/22, 40, 15, 32, 4, 1, 
2021/4/23, 45, 16, 35, 4, 2, 
2021/4/24, 47, 10, 34, 3, 1, 
2021/4/25, 27, 18, 33, 7, 5, 
2021/4/26, 47, 35, 35, 9, 8, 
2021/4/27, 84, 34, 45, 9, 7, 
2021/4/28, 81, 39, 35, 8, 3, 
2021/4/29, 76, 22, 36, 6, 1, 
2021/4/30, 65, 28, 29, 6, 4, 
2021/5/1, 84, 13, 33, 3, 1, 
2021/5/2, 44, 8, 34, 3, 1, 
2021/5/3, 30, 16, 40, 7, 2, 
2021/5/4, 49, 15, 33, 5, 1, 
2021/5/5, 29, 19, 35, 5, 1, 
2021/5/6, 40, 10, 33, 4, 2, 
2021/5/7, 38, 15, 36, 3, 1, 
2021/5/8, 46, 16, 43, 4, 1, 
2021/5/9, 50, 20, 46, 5, 2, 
2021/5/10, 40, 24, 50, 5, 1, 
2021/5/11, 45, 26, 56, 6, 3, 
2021/5/12, 53, 26, 48, 6, 1, 
2021/5/13, 52, 18, 27, 4, , 
2021/5/14, 53, 12, 40, 4, , 
2021/5/15, 33, 10, 34, 4, , 
2021/5/16, 34, 10, 32, 6, 1, 
2021/5/17, 33, 9, 30, 3, 1, 
2021/5/18, 30, 11, 41, 3, , 
2021/5/19, 36, , , , , 
2021/1/4, 135, 20, 5, 7, 2, 
2021/1/5, 69, 30, 7, 7, 2, 
2021/1/6, 92, 28, 9, 8, 2, 
2021/1/7, 82, 45, 7, 14, 4, 
2021/1/8, 120, 31, 7, 7, 2, 
2021/1/9, 91, 27, 9, 6, 2, 
2021/1/10, 85, 28, 14, 8, 2, 
2021/1/11, 87, 19, 17, 7, 2, 
2021/1/12, 64, 13, 25, 5, 1, 
2021/1/13, 47, 25, 18, 7, 4, 
2021/1/14, 78, 28, 21, 9, 4, 
2021/1/15, 87, 16, 25, 3, 2, 
2021/1/16, 57, 75, 18, 13, 10, 
2021/1/17, 165, 101, 14, 16, 5, 
2021/1/18, 212, 29, 20, 10, 4, 
2021/1/19, 88, 18, 19, 10, 4, 
2021/1/20, 62, 21, 19, 10, 1, 
2021/1/21, 69, 18, 20, 9, 1, 
