date, pm25, pm10, o3, no2, so2, co
2023/1/2, 64, 22, 16, 12, 3, 
2023/1/3, 61, 25, 21, 11, 2, 
2023/1/4, 68, 5, 20, 4, 1, 
2023/1/5, 13, 11, 17, 4, 2, 
2023/1/6, 37, 22, 7, 11, 1, 
2023/1/7, 66, , , , , 
2022/10/1, 61, 7, 23, 3, 1, 
2022/10/2, 20, 7, 16, 4, 1, 
2022/10/3, 19, 9, 20, 6, 1, 
2022/10/4, 24, 17, 18, 8, 1, 
2022/10/5, 45, 15, 20, 8, 2, 
2022/10/6, 36, 25, 22, 13, 1, 
2022/10/7, 62, 31, 26, 8, 1, 
2022/10/8, 78, 14, 20, 6, 2, 
2022/10/9, 39, 21, 19, 13, 1, 
2022/10/10, 52, 18, 17, 11, 2, 
2022/10/11, 48, 34, 18, 15, 2, 
2022/10/12, 81, 37, 18, 16, 2, 
2022/10/13, 90, 37, 19, 14, 2, 
2022/10/14, 86, 30, 26, 9, 2, 
2022/10/15, 75, 21, 21, 7, 2, 
2022/10/16, 58, 26, 22, 13, 2, 
2022/10/17, 63, 20, 31, 10, 3, 
2022/10/18, 48, 12, 18, 7, 1, 
2022/10/19, 35, 16, 16, 12, 3, 
2022/10/20, 45, 25, 17, 15, 3, 
2022/10/21, 65, 22, 18, 7, 4, 
2022/10/22, 62, 21, 17, 9, 2, 
2022/10/23, 62, 20, 14, 9, 2, 
2022/10/24, 56, 17, 10, 11, 1, 
2022/10/25, 52, 21, 17, 13, 2, 
2022/10/26, 54, 31, 11, 12, 2, 
2022/10/27, 79, 25, 16, 10, 1, 
2022/10/28, 68, 16, 10, 6, 1, 
2022/10/29, 49, 25, 10, 9, 2, 
2022/10/30, 65, 27, 7, 14, 2, 
2022/10/31, 66, 25, 9, 7, , 
2022/11/1, 69, 22, 13, 11, 1, 
2022/11/2, 61, 24, 16, 15, 1, 
2022/11/3, 60, 26, 10, 19, 2, 
2022/11/4, 63, 14, 17, 5, , 
2022/11/5, 45, 20, 14, 9, 1, 
2022/11/6, 60, 16, 14, 10, 1, 
2022/11/7, 51, 18, 15, 14, 2, 
2022/11/8, 50, 23, 17, 9, 3, 
2022/11/9, 67, 25, 11, 12, 2, 
2022/11/10, 70, 27, 11, 11, 1, 
2022/11/11, 73, 29, 12, 13, 2, 
2022/11/12, 78, 31, 9, 11, 3, 
2022/11/13, 82, 26, 2, 14, 1, 
2022/11/14, 69, 37, 7, 16, 3, 
2022/11/15, 92, 33, 4, 13, 3, 
2022/11/16, 90, 9, 5, 6, 1, 
2022/11/17, 28, 20, 13, 6, 1, 
2022/11/18, 61, 30, 9, 10, 4, 
2022/11/19, 82, 50, 4, 12, 5, 
2022/11/20, 129, 31, 7, 13, 3, 
2022/11/21, 84, 41, 4, 16, 5, 
2022/11/22, 98, 31, 5, 12, 4, 
2022/11/23, 82, 33, 3, 11, 5, 
2022/11/24, 88, 47, 2, 15, 4, 
2022/11/25, 119, 34, 5, 12, 3, 
2022/11/26, 90, 26, 8, 11, 5, 
2022/11/27, 73, 34, 2, 15, 4, 
2022/11/28, 87, 42, 3, 18, 4, 
2022/11/29, 105, 30, 11, 10, 4, 
2022/11/30, 80, 20, 11, 7, 3, 
2022/12/1, 61, 22, 11, 7, 2, 
2022/12/2, 65, 40, 1, 10, 6, 
2022/12/3, 104, 35, 3, 9, 6, 
2022/12/4, 93, 39, 1, 12, 5, 
2022/12/5, 99, 36, , 12, 4, 
2022/12/6, 94, 18, 8, 9, 2, 
2022/12/7, 58, 21, 9, 13, 3, 
2022/12/8, 62, 31, 7, 16, 3, 
2022/12/9, 83, 24, 9, 7, 1, 
2022/12/10, 71, 26, 14, 5, 2, 
2022/12/11, 72, 27, 13, 9, 2, 
2022/12/12, 75, 22, 13, 12, 3, 
2022/12/13, 65, 45, 5, 21, 6, 
2022/12/14, 112, 53, 3, 20, 11, 
2022/12/15, 134, 43, 6, 14, 8, 
2022/12/16, 111, 47, 12, 9, 4, 
2022/12/17, 123, 41, 12, 14, 6, 
2022/12/18, 107, 43, 17, 22, 9, 
2022/12/19, 111, 26, 16, 9, 8, 
2022/12/20, 75, 27, 14, 10, 5, 
2022/12/21, 76, 19, 14, 10, 3, 
2022/12/22, 59, 15, 12, 10, 2, 
2022/12/23, 51, 16, 18, 7, 3, 
2022/12/24, 52, 24, 13, 11, 3, 
2022/12/25, 70, 20, 13, 7, 2, 
2022/12/26, 62, 9, 25, 5, 2, 
2022/12/27, 29, 13, 23, 9, 4, 
2022/12/28, 42, 15, 19, 8, 4, 
2022/12/29, 47, 29, 11, 13, 3, 
2022/12/30, 80, 16, 17, 5, 2, 
2022/12/31, 47, 15, 18, 5, 3, 
2023/1/1, 46, 22, 14, 12, 3, 
2022/9/26, 57, 20, 19, 10, 1, 
2022/9/27, 55, 10, 20, 8, 1, 
2022/9/28, 27, 13, 20, 13, 1, 
2022/9/29, 39, 22, 5, 12, 1, 
2022/9/30, 64, 21, 18, 7, 2, 
2021/7/1, 38, 12, 31, 6, 1, 
2021/7/2, 33, 21, 28, 6, 1, 
2021/7/3, 51, 17, 40, 11, 2, 
2021/7/4, 45, 20, 41, 14, 2, 
2021/7/5, 49, 17, 35, 11, 1, 
2021/7/6, 41, 22, 42, 10, 1, 
2021/7/7, 46, 28, 44, 9, 3, 
2021/7/8, 54, 23, 31, 8, 1, 
2021/7/9, 55, 7, 33, 5, , 
2021/7/10, 19, 16, 29, 5, 1, 
2021/7/11, 50, 14, 26, 9, 1, 
2021/7/12, 43, 20, 32, 11, 1, 
2021/7/13, 55, 30, 34, 12, , 
2021/7/14, 62, 19, 37, 8, , 
2021/7/15, 52, 23, 26, 8, , 
2021/7/16, 60, , , , , 
