date, pm10, no2, so2, co
2023/1/2, 17, 8, , 
2023/1/3, 20, 5, , 
2023/1/4, 12, 4, , 
2023/1/5, 11, 3, , 
2023/1/6, 11, 4, , 
2023/1/7, 14, , , 
2022/10/1, 17, 2, , 
2022/10/2, 9, 6, , 
2022/10/3, 11, 10, , 
2022/10/4, 14, 7, , 
2022/10/5, 18, 10, , 
2022/10/6, 20, 9, , 
2022/10/7, 21, 7, , 
2022/10/8, 19, 6, , 
2022/10/9, 14, 4, , 
2022/10/10, 15, 11, , 
2022/10/11, 19, 10, , 
2022/10/12, 24, 7, , 
2022/10/13, 22, 11, , 
2022/10/14, 33, 5, , 
2022/10/17, 19, 11, , 
2022/10/18, 21, 8, , 
2022/10/19, 16, 6, , 
2022/10/20, 14, 6, , 
2022/10/21, 19, 7, , 
2022/10/22, 27, 7, , 
2022/10/23, 21, 5, , 
2022/10/24, 19, 11, , 
2022/10/25, 20, 9, , 
2022/10/26, 22, 11, , 
2022/10/27, 29, 8, , 
2022/10/28, 23, 12, , 
2022/10/29, 32, 5, , 
2022/10/30, 19, 8, , 
2022/10/31, 17, 4, , 
2022/11/1, 18, 8, , 
2022/11/2, 18, 7, , 
2022/11/3, 15, 8, , 
2022/11/4, 23, 10, , 
2022/11/5, 28, 3, , 
2022/11/6, 16, 6, , 
2022/11/7, 17, 7, , 
2022/11/8, 16, 7, , 
2022/11/9, 14, 11, , 
2022/11/10, 20, 4, , 
2022/11/11, 17, 7, , 
2022/11/12, 24, 4, , 
2022/11/13, 11, 5, , 
2022/11/14, 22, 6, , 
2022/11/15, 33, 4, , 
2022/11/16, 11, 4, , 
2022/11/17, 9, 10, , 
2022/11/18, 20, 10, , 
2022/11/19, 29, 6, , 
2022/11/20, 24, 9, , 
2022/11/21, 19, 6, , 
2022/11/22, 27, 8, , 
2022/11/23, 67, 7, , 
2022/11/24, 35, 8, , 
2022/11/25, 31, 7, , 
2022/11/26, 33, 5, , 
2022/11/27, 20, 5, , 
2022/11/28, 20, 6, , 
2022/11/29, 33, 7, , 
2022/11/30, 39, 8, , 
2022/12/1, 32, 13, , 
2022/12/2, 27, 5, , 
2022/12/3, 26, 5, , 
2022/12/4, 34, 6, , 
2022/12/5, 26, 7, , 
2022/12/6, 23, 12, , 
2022/12/7, 10, 15, , 
2022/12/8, 24, 19, , 
2022/12/9, 29, 17, , 
2022/12/10, 33, 16, , 
2022/12/11, 39, 7, , 
2022/12/12, 10, 12, , 
2022/12/13, 12, 9, , 
2022/12/14, 28, 12, , 
2022/12/15, 53, 28, , 
2022/12/16, 91, 11, , 
2022/12/17, 44, 7, , 
2022/12/18, 36, 8, , 
2022/12/19, 32, 10, , 
2022/12/20, 22, 11, , 
2022/12/21, 22, 11, , 
2022/12/22, 17, 15, , 
2022/12/23, 22, 11, , 
2022/12/24, 24, 4, , 
2022/12/25, 19, 3, , 
2022/12/26, 8, 7, , 
2022/12/27, 12, 5, , 
2022/12/28, 12, 6, , 
2022/12/29, 10, 7, , 
2022/12/30, 16, 2, , 
2022/12/31, 8, , , 
2022/9/25, 22, 6, , 
2022/9/26, 14, 5, , 
2022/9/27, 12, 9, , 
2022/9/28, 12, 8, , 
2022/9/29, 18, 7, , 
2022/9/30, 15, 4, , 
2021/7/27, 17, 9, , 
2021/7/28, 15, 10, , 
2021/7/29, 19, 12, , 
2021/7/30, 21, 6, , 
2021/7/31, 17, 6, , 
2021/8/1, 9, 10, , 
2021/8/2, 13, 13, , 
2021/8/3, 8, 6, , 
2021/8/4, 7, 6, , 
2021/8/5, 10, 10, , 
2021/8/6, 12, 7, , 
2021/8/7, 15, 4, , 
2021/8/8, 10, 12, , 
2021/8/9, 13, 7, , 
2021/8/10, 11, 13, , 
2021/8/11, 12, 10, , 
2021/8/12, 12, 13, , 
2021/8/13, 18, 8, , 
2021/8/14, 16, 7, , 
2021/8/15, 11, 10, , 
2021/8/16, 13, 6, , 
2021/8/17, 9, 8, , 
2021/8/18, 10, 9, , 
2021/8/19, 9, 14, , 
2021/8/20, 11, 10, , 
2021/8/21, 10, 2, , 
2021/8/22, 6, 2, , 
2021/8/23, 6, 9, , 
2021/8/24, 8, 9, , 
2021/8/25, 14, 7, , 
2021/8/26, 6, 9, , 1
2021/8/27, 8, 7, , 
2021/8/28, 10, 4, , 
2021/8/29, 6, 3, , 1
2021/8/30, 9, 1, , 
2021/8/31, 12, 10, , 1
2021/9/1, 9, 10, , 1
2021/9/2, 13, 13, , 1
2021/9/3, 20, 3, , 
2021/9/4, 11, 3, , 
2021/9/5, 6, 5, , 1
2021/9/6, 10, 12, , 1
2021/9/7, 23, 13, , 1
2021/9/8, 25, 14, , 1
2021/9/9, 26, 17, , 2
2021/9/10, 31, 11, , 1
2021/9/11, 21, 7, , 1
2021/9/12, 11, 13, , 1
2021/9/13, 14, 13, , 1
2021/9/14, 16, 5, , 1
2021/9/15, 13, 12, , 2
2021/9/16, 16, 12, , 2
2021/9/17, 9, 2, , 1
2021/9/18, 8, 3, , 1
2021/9/19, 9, 10, , 2
2021/9/20, 14, 12, , 2
2021/9/21, 16, 11, , 2
2021/9/22, 13, 7, , 1
2021/9/23, 20, 7, , 1
2021/9/24, 19, 9, , 1
2021/9/25, 13, 3, , 1
2021/9/26, 10, 4, , 1
2021/9/27, 15, 6, , 1
2021/9/28, 13, , , 
2020/10/1, 41, 5, , 
2020/10/2, 30, 3, , 
2020/10/3, 16, 5, , 
2020/10/4, 15, 9, , 
2020/10/5, 15, 5, , 
2020/10/6, 10, 6, , 
2020/10/7, 10, 6, , 
2020/10/8, 13, 12, , 
2020/10/9, 14, 6, , 
2020/10/10, 12, 5, , 
2020/10/11, 12, 9, , 
2020/10/12, 16, 7, , 
2020/10/13, 12, 1, , 
2020/10/14, 8, 3, , 
2020/10/15, 6, 9, , 
2020/10/16, 10, 9, , 
2020/10/17, 15, 6, , 
2020/10/18, 8, 12, , 
2020/10/19, 10, 8, , 
2020/10/20, 17, 7, , 
2020/10/21, 19, 9, , 
2020/10/22, 18, 17, , 
2020/10/23, 21, 7, , 
2020/10/24, 18, 2, , 
2020/10/25, 12, 7, , 
2020/10/26, 29, 7, , 
2020/10/27, 19, 6, , 
2020/10/28, 15, 9, , 
2020/10/29, 12, 9, , 
2020/10/30, 15, 4, , 
2020/10/31, 12, 3, , 
2020/11/1, 23, 4, , 
2020/11/2, 10, 16, , 
2020/11/3, 21, 11, , 
2020/11/4, 17, 9, , 
2020/11/5, 15, 11, , 
2020/11/6, 12, 4, , 
2020/11/7, 10, 5, , 
2020/11/8, 23, 6, , 
2020/11/9, 16, 7, , 
2020/11/10, 28, 5, , 
2020/11/11, 33, 8, , 
2020/11/12, 25, 10, , 
2020/11/13, 28, 7, , 
2020/11/14, 29, 5, , 
2020/11/15, 21, 7, , 
2020/11/16, 19, 9, , 
2020/11/17, 13, 8, , 
2020/11/18, 11, 8, , 
2020/11/19, 12, 14, , 
2020/11/20, 14, 4, , 
2020/11/21, 11, 4, , 
2020/11/22, 10, 8, , 
2020/11/23, 12, 10, , 
2020/11/24, 17, 9, , 
2020/11/25, 26, 10, , 
2020/11/26, 22, 19, , 
2020/11/27, 18, , , 
2020/11/29, 39, 10, , 
2020/11/30, 12, 8, , 
2020/12/1, 28, 9, , 3
2020/12/2, 39, 8, , 
2020/12/3, 34, 8, , 
2020/12/4, 35, , , 
2020/7/1, 12, 10, , 
2020/7/2, 12, 12, , 
2020/7/3, 13, 6, , 
2020/7/4, 12, 3, , 
2020/7/5, 9, 9, , 
2020/7/6, 14, 9, , 
2020/7/7, 13, 10, , 
2020/7/8, 9, 7, , 
2020/7/9, 11, 9, , 
2020/7/10, 8, 7, , 
2020/7/11, 10, 5, , 
2020/7/12, 10, 10, , 
2020/7/13, 12, 5, , 
2020/7/14, 13, 10, , 
2020/7/15, 14, 8, , 
2020/7/16, 10, 6, , 
2020/7/17, 11, 6, , 
2020/7/18, 14, 3, , 
2020/7/19, 14, 10, , 
2020/7/20, 14, 9, , 
2020/7/21, 12, 9, , 
2020/7/22, 11, 10, , 
2020/7/23, 11, 12, , 
2020/7/24, 15, 5, , 
2020/7/25, 9, 6, , 
2020/7/26, 12, 6, , 
2020/7/27, 10, 8, , 
2020/7/28, 13, 10, , 
2020/7/29, 15, 11, , 
2020/7/30, 13, 13, , 
2020/7/31, 14, 5, , 
2020/8/1, 10, 5, , 
2020/8/2, 13, 11, , 
2020/8/3, 12, 11, , 
2020/8/4, 11, 7, , 
2020/8/5, 12, 9, , 
2020/8/6, 16, 6, , 
2020/8/7, 21, 5, , 
2020/8/8, 24, 4, , 
2020/8/9, 22, 7, , 
2020/8/10, 22, 4, , 
2020/8/11, 13, 5, , 
2020/8/12, 12, 8, , 
2020/8/13, 20, 7, , 
2020/8/14, 23, 4, , 
2020/8/15, 21, 4, , 
2020/8/16, 21, 8, , 
2020/8/17, 19, 6, , 
2020/8/18, 21, 8, , 
2020/8/19, 15, 9, , 
2020/8/20, 17, 9, , 
2020/8/21, 21, 11, , 
2020/8/22, 16, 6, , 
2020/8/23, 12, 10, , 
2020/8/24, 11, 9, , 
2020/8/25, 9, 8, , 
2020/8/26, 7, 15, , 
2020/8/27, 7, 4, , 
2020/8/28, 10, 9, , 
2020/8/29, 13, 4, , 
2020/8/30, 8, 9, , 
2020/8/31, 11, 6, , 
2020/9/1, 11, 12, , 
2020/9/2, 8, 9, , 
2020/9/3, 8, 12, , 
2020/9/4, 12, 8, , 
2020/9/5, 12, 5, , 
2020/9/6, 11, 11, , 
2020/9/7, 12, 10, , 
2020/9/8, 13, 6, , 
2020/9/9, 11, 11, , 
2020/9/10, 15, 11, , 
2020/9/11, 16, 7, , 
2020/9/12, 18, 5, , 
2020/9/13, 13, 17, , 
2020/9/14, 20, 9, , 
2020/9/15, 22, 12, , 
2020/9/16, 25, 8, , 
2020/9/17, 11, 14, , 
2020/9/18, 15, 11, , 
2020/9/19, 13, 8, , 
2020/9/20, 16, 12, , 
2020/9/21, 21, 12, , 
2020/9/22, 31, 13, , 
2020/9/23, 36, 9, , 
2020/9/24, 22, 7, , 
2020/9/25, 13, 5, , 
2020/9/26, 12, 5, , 
2020/9/27, 8, 8, , 
2020/9/28, 11, 12, , 
2020/9/29, 19, 10, , 
2020/9/30, 18, 8, , 
2020/4/1, 13, 8, , 
2020/4/2, 14, 6, , 
2020/4/3, 19, 9, , 
2020/4/4, 17, 2, , 
2020/4/5, 12, 5, , 
2020/4/6, 25, 12, , 
2020/4/7, 30, 10, , 
2020/4/8, 25, 10, , 
2020/4/9, 26, 13, , 
2020/4/10, 18, 4, , 
2020/4/11, 19, 2, , 
2020/4/12, 15, 1, , 
2020/4/13, 16, 5, , 
2020/4/14, 11, 7, , 
2020/4/15, 21, 9, , 
2020/4/16, 20, 13, , 
2020/4/17, 14, 4, , 
2020/4/18, 13, 3, , 
2020/4/19, 8, 9, , 
2020/4/20, 15, 6, , 
2020/4/21, 10, 10, , 
2020/4/22, 15, 15, , 
2020/4/23, 21, 10, , 
2020/4/24, 19, 5, , 
2020/4/25, 9, 5, , 
2020/4/26, 9, 10, , 
2020/4/27, 18, 9, , 
2020/4/28, 28, 4, , 
2020/4/29, 11, 5, , 
2020/4/30, 15, 3, , 
2020/5/1, 12, 7, , 
2020/5/2, 13, 6, , 
2020/5/3, 15, 12, , 
2020/5/4, 16, 6, , 
2020/5/5, 9, 6, , 
2020/5/6, 11, 10, , 
2020/5/7, 19, 12, , 
2020/5/8, 21, 10, , 
2020/5/9, 22, 6, , 
2020/5/10, 16, 4, , 
2020/5/11, 7, 9, , 
2020/5/12, 10, 10, , 
2020/5/13, 8, 11, , 
2020/5/14, 11, 9, , 
