date, pm25, pm10, o3, no2, so2, co
2023/1/2, 143, 26, 8, 21, 2, 
2023/1/3, 83, 34, 23, 20, 2, 
2023/1/4, 95, 8, 20, 11, 4, 
2023/1/5, 16, 13, 18, 12, 2, 
2023/1/6, 42, 16, 9, 14, 2, 
2023/1/7, 61, , , , , 
2022/10/1, 77, 23, 20, 11, 3, 
2022/10/2, 27, 11, 21, 11, 3, 
2022/10/3, 29, 18, 16, 15, 1, 
2022/10/4, 37, 33, 12, 17, , 
2022/10/5, 69, 28, 20, 19, , 
2022/10/6, 66, 25, 21, 22, 1, 
2022/10/7, 61, 27, 26, 17, 2, 
2022/10/8, 72, 18, 20, 14, 2, 
2022/10/9, 42, 25, 16, 20, 2, 
2022/10/10, 60, 33, 11, 19, 3, 
2022/10/11, 77, 33, 22, 21, 1, 
2022/10/12, 74, 39, 17, 24, 2, 
2022/10/13, 98, 42, 2, 24, 3, 
2022/10/14, 108, 32, 23, 22, 3, 
2022/10/15, 81, 26, 15, 21, 2, 
2022/10/16, 69, 37, 18, 24, 2, 
2022/10/17, 79, 34, 23, 21, 3, 
2022/10/18, 75, 14, 18, 16, 2, 
2022/10/19, 34, 19, 21, 19, 1, 
2022/10/20, 43, 34, 2, 22, 5, 
2022/10/21, 89, 40, 9, 18, 3, 
2022/10/22, 115, 21, 15, 14, 3, 
2022/10/23, 64, 28, 7, 18, 3, 
2022/10/24, 71, 16, 14, 16, 3, 
2022/10/25, 56, 29, 16, 21, 3, 
2022/10/26, 64, 39, 13, 22, 9, 
2022/10/27, 84, 36, 7, 19, 16, 
2022/10/28, 90, 25, 14, 14, 14, 
2022/10/29, 76, 30, 12, 17, 14, 
2022/10/30, 79, 37, 9, 19, 14, 
2022/10/31, 87, 29, 7, 10, 14, 
2022/11/1, 86, 24, 16, 16, 8, 
2022/11/2, 68, 32, 6, 21, 6, 
2022/11/3, 81, 30, 8, 25, 5, 
2022/11/4, 82, 17, 13, 16, 3, 
2022/11/5, 69, 22, 13, 14, 2, 
