date, pm10, no2, co
2023/1/2, 24, 6, 
2023/1/3, 17, 10, 
2023/1/4, 28, 2, 
2023/1/5, 6, 6, 
2023/1/6, 15, 12, 
2023/1/7, 26, 6, 
2023/1/8, 28, 11, 
2023/1/9, 31, 10, 
2023/1/10, 24, , 
2022/10/1, 35, 3, 
2022/10/2, 12, 6, 
2022/10/3, 12, 7, 
2022/10/4, 17, 9, 
2022/10/5, 27, 9, 
2022/10/6, 23, 17, 
2022/10/7, 41, 8, 
2022/10/8, 32, 7, 
2022/10/9, 21, 10, 
2022/10/10, 27, 14, 
2022/10/11, 33, 19, 
2022/10/12, 51, 18, 
2022/10/13, 48, 18, 
2022/10/14, 61, 8, 
2022/10/15, 46, 6, 
2022/10/16, 24, 15, 
2022/10/17, 45, 11, 
2022/10/18, 28, 9, 
2022/10/19, 17, 16, 
2022/10/21, 45, 7, 
2022/10/22, 26, 7, 
2022/10/23, 30, 12, 
2022/10/24, 34, 8, 
2022/10/25, 21, 12, 
2022/10/26, 26, 15, 
2022/10/27, 50, 12, 
2022/10/28, 41, 7, 
2022/10/29, 28, 11, 
2022/10/30, 43, 13, 
2022/10/31, 46, 8, 
2022/11/1, 37, 7, 
2022/11/2, 27, 13, 
2022/11/3, 32, 13, 
2022/11/4, 32, 7, 
2022/11/5, 25, 10, 
2022/11/6, 26, 8, 
2022/11/7, 25, 14, 
2022/11/8, 33, 12, 
2022/11/9, 38, 9, 
2022/11/10, 31, 9, 
2022/11/11, 27, 8, 
2022/11/12, 34, 6, 
2022/11/13, 28, 10, 
2022/11/14, 41, 13, 
2022/11/15, 42, 12, 
2022/11/16, 21, 8, 
2022/11/17, 17, 12, 
2022/11/18, 23, 9, 
2022/11/19, 25, 13, 
2022/11/20, 48, 15, 
2022/11/21, 56, 11, 
2022/11/22, 43, 11, 
2022/11/23, 38, 14, 
2022/11/24, 37, 11, 
2022/11/25, 53, 11, 
2022/11/26, 49, 9, 
2022/11/27, 49, 13, 
2022/11/28, 38, 10, 
2022/11/29, 33, 10, 
2022/11/30, 34, 11, 
2022/12/1, 30, 11, 
2022/12/2, 30, 8, 
2022/12/3, 44, 5, 
2022/12/4, 31, 9, 
2022/12/5, 35, 11, 
2022/12/6, 46, 6, 
2022/12/7, 14, 11, 
2022/12/8, 25, 18, 
2022/12/9, 48, 13, 
2022/12/10, 41, 7, 
2022/12/11, 23, 7, 
2022/12/12, 17, 6, 
2022/12/13, 16, 16, 
2022/12/14, 46, 15, 
2022/12/15, 54, 17, 
2022/12/16, 52, 10, 
2022/12/17, 43, 6, 
2022/12/18, 36, 16, 
2022/12/19, 37, 9, 
2022/12/20, 30, 11, 
2022/12/21, 37, 12, 
2022/12/22, 28, 10, 
2022/12/23, 17, 15, 
2022/12/24, 27, 6, 
2022/12/25, 23, 3, 
2022/12/26, 16, 3, 
2022/12/27, 11, 6, 
2022/12/28, 18, 5, 
2022/12/29, 16, 10, 
2022/12/30, 28, 3, 
2022/12/31, 16, 2, 
2023/1/1, 14, 9, 
2022/7/1, 33, 6, 
2022/7/2, 10, 9, 
2022/7/3, 15, 13, 
2022/7/4, 19, 18, 
2022/7/5, 23, 10, 
2022/7/6, 20, 7, 
2022/7/7, 18, 6, 
2022/7/8, 17, 4, 
2022/7/9, 13, 4, 
2022/7/10, 8, 6, 
2022/7/11, 12, 5, 
2022/7/12, 14, 5, 
2022/7/13, 14, 9, 
2022/7/14, 18, 6, 
2022/7/15, 18, 5, 
2022/7/16, 17, 5, 
2022/7/17, 12, 15, 
2022/7/18, 19, 21, 
2022/7/19, 30, 25, 
2022/7/20, 36, 14, 
2022/7/21, 29, 15, 
2022/7/22, 32, 16, 
2022/7/23, 34, 5, 
2022/7/24, 18, 12, 
2022/7/25, 20, 9, 
2022/7/26, 22, 7, 
2022/7/27, 17, 13, 
2022/7/28, 24, 11, 
2022/7/29, 24, 7, 
2022/7/30, 16, 4, 
2022/7/31, 5, 6, 
2022/8/1, 16, 12, 
2022/8/2, 26, 18, 
2022/8/3, 34, 15, 
2022/8/4, 35, 15, 
2022/8/5, 32, 9, 
2022/8/6, 19, 7, 
2022/8/7, 13, 18, 
2022/8/8, 19, 14, 
2022/8/9, 24, 19, 
2022/8/10, 27, 20, 
2022/8/11, 28, 14, 
2022/8/12, 16, 10, 
2022/8/16, 43, 21, 
2022/8/17, 43, 13, 
2022/8/18, 38, 10, 
2022/8/19, 38, 12, 
2022/8/20, 27, 6, 
2022/8/21, 20, 10, 
2022/8/22, 23, 14, 
2022/8/23, 29, 12, 
2022/8/24, 37, 17, 
2022/8/25, 40, 14, 
2022/8/26, 36, 11, 
2022/8/27, 34, 7, 
2022/8/28, 26, 5, 
2022/8/29, 16, 8, 
2022/8/30, 14, 13, 
2022/8/31, 21, 13, 
2022/9/1, 18, 12, 
2022/9/2, 17, 10, 
2022/9/3, 18, 10, 
2022/9/4, 16, 11, 
2022/9/5, 18, 11, 
2022/9/6, 23, 10, 
2022/9/7, 25, 9, 
2022/9/8, 36, 9, 
2022/9/9, 21, 8, 
2022/9/10, 19, 5, 
2022/9/11, 16, 11, 
2022/9/12, 19, 10, 
2022/9/13, 28, 6, 
2022/9/14, 17, 8, 
2022/9/15, 18, 4, 
2022/9/16, 14, 4, 
2022/9/17, 11, 3, 
2022/9/18, 11, 5, 
2022/9/19, 12, 8, 
2022/9/20, 16, 10, 
2022/9/21, 16, 12, 
2022/9/22, 19, 16, 
2022/9/23, 25, 15, 
2022/9/24, 38, 14, 
2022/9/25, 32, 14, 
2022/9/26, 36, 11, 
2022/9/27, 24, 8, 
2022/9/28, 14, 10, 
2022/9/29, 23, 16, 
2022/9/30, 34, 12, 
2022/4/1, 26, 12, 
2022/4/2, 29, 6, 
2022/4/3, 17, 3, 
2022/4/4, 23, 4, 
2022/4/5, 19, 7, 
2022/4/6, 15, 7, 
2022/4/7, 18, 5, 
2022/4/8, 12, 5, 
2022/4/9, 16, 2, 
2022/4/10, 15, 7, 
2022/4/11, 18, 23, 
2022/4/12, 45, 19, 
2022/4/13, 43, 22, 
2022/4/14, 50, 12, 
2022/4/15, 33, 6, 
2022/4/16, 16, 8, 
2022/4/17, 15, 10, 
2022/4/18, 18, 17, 
2022/4/19, 23, 10, 
2022/4/20, 21, 13, 
2022/4/21, 31, 20, 
2022/4/22, 33, 23, 
2022/4/23, 38, 17, 
2022/4/24, 33, 17, 
2022/4/25, 26, 11, 
2022/4/26, 22, 27, 
2022/4/27, 50, 27, 
2022/4/28, 65, 22, 
2022/4/29, 45, 23, 
2022/4/30, 52, 20, 
2022/5/1, 32, 23, 
2022/5/2, 47, 15, 
2022/5/3, 38, 15, 
2022/5/4, 30, 11, 
2022/5/5, 35, 13, 
2022/5/6, 33, 18, 
2022/5/7, 33, 16, 
2022/5/8, 34, 12, 
2022/5/9, 30, 15, 
2022/5/10, 32, 14, 
2022/5/11, 41, 9, 
2022/5/12, 49, 15, 
2022/5/13, 36, 7, 
2022/5/14, 26, 8, 
2022/5/15, 19, 19, 
2022/5/16, 26, 16, 
2022/5/17, 28, 13, 
2022/5/18, 25, 19, 
2022/5/19, 38, 14, 
2022/5/20, 36, 7, 
2022/5/21, 20, 5, 
2022/5/22, 11, 13, 
2022/5/23, 20, 11, 
2022/5/24, 28, 13, 
2022/5/25, 19, 5, 
2022/5/26, 18, 6, 
2022/5/27, 15, 3, 
2022/5/28, 12, 6, 
2022/5/29, 14, 11, 
2022/5/30, 19, 13, 
2022/5/31, 30, 11, 
2022/6/1, 22, 12, 
2022/6/2, 17, 19, 
2022/6/3, 28, 17, 
2022/6/4, 26, 10, 
2022/6/5, 17, 12, 
2022/6/6, 27, 15, 
2022/6/7, 26, 10, 
2022/6/8, 15, 19, 
2022/6/9, 23, 13, 
2022/6/10, 22, 16, 
2022/6/11, 22, 14, 
2022/6/12, 27, 14, 
2022/6/13, 22, 8, 
2022/6/14, 19, 9, 
2022/6/15, 18, 10, 
2022/6/16, 24, 10, 
2022/6/17, 18, 8, 
2022/6/18, 22, 2, 
2022/6/19, 25, 11, 
2022/6/20, 26, 6, 
2022/6/21, 14, 13, 
2022/6/22, 20, 21, 
2022/6/23, 37, 12, 
2022/6/24, 27, 7, 
2022/6/25, 27, 5, 
2022/6/26, 21, 9, 
2022/6/27, 29, 9, 
2022/6/28, 31, 12, 
2022/6/29, 26, 13, 
2022/6/30, 35, 10, 
2022/1/3, 11, 10, 4
2022/1/4, 17, 5, 2
2022/1/5, 13, 3, 2
2022/1/6, 9, 9, 2
2022/1/7, 22, 10, 3
2022/1/8, 32, 13, 5
2022/1/9, 50, 18, 5
2022/1/10, 45, 22, 7
2022/1/11, 57, 11, 4
2022/1/12, 57, 7, 3
2022/1/13, 25, 5, 3
2022/1/14, 16, 6, 2
2022/1/15, 25, 4, 3
2022/1/16, 32, 6, 2
2022/1/17, 15, 7, 2
2022/1/18, 21, 9, 3
2022/1/19, 27, 4, 2
2022/1/20, 14, 6, 2
2022/1/21, 12, 6, 2
2022/1/22, 13, 13, 4
2022/1/23, 34, 15, 5
2022/1/24, 54, 10, 3
2022/1/25, 23, 7, 3
2022/1/26, 14, 6, 3
2022/1/27, 16, 5, 2
2022/1/28, 9, 4, 2
2022/1/29, 14, 1, 2
2022/1/30, 10, 12, 3
2022/1/31, 21, 8, 3
2022/2/1, 21, 6, 3
2022/2/2, 12, 9, 3
2022/2/3, 22, 9, 3
2022/2/4, 23, 3, 2
2022/2/5, 13, 1, 2
2022/2/6, 10, 5, 2
2022/2/7, 10, 4, 2
2022/2/8, 17, 5, 3
2022/2/9, 12, 7, 3
2022/2/10, 21, 9, 3
2022/2/11, 15, 11, 4
2022/2/12, 22, 6, 3
2022/2/13, 23, 15, 4
2022/2/14, 42, 19, 7
2022/2/15, 48, 8, 3
2022/2/16, 27, 3, 3
2022/2/17, 7, 3, 3
2022/2/18, 14, 1, 2
2022/2/19, 14, 3, 3
2022/2/20, 11, 3, 3
2022/2/21, 8, 3, 3
2022/2/22, 13, 9, 3
2022/2/23, 18, 17, 4
2022/2/24, 40, 4, 2
2022/2/25, 15, 14, 5
2022/2/26, 35, 15, 5
2022/2/27, 39, 21, 4
2022/2/28, 50, 34, 8
