date, pm25, pm10, o3, no2, so2, co
2018/3/22, 103, 38, 38, 12, 7, 10
2018/3/23, 138, 51, , 16, 8, 
2023/1/2, , 40, , 2, , 
2023/1/3, , 17, , 5, , 
2023/1/4, , 30, , 2, , 
2023/1/5, , 13, , 1, , 
2023/1/6, , 16, , 5, , 
2023/1/7, , 43, , 2, , 
2023/1/8, , 22, , 4, , 
2023/1/9, , 31, , 7, , 
2023/1/10, , 54, , , , 
2022/10/1, , 36, , 1, , 
2022/10/2, , 22, , 1, , 
2022/10/3, , 13, , 1, , 
2022/10/4, , 15, , 5, , 
2022/10/5, , 27, , 4, , 
2022/10/6, , 28, , 7, 1, 
2022/10/7, , 26, , 4, , 
2022/10/8, , 32, , 2, , 
2022/10/9, , 26, , 5, , 
2022/10/10, , 19, , 4, , 
2022/10/11, , 30, , 8, , 
2022/10/12, , 40, , 7, , 
2022/10/13, , 37, , 6, , 
2022/10/14, , 33, , 4, , 
2022/10/15, , 45, , 3, 1, 
2022/10/16, , 31, , 7, , 
2022/10/17, , 37, , 5, , 
2022/10/18, , 37, , 1, , 
2022/10/19, , 16, , 7, , 
2022/10/20, , 31, , 8, 1, 
2022/10/21, , 28, , 5, , 
2022/10/22, , 42, , 2, , 
2022/10/23, , 31, , 6, , 
2022/10/24, , 41, , 5, , 
2022/10/25, , 35, , 7, , 
2022/10/26, , 36, , 9, , 
2022/10/27, , 80, , 8, , 
2022/10/28, , 47, , 4, , 
2022/10/29, , 29, , 4, , 
2022/10/30, , 34, , 7, , 
2022/10/31, , 41, , 3, , 
2022/11/1, , 32, , 4, , 
2022/11/2, , 36, , 6, , 
2022/11/3, , 47, , 4, , 
2022/11/4, , 16, , 4, , 
2022/11/5, , 36, , 5, , 
2022/11/6, , 41, , 7, , 
2022/11/7, , 31, , 8, 1, 
2022/11/8, , 38, , 7, 1, 
2022/11/9, , 44, , 6, , 
2022/11/10, , 45, , 4, , 
2022/11/11, , 39, , 3, , 
2022/11/12, , 33, , 5, , 
2022/11/13, , 58, , 4, , 
2022/11/14, , 25, , 4, , 
2022/11/15, , 42, , 2, , 
2022/11/16, , 13, , 4, , 
2022/11/17, , 28, , 3, , 
2022/11/18, , 26, , 5, , 
2022/11/19, , 35, , 4, 2, 
2022/11/20, , 41, , 7, 1, 
2022/11/21, , 55, , 5, , 
2022/11/22, , 37, , 4, , 
2022/11/23, , 28, , 4, , 
2022/11/24, , 34, , 7, , 
2022/11/25, , 53, , 5, , 
2022/11/26, , 47, , 4, , 
2022/11/27, , 63, , 5, , 
2022/11/28, , 40, , 4, , 
2022/11/29, , 24, , 4, , 
2022/11/30, , 25, , 4, , 
2022/12/1, , 34, , 4, , 
2022/12/2, , 41, , 4, , 
2022/12/3, , 43, , 2, , 
2022/12/4, , 34, , 4, , 
2022/12/5, , 27, , 5, , 
2022/12/6, , 35, , 5, , 
2022/12/7, , 31, , 6, , 
2022/12/8, , 31, , 9, 1, 
2022/12/9, , 56, , 3, , 
2022/12/10, , 36, , 2, , 
2022/12/11, , 27, , 4, , 
2022/12/12, , 31, , 4, , 
2022/12/13, , 30, , 11, 1, 
2022/12/14, , 56, , 7, 2, 
2022/12/15, , 50, , 5, 1, 
2022/12/16, , 47, , 3, , 
2022/12/17, , 42, , 3, , 
2022/12/18, , 43, , 6, 1, 
2022/12/19, , 40, , 9, 2, 
2022/12/20, , 48, , 11, 3, 
2022/12/21, , 57, , 9, , 
2022/12/22, , 55, , 9, 1, 
2022/12/23, , 50, , 5, , 
2022/12/24, , 30, , 4, , 
2022/12/25, , 39, , 3, , 
2022/12/26, , 28, , 2, , 
2022/12/27, , 19, , 6, 1, 
2022/12/28, , 30, , 5, 1, 
2022/12/29, , 29, , 6, 1, 
2022/12/30, , 40, , 4, 1, 
2022/12/31, , 32, , 2, 1, 
2023/1/1, , 21, , 8, 1, 
2022/7/1, , 31, , 1, , 
2022/7/2, , 19, , 1, , 
2022/7/3, , 10, , 4, , 
2022/7/4, , 20, , 3, , 
2022/7/5, , 19, , 3, , 
2022/7/6, , 14, , 3, , 
2022/7/7, , 13, , 4, , 
2022/7/8, , 19, , 3, , 
2022/7/9, , 17, , 3, , 
2022/7/10, , 12, , 2, , 
2022/7/11, , 11, , 1, , 
2022/7/12, , 12, , 1, , 
2022/7/13, , 12, , 3, , 
2022/7/14, , 20, , 6, , 
2022/7/15, , 14, , 3, , 
2022/7/16, , 15, , 3, , 
2022/7/17, , 11, , 5, , 
2022/7/18, , 15, , 5, , 
2022/7/19, , 20, , 4, , 
2022/7/20, , 21, , 6, , 
2022/7/21, , 31, , 4, , 
2022/7/22, , 37, , 2, , 
2022/7/23, , 27, , 1, , 
2022/7/24, , 12, , 4, , 
2022/7/25, , 13, , 3, , 
2022/7/26, , 18, , 2, , 
2022/7/27, , 19, , 2, , 
2022/7/28, , 14, , 3, , 
2022/7/29, , 14, , 2, , 
2022/7/30, , 16, , 1, , 
2022/7/31, , 14, , 2, , 
2022/8/1, , 15, , 4, , 
2022/8/2, , 15, , 4, , 
2022/8/3, , 20, , 4, , 
2022/8/4, , 24, , 5, , 
2022/8/5, , 27, , 2, , 
2022/8/6, , 20, , 3, , 
2022/8/7, , 13, , 3, , 
2022/8/8, , 13, , 3, , 
2022/8/9, , 17, , 3, , 
2022/8/10, , 16, , 3, , 
2022/8/11, , 19, , 3, , 
2022/8/12, , 21, , 2, , 
2022/8/13, , 25, , 1, , 
2022/8/14, , 26, , 1, , 
2022/8/15, , 28, , 2, , 
2022/8/16, , 32, , 3, , 
2022/8/17, , 33, , 4, , 
2022/8/18, , 37, , 4, , 
2022/8/19, , 37, , 1, , 
2022/8/20, , 30, , 1, , 
2022/8/21, , 19, , 2, , 
2022/8/22, , 35, , 3, , 
2022/8/23, , 63, , 5, , 
2022/8/24, , 89, , 6, , 
2022/8/25, , 64, , 3, , 
2022/8/26, , 35, , 3, , 
2022/8/27, , 36, , 5, , 
2022/8/28, , 41, , 3, , 
2022/8/29, , 24, , 2, , 
2022/8/30, , 11, , 1, , 
2022/8/31, , 12, , 2, , 
2022/9/1, , 12, , 3, , 
2022/9/2, , 14, , 3, , 
2022/9/3, , 15, , 2, , 
2022/9/4, , 13, , 5, , 
2022/9/5, , 17, , 5, , 
2022/9/6, , 26, , 7, , 
2022/9/7, , 33, , 4, , 
2022/9/8, , 24, , 2, , 
2022/9/9, , 26, , 1, , 
2022/9/10, , 29, , 1, , 
2022/9/11, , 15, , 2, , 
2022/9/12, , 11, , 4, , 
2022/9/13, , 22, , 5, , 
2022/9/14, , 23, , 6, , 
2022/9/15, , 22, , 2, , 
2022/9/16, , 18, , 3, , 
2022/9/17, , 22, , 3, , 
2022/9/18, , 20, , 3, , 
2022/9/19, , 15, , 3, , 
2022/9/20, , 15, , 2, , 
2022/9/21, , 11, , 2, , 
2022/9/22, , 14, , 2, , 
2022/9/23, , 16, , 6, , 
2022/9/24, , 40, , 6, , 
2022/9/25, , 35, , 8, , 
2022/9/26, , 34, , 5, , 
2022/9/27, , 36, , 5, , 
2022/9/28, , 24, , 6, , 
2022/9/29, , 37, , 8, , 
2022/9/30, , 43, , 5, , 
2022/4/1, , 22, , 1, , 
2022/4/2, , 21, , 2, 1, 
2022/4/3, , 28, , 6, 1, 
2022/4/4, , 33, , 4, 1, 
2022/4/5, , 32, , 6, , 
2022/4/6, , 28, , 5, 1, 
2022/4/7, , 23, , 3, , 
2022/4/8, , 17, , 5, , 
2022/4/9, , 25, , 4, , 
2022/4/10, , 28, , 7, , 
2022/4/11, , 29, , 9, , 
2022/4/12, , 41, , 12, 1, 
2022/4/13, , 46, , 13, 1, 
2022/4/14, , 48, , 3, 1, 
2022/4/15, , 33, , 1, , 
2022/4/16, , 13, , 2, , 
2022/4/17, , 19, , 2, , 
2022/4/18, , 15, , 2, , 
2022/4/19, , 18, , 2, , 
2022/4/20, , 14, , 3, , 
2022/4/21, , 21, , 2, , 
2022/4/22, , 19, , 1, , 
2022/4/23, , 12, , 2, , 
2022/4/24, , 17, , 3, , 
2022/4/25, , 15, , 4, , 
2022/4/26, , 29, , 4, , 
2022/4/27, , 22, , 5, , 
2022/4/28, , 22, , 8, , 
2022/4/29, , 31, , 5, , 
2022/4/30, , 29, , 2, , 
2022/5/1, , 19, , 3, , 
2022/5/2, , 27, , 3, , 
2022/5/3, , 28, , 1, , 
2022/5/4, , 15, , 3, , 
2022/5/5, , 23, , 6, , 
2022/5/6, , 41, , 4, , 
2022/5/7, , 32, , 1, , 
2022/5/8, , 16, , 2, , 
2022/5/9, , 15, , 6, , 
2022/5/10, , 18, , 8, 1, 
2022/5/11, , 37, , 3, , 
2022/5/12, , 33, , 5, , 
2022/5/13, , 27, , 2, , 
2022/5/14, , 25, , 1, , 
2022/5/15, , 13, , 1, , 
2022/5/16, , 13, , , , 
2022/5/17, , 14, , 2, , 
2022/5/18, , 18, , 9, 1, 
2022/5/19, , 32, , 6, , 
2022/5/20, , 40, , 3, , 
2022/5/21, , 22, , , , 
2022/5/22, , 10, , 3, , 
2022/5/23, , 18, , 6, , 
2022/5/24, , 25, , 4, , 
2022/5/25, , 26, , 2, , 
2022/5/26, , 17, , 3, , 
2022/5/27, , 17, , 2, , 
2022/5/28, , 13, , 3, , 
2022/5/29, , 18, , 4, , 
2022/5/30, , 16, , 5, , 
2022/5/31, , 20, , 5, , 
2022/6/1, , 23, , 6, , 
2022/6/2, , 22, , 8, , 
2022/6/3, , 23, , 4, , 
2022/6/4, , 24, , 2, , 
2022/6/5, , 16, , 4, , 
2022/6/6, , 19, , 6, , 
2022/6/7, , 33, , 2, , 
2022/6/8, , 20, , 3, , 
2022/6/9, , 19, , 1, , 
2022/6/10, , 17, , 2, , 
2022/6/11, , 12, , 5, , 
2022/6/12, , 22, , 4, , 
2022/6/13, , 18, , 1, , 
2022/6/14, , 14, , 3, , 
2022/6/15, , 17, , 4, , 
2022/6/16, , 14, , 2, , 
2022/6/17, , 14, , 4, , 
2022/6/18, , 21, , 3, , 
2022/6/19, , 29, , 2, , 
2022/6/20, , 18, , 1, , 
2022/6/21, , 9, , 2, , 
2022/6/22, , 11, , 4, , 
2022/6/23, , 16, , 4, , 
2022/6/24, , 20, , 2, , 
2022/6/25, , 22, , 2, , 
2022/6/26, , 25, , 4, , 
2022/6/27, , 30, , 3, , 
2022/6/28, , 28, , 1, , 
2022/6/29, , 23, , 2, , 
2022/6/30, , 30, , 1, , 
2022/1/3, , 13, , 7, 1, 
2022/1/4, , 21, , 6, , 
2022/1/5, , 22, , 2, , 
2022/1/6, , 11, , 7, 3, 
2022/1/7, , 31, , 7, 3, 
2022/1/8, , 38, , 8, 1, 
2022/1/9, , 47, , 8, 1, 
2022/1/10, , 44, , 6, 1, 
2022/1/11, , 39, , 11, 3, 
2022/1/12, , 56, , 4, 1, 
2022/1/13, , 15, , 1, , 
2022/1/14, , 6, , 2, , 
2022/1/15, , 18, , 4, 2, 
2022/1/16, , 38, , 2, , 
2022/1/17, , 11, , 4, , 
2022/1/18, , 22, , 6, 2, 
2022/1/19, , 26, , 3, 1, 
2022/1/20, , 14, , 1, , 
