date, pm25, pm10, o3, no2, so2, co
2023/1/2, 73, 21, 17, 5, 2, 
2023/1/3, 67, 31, 17, 9, 2, 
2023/1/4, 89, 8, 15, 3, 3, 
2023/1/5, 31, 16, 18, 2, 1, 
2023/1/6, 55, 26, 9, 3, 2, 
2023/1/7, 80, , , , , 
2022/10/21, 82, 29, 12, 14, 3, 
2022/10/22, 80, 26, 15, 8, 4, 
2022/10/23, 77, 34, 19, 7, 2, 
2022/10/24, 90, 27, 8, 11, 3, 
2022/10/25, 75, 29, 13, 8, 3, 
2022/10/26, 79, 45, 16, 9, 2, 
2022/10/27, 113, 40, 9, 14, 2, 
2022/10/28, 100, 28, 10, 13, 3, 
2022/10/29, 73, 27, 15, 6, 3, 
2022/10/30, 76, 41, 23, 6, 3, 
2022/10/31, 103, 28, 7, 11, 3, 
2022/11/1, 80, 36, 8, 6, 3, 
2022/11/2, 96, 36, 11, 8, 3, 
2022/11/3, 85, 36, 20, 11, 3, 
2022/11/4, 88, 44, 12, 11, 5, 
2022/11/5, 116, 29, 10, 8, 5, 
2022/11/6, 82, 29, 19, 6, 3, 
2022/11/7, 80, 30, 9, 9, 3, 
2022/11/8, 83, 29, 13, 10, 4, 
2022/11/9, 82, 30, 12, 10, 4, 
2022/11/10, 90, 28, 9, 9, 3, 
2022/11/11, 79, 28, 13, 6, 2, 
2022/11/12, 83, 21, 14, 4, 2, 
2022/11/13, 71, 20, 11, 6, 3, 
2022/11/14, 64, 33, 13, 8, 3, 
2022/11/15, 91, 14, 12, 9, 5, 
2022/11/16, 51, 12, 11, 5, 4, 
2022/11/17, 45, 27, 19, 3, 4, 
2022/11/18, 82, 34, 18, 6, 4, 
2022/11/19, 99, 42, 12, 7, 3, 
2022/11/20, 118, 33, 10, 9, 4, 
2022/11/21, 99, 38, 8, 9, 5, 
2022/11/22, 105, 29, 9, 9, 5, 
2022/11/23, 83, 20, 12, 6, 3, 
2022/11/24, 69, 36, 12, 7, 1, 
2022/11/25, 106, 49, 5, 11, 1, 
2022/11/26, 132, 29, 2, 12, , 
2022/11/27, 92, 30, 6, 7, , 
2022/11/28, 90, 28, 7, 8, 2, 
2022/11/29, 81, 23, 8, 8, 3, 
2022/11/30, 73, 25, 8, 7, 1, 
2022/12/1, 79, 39, 7, 4, , 
2022/12/2, 101, 39, 8, 5, 2, 
2022/12/3, 107, 22, 6, 6, 5, 
2022/12/4, 73, 23, 8, 4, 7, 
2022/12/5, 74, 33, 7, 7, 9, 
2022/12/6, 93, 17, 3, 8, 7, 
2022/12/7, 62, 30, 6, 8, 2, 
2022/12/8, 91, 43, 7, 10, 2, 
2022/12/9, 113, 24, 6, 12, 3, 
2022/12/10, 79, 19, 8, 6, 2, 
2022/12/11, 68, 29, 5, 3, 2, 
2022/12/12, 90, 22, 6, 4, 3, 
2022/12/13, 75, 53, 7, 4, 2, 
2022/12/14, 144, 34, 4, 11, 2, 
2022/12/15, 102, 34, 4, 7, 2, 
