date, pm25, pm10, o3, no2, so2, co
2022/7/1, 61, 7, , 2, , 
2022/7/2, 17, 11, , 4, , 
2022/7/3, 33, 15, , 5, , 
2022/7/4, 37, 13, , 3, , 
2022/7/5, 27, 12, , 4, , 
2022/7/6, 23, 13, , 4, , 
2022/7/7, 21, 18, , 3, , 
2022/7/8, 34, 8, , 3, , 
2022/7/9, 18, 7, , 2, , 
2022/7/10, 14, 8, , 5, , 
2022/7/11, 13, 9, , 3, , 
2022/7/12, 13, 12, , 5, , 
2022/7/13, 17, 16, , 4, , 
2022/7/14, 23, 13, , 4, , 
2022/7/15, 17, 9, , 4, , 
2022/7/16, 16, 7, , 2, , 
2022/7/17, 15, 14, , 10, , 
2022/7/18, 27, 19, , 9, , 
2022/7/19, 34, 22, , 5, , 
2022/7/20, 47, 28, , 4, , 
2022/7/21, 48, 19, , 4, , 
2022/7/22, 47, 15, , 5, , 
2022/7/23, 46, 8, , 3, , 
2022/7/24, 20, 17, , 5, , 
2022/7/25, 29, 17, , 4, , 
2022/7/26, 29, 10, , 4, , 
2022/7/27, 19, , , 31, , 
2022/4/1, 53, 24, , , , 
2022/4/2, 33, 10, , 2, , 
2022/4/3, 27, 48, , 3, , 
2022/4/4, 58, 10, , 4, , 
2022/4/5, 30, 14, , 6, , 
2022/4/6, 46, 19, , 3, , 
2022/4/7, 35, 9, , 5, , 
2022/4/8, 23, 14, , 5, , 
2022/4/9, 40, 7, , 4, , 
2022/4/10, 25, 10, , 7, , 
2022/4/11, 29, 30, , 9, , 
2022/4/12, 85, 26, , 5, , 
2022/4/13, 68, 33, , 9, , 
2022/4/14, 77, 13, , 4, , 
2022/4/15, 49, 6, , 2, , 
2022/4/16, 18, 7, , 3, , 
2022/4/17, 26, 9, , 2, , 
2022/4/18, 30, 13, , 5, , 
2022/4/19, 37, 15, , 8, , 
2022/4/20, 49, 20, , 6, , 
2022/4/21, 61, 27, , 7, , 
2022/4/22, 76, 20, , 6, , 
2022/4/23, 59, 24, , 6, , 
2022/4/24, 67, 12, , 3, , 
2022/4/25, 35, 14, , 5, , 
2022/4/26, 34, 28, , 11, , 
2022/4/27, 62, 18, , 6, , 
2022/4/28, 42, 18, , 8, , 
2022/4/29, 39, 26, , 10, , 
2022/4/30, 53, 27, , 6, , 
2022/5/1, 63, 17, , 3, , 
2022/5/2, 43, 15, , 4, , 
2022/5/3, 38, 18, , 4, , 
2022/5/4, 42, 26, , 8, , 
2022/5/5, 57, 16, , , , 
2022/5/6, 41, 18, , , , 
2022/5/7, 45, 12, , , , 
2022/5/8, 35, 13, , , , 
2022/5/9, 29, 23, , , , 
2022/5/10, 40, 34, , , , 
2022/5/11, 63, 24, , , , 
2022/5/12, 35, 22, , 19, , 
2022/5/13, 43, 20, , 23, , 
2022/5/14, 43, 9, , 20, , 
2022/5/15, 21, 16, , 14, , 
2022/5/16, 29, 18, , 8, , 
2022/5/17, 26, 15, , 12, , 
2022/5/18, 18, 24, , 12, , 
2022/5/19, 39, 24, , 8, , 
2022/5/20, 45, 11, , 3, , 
2022/5/21, 25, 7, , 3, , 
2022/5/22, 21, 10, , 6, , 
2022/5/23, 28, 18, , 7, , 
2022/5/24, 50, 11, , 8, , 
2022/5/25, 25, 13, , 7, , 
2022/5/26, 31, 12, , 4, , 
2022/5/27, 23, 7, , 2, , 
2022/5/28, 14, 6, , 3, , 
2022/5/29, 18, 11, , 8, , 
2022/5/30, 28, 11, , 7, , 
2022/5/31, 28, 10, , 6, , 
2022/6/1, 31, 10, , 7, , 
2022/6/2, 28, 14, , 11, , 
2022/6/3, 34, 18, , 7, , 
2022/6/4, 50, 10, , 3, , 
2022/6/5, 33, 21, , 9, , 
2022/6/6, 53, 15, , 7, , 
2022/6/7, 41, 16, , 5, , 
2022/6/8, 44, 19, , 8, , 
2022/6/9, 58, 9, , 3, , 
2022/6/10, 25, 12, , 7, , 
2022/6/11, 29, 15, , 5, , 
2022/6/12, 43, 16, , 6, , 
2022/6/13, 41, 11, , 4, , 
2022/6/14, 21, 13, , 8, , 
2022/6/15, 25, 12, , 4, , 
2022/6/16, 32, 9, , 3, , 
2022/6/17, 19, 19, , 8, , 
2022/6/18, 36, 32, , 2, , 
2022/6/19, 53, 11, , 3, , 
2022/6/20, 31, 9, , 3, , 
2022/6/21, 18, 11, , 8, , 
2022/6/22, 24, 17, , 8, , 
2022/6/23, 40, 20, , 4, , 
2022/6/24, 38, 20, , 4, , 
2022/6/25, 48, 18, , 3, , 
2022/6/26, 47, 22, , 4, , 
2022/6/27, 49, 20, , 4, , 
2022/6/28, 46, 11, , 3, , 
2022/6/29, 28, 18, , 6, , 
2022/6/30, 52, 26, , 5, , 
2022/1/3, 28, 14, , , , 
2022/1/4, 46, 10, , , , 
2022/1/5, 32, 8, , , , 
2022/1/6, 24, 24, , , , 
2022/1/7, 64, 25, , , , 
2022/1/8, 80, 37, , , , 
2022/1/9, 109, 48, , , , 
2022/1/10, 135, 68, , , , 
2022/1/11, 164, 81, , , , 
2022/1/12, 181, 17, , , , 
2022/1/13, 62, 12, , , , 
2022/1/14, 41, 17, , , , 
2022/1/15, 56, 22, , , , 
2022/1/16, 68, 10, , , , 
2022/1/17, 31, 27, , , , 
2022/1/18, 62, 20, , , , 
2022/1/19, 62, 9, , , , 
2022/1/20, 26, 11, , , , 
2022/1/21, 26, 12, , , , 
2022/1/22, 40, 35, , , , 
2022/1/23, 101, 37, , , , 
2022/1/24, 103, 11, , , , 
2022/1/25, 44, 10, , , , 
2022/1/26, 34, 16, , , , 
2022/1/27, 53, 9, , , , 
2022/1/28, 23, 10, , , , 
2022/1/29, 35, 11, , , , 
2022/1/30, 30, 30, , , , 
2022/1/31, 61, 20, , , , 
2022/2/1, 53, 7, , , , 
2022/2/2, 20, 18, , , , 
2022/2/3, 50, 18, , , , 
2022/2/4, 60, 9, , , , 
2022/2/5, 26, 4, , , , 
2022/2/6, 17, 12, , , , 
2022/2/7, 25, 11, , , , 
2022/2/8, 34, 9, , , , 
2022/2/9, 30, 13, , , , 
2022/2/10, 40, 14, , , , 
2022/2/11, 43, 13, , , , 
2022/2/12, 39, 19, , , , 
2022/2/13, 63, 26, , , , 
2022/2/14, 63, 33, , , , 
2022/2/15, 81, 17, , , , 
2022/2/16, 44, 5, , , , 
2022/2/17, 12, 9, , , , 
2022/2/18, 26, 10, , , , 
2022/2/19, 21, 6, , , , 
2022/2/20, 24, 6, , , , 
2022/2/21, 14, 11, , , , 
2022/2/22, 30, 16, , , , 
2022/2/23, 41, 23, , , , 
2022/2/24, 58, 10, , , , 
2022/2/25, 26, 14, , , , 
2022/2/26, 44, 18, , , , 
2022/2/27, 59, 23, , , , 
2022/2/28, 63, 46, , , , 
2022/3/1, 109, 63, , , , 
2022/3/2, 135, 61, , , , 
2022/3/3, 136, 20, , , , 
2022/3/4, 51, 15, , , , 
2022/3/5, 52, 18, , , , 
2022/3/6, 62, 20, , , , 
2022/3/7, 52, 36, , , , 
2022/3/8, 74, 41, , , , 
2022/3/9, 90, 27, , , , 
2022/3/10, 64, 31, , , , 
2022/3/11, 63, 32, , , , 
2022/3/12, 81, 41, , , , 
