date, pm25, pm10, o3, no2, so2, co
2023/1/2, 64, 14, 20, 7, 1, 
2023/1/3, 48, 20, 20, 10, 1, 
2023/1/4, 64, 5, 19, 3, , 
2023/1/5, 16, 15, 20, 4, , 
2023/1/6, 48, 19, 14, 8, , 
2023/1/7, 62, , , , , 
2022/10/1, 130, , 19, 3, , 
2022/10/3, 17, 7, 18, 4, , 
2022/10/4, 20, 13, 13, 8, , 
2022/10/5, 39, 12, 20, 9, , 
2022/10/6, 33, 13, 25, 9, , 
2022/10/7, 41, 17, 27, 7, , 
2022/10/8, 56, 13, 17, 5, , 
2022/10/9, 39, 17, 18, 7, , 
2022/10/10, 51, 16, 16, 9, , 
2022/10/11, 49, 28, 17, 14, , 
2022/10/12, 68, 32, 21, 11, 1, 
2022/10/13, 84, 24, 11, 9, , 
2022/10/14, 71, 20, 22, 6, , 
2022/10/15, 65, 13, 23, 4, , 
2022/10/16, 46, 16, 23, 9, 1, 
2022/10/17, 50, 13, 27, 7, 1, 
2022/10/18, 39, 7, 16, 5, , 
2022/10/19, 22, 12, 17, 9, , 
2022/10/20, 37, 15, 12, 8, , 
2022/10/21, 52, 15, 10, 8, 1, 
2022/10/22, 52, 16, 17, 6, , 
2022/10/23, 51, 17, 11, 10, , 
2022/10/24, 54, 10, 13, 8, , 
2022/10/25, 36, 17, 14, 10, , 
2022/10/26, 52, 20, 14, 13, 1, 
2022/10/27, 61, 19, 13, 12, , 
2022/10/28, 60, 13, 14, 7, 1, 
2022/10/29, 43, 23, 12, 9, , 
2022/10/30, 71, 25, 6, 8, , 
2022/10/31, 76, 16, 3, 7, , 
2022/11/1, 56, 16, 11, 8, , 
2022/11/2, 54, 11, 17, 9, , 
2022/11/3, 35, 13, 14, 7, , 
2022/11/4, 45, 22, 16, 8, , 
2022/11/5, 68, 23, 13, 8, , 
2022/11/6, 70, 17, 12, 7, , 
2022/11/7, 56, 15, 14, 10, 1, 
2022/11/8, 51, 22, 11, 9, , 
2022/11/9, 69, 25, 6, 10, , 
2022/11/10, 75, 15, 14, 5, , 
2022/11/11, 52, 21, 10, 6, , 
2022/11/12, 66, 15, 13, 4, , 
2022/11/13, 50, 16, 13, 5, , 
2022/11/14, 54, 26, 11, 8, , 
2022/11/15, 78, 12, 8, 6, , 
2022/11/16, 41, 12, 14, 4, , 
2022/11/17, 43, 25, 14, 8, , 
2022/11/18, 74, 28, 11, 8, , 
2022/11/19, 85, 49, 8, 8, , 
2022/11/20, 136, 46, 5, 11, 1, 
2022/11/21, 125, 39, 8, 9, , 
2022/11/22, 107, 26, 9, 7, , 
2022/11/23, 79, 23, 8, 10, , 
2022/11/24, 73, 47, 2, 13, , 
2022/11/25, 125, 49, 6, 11, , 
2022/11/26, 131, 43, 3, 7, , 
2022/11/27, 116, 38, 6, 8, 1, 
2022/11/28, 106, 31, 12, 7, 1, 
2022/11/29, 87, 27, 14, 8, 1, 
2022/11/30, 79, 25, 12, 5, , 
2022/12/1, 76, 32, 10, 6, , 
2022/12/2, 89, 44, 5, 6, 1, 
2022/12/3, 119, 26, 9, 4, 1, 
2022/12/4, 78, 30, 8, 6, 1, 
2022/12/5, 86, 31, 2, 8, 1, 
2022/12/6, 88, 14, 14, 8, , 
2022/12/7, 49, 23, 11, 10, 1, 
2022/12/8, 72, 41, 5, 13, 1, 
2022/12/9, 113, 28, 6, 8, 1, 
2022/12/10, 83, 23, 10, 5, , 
2022/12/11, 73, 23, 15, 8, 1, 
2022/12/12, 72, 21, 13, 7, 1, 
2022/12/13, 67, 44, 12, 13, 1, 
2022/12/14, 122, 42, 10, 14, 2, 
2022/12/15, 113, 40, 11, 12, 2, 
2022/12/16, 109, 31, 14, 8, 1, 
2022/12/17, 88, 21, 21, 6, 1, 
2022/12/18, 69, 24, 19, 8, 1, 
2022/12/19, 74, 26, 18, 14, 4, 
2022/12/20, 79, 33, 9, 17, 4, 
2022/12/21, 95, 27, 9, 13, 2, 
2022/12/22, 82, 19, 9, 11, 1, 
2022/12/23, 63, 34, 3, 10, 1, 
2022/12/24, 99, 26, 14, 8, 1, 
2022/12/25, 78, 18, 13, 5, 1, 
2022/12/26, 60, 9, 21, 5, , 
2022/12/27, 31, 15, 17, 9, 1, 
2022/12/28, 51, 14, 18, 8, 2, 
2022/12/29, 47, 23, 15, 11, 2, 
2022/12/30, 68, 14, 16, 5, 1, 
2022/12/31, 47, 11, 19, 4, 1, 
2023/1/1, 37, 20, 12, 9, 1, 
2022/7/1, 37, 9, 35, , , 
2022/7/2, 29, 6, 31, 1, , 
2022/7/3, 16, 11, 41, 6, , 
2022/7/4, 30, 13, 34, 7, , 
2022/7/5, 42, 7, 31, 2, , 
2022/7/6, 18, 6, 34, 3, , 
2022/7/7, 14, 8, 25, 4, , 
2022/7/8, 21, 6, 26, 1, , 
2022/7/9, 15, 3, 21, , , 
2022/7/10, 7, 4, 14, 3, , 
2022/7/11, 8, 4, 24, , , 
2022/7/12, 7, 6, 35, 3, , 
2022/7/13, 8, 9, 40, 5, , 
2022/7/14, 19, 7, 27, 4, , 
2022/7/15, 13, 4, 27, 3, , 
2022/7/16, 9, 3, 26, 2, , 
2022/7/17, 6, 5, 32, 6, , 
2022/7/18, 13, 8, 41, 9, , 
2022/7/19, 17, 13, 41, 13, , 
2022/7/20, 30, 8, 37, 8, , 
2022/7/21, 16, 14, 53, 10, , 
2022/7/22, 32, 16, 53, 6, , 
2022/7/23, 39, 7, 32, 2, , 
2022/7/24, 19, 8, 41, 5, , 
2022/7/25, 17, 12, 36, 4, , 
2022/7/26, 29, 7, 29, 5, , 
2022/7/27, 19, 7, 32, 5, , 
2022/7/28, 13, 8, 31, 7, , 
2022/7/29, 16, 7, 18, 5, , 
2022/7/30, 23, 5, 15, 3, , 
2022/7/31, 19, 8, 32, 5, , 
2022/8/1, 24, 16, 36, 12, , 
2022/8/2, 49, 15, 37, 8, , 
2022/8/3, 43, 11, 43, 6, , 
2022/8/4, 25, 11, 40, 8, , 
2022/8/5, 30, 11, 25, 6, , 
2022/8/6, 33, 5, 28, 6, , 
2022/8/7, 21, 7, 27, 8, , 
2022/8/8, 16, 9, 29, 7, , 
2022/8/9, 18, 10, 26, 8, , 
2022/8/10, 22, 8, 22, 8, , 
2022/8/11, 17, 9, 34, 7, , 
2022/8/12, 29, 11, 24, 6, , 
2022/8/13, 39, 11, 29, 5, , 
2022/8/14, 36, 12, 30, 5, , 
