date, pm25, pm10, no2, co
2023/1/2, 37, 16, 11, 
2023/1/3, 42, 16, 7, 
2023/1/4, 46, 5, 8, 
2023/1/5, 18, 12, 5, 
2023/1/6, 33, 11, 6, 
2023/1/7, 38, , , 
2022/10/14, 62, 14, 15, 
2022/10/15, 43, 11, 8, 
2022/10/16, 35, 12, 5, 
2022/10/17, 35, 12, 11, 
2022/10/18, 36, 5, 11, 
2022/10/19, 19, 11, 12, 
2022/10/20, 33, 21, 14, 
2022/10/21, 51, 13, 13, 
2022/10/22, 40, 13, 8, 
2022/10/23, 42, 10, 11, 
2022/10/24, 33, 10, 7, 
2022/10/25, 34, 18, 14, 
2022/10/26, 46, 23, 16, 
2022/10/27, 51, 20, 15, 
2022/10/28, 48, 9, 11, 
2022/10/29, 26, 14, 4, 
2022/10/30, 36, 18, 7, 
2022/10/31, 44, 11, 8, 
2022/11/1, 31, 21, 3, 
2022/11/2, 52, 20, 14, 
2022/11/3, 47, 27, 10, 
2022/11/4, 56, 25, , 
2022/11/5, 62, 16, , 
2022/11/6, 47, 17, , 
2022/11/7, 48, 16, , 
2022/11/8, 47, 11, , 
2022/11/9, 35, 18, 7, 
2022/11/10, 52, , 12, 
2022/11/12, 60, 32, 14, 
2022/11/13, 73, 16, 13, 
2022/11/14, 47, 27, 7, 
2022/11/15, 55, 17, 13, 
2022/11/16, 45, 7, 13, 
2022/11/17, 26, 18, 10, 
2022/11/18, 51, 30, 12, 
2022/11/19, 76, 39, 10, 
2022/11/20, 90, 33, 13, 
2022/11/21, 79, 26, 12, 
2022/11/22, 67, 31, 11, 
2022/11/23, 72, 17, 13, 
2022/11/24, 50, 33, 10, 
2022/11/25, 79, 31, 13, 
2022/11/26, 77, 27, 12, 
2022/11/27, 70, 34, 8, 
2022/11/28, 75, 25, 12, 
2022/11/29, 63, 25, 10, 
2022/11/30, 57, 20, 12, 
2022/12/1, 54, 30, 11, 
2022/12/2, 64, 31, 12, 
2022/12/3, 71, 15, 8, 
2022/12/4, 47, 23, 5, 
2022/12/5, 56, 29, 9, 
2022/12/6, 69, 13, 11, 
2022/12/7, 41, 18, 9, 
2022/12/8, 51, 23, 9, 
2022/12/9, 56, 14, 12, 
2022/12/10, 47, 11, 9, 
2022/12/11, 39, 21, 5, 
2022/12/12, 60, 21, 10, 
2022/12/13, 58, 27, 13, 
2022/12/14, 70, 32, 16, 
2022/12/15, 76, 26, 16, 
2022/12/16, 65, 27, 15, 
2022/12/17, 70, 19, 9, 
2022/12/18, 56, 21, 9, 
2022/12/19, 58, 11, 12, 
2022/12/20, 38, 12, 3, 
2022/12/21, 40, 18, 6, 
2022/12/22, 54, 19, 7, 
2022/12/23, 58, 13, 7, 
2022/12/24, 43, 25, 6, 
2022/12/25, 68, 10, 11, 
2022/12/26, 34, 10, 2, 
2022/12/27, 26, 12, 9, 
2022/12/28, 34, 11, 7, 
2022/12/29, 32, 19, 3, 
2022/12/30, 54, 10, 9, 
2022/12/31, 36, 14, 1, 
2023/1/1, 45, 12, 4, 
2022/7/1, 12, 5, 6, 
2022/7/2, 7, 4, 6, 
2022/7/3, 5, 5, 15, 
2022/7/4, 8, 5, 16, 
2022/7/5, 8, 4, 10, 
2022/7/6, 4, 4, 11, 
2022/7/7, 4, 4, 13, 
2022/7/8, 4, 3, 6, 
2022/7/9, 3, 3, 4, 
2022/7/10, 5, 4, 8, 
2022/7/11, 9, 6, 8, 
2022/7/12, 13, 8, 9, 
2022/7/13, 14, 11, 12, 
2022/7/14, 26, 9, 8, 
2022/7/15, 22, 9, 8, 
2022/7/16, 23, 6, 4, 
2022/7/17, 11, 8, 10, 
2022/7/18, 20, 12, 10, 
2022/7/19, 33, 16, 14, 
2022/7/20, 42, 17, 18, 
2022/7/21, 42, 18, 14, 
2022/7/22, 48, 21, 9, 
2022/7/23, 58, 16, 5, 
2022/7/24, 47, 14, 12, 
2022/7/25, 38, 19, 13, 
2022/7/26, 51, 21, 11, 
2022/7/27, 59, 12, 15, 
2022/7/28, 34, 18, 18, 
2022/7/29, 40, 13, 10, 
2022/7/30, 40, 7, 5, 
2022/7/31, 20, 11, 10, 
2022/8/1, 30, 22, 11, 
2022/8/2, 66, 25, 12, 
2022/8/3, 67, 14, 12, 
2022/8/4, 37, 16, 10, 
2022/8/5, 43, 18, 4, 
2022/8/6, 46, 7, , 
2022/8/7, 12, 11, , 
2022/8/8, 23, 13, , 
2022/8/9, 28, 16, , 
2022/8/10, 38, 12, , 
2022/8/11, 32, 16, 23, 
2022/8/12, 51, 19, 12, 
2022/8/13, 60, 17, 10, 
2022/8/14, 56, 13, 9, 
2022/8/15, 42, 20, 16, 
2022/8/16, 62, 24, 18, 
2022/8/17, 69, 19, 12, 
2022/8/18, 60, 20, 16, 
2022/8/19, 57, 18, 15, 
2022/8/20, 51, 14, 13, 
2022/8/21, 45, 16, 17, 
2022/8/22, 50, 17, 18, 
2022/8/23, 51, 13, 14, 
2022/8/24, 38, , 19, 
