date, pm25
2023/1/2, 65
2023/1/3, 19
2023/1/4, 39
2023/1/5, 18
2023/1/6, 39
2023/1/7, 61
2022/10/1, 77
2022/10/2, 48
2022/10/3, 22
2022/10/4, 39
2022/10/5, 51
2022/10/6, 60
2022/10/7, 45
2022/10/8, 55
2022/10/9, 32
2022/10/10, 49
2022/10/11, 29
2022/10/12, 32
2022/10/13, 53
2022/10/14, 56
2022/10/15, 76
2022/10/16, 65
2022/10/17, 63
2022/10/18, 52
2022/10/19, 15
2022/10/20, 29
2022/10/21, 45
2022/10/22, 61
2022/10/23, 41
2022/10/24, 52
2022/10/25, 66
2022/10/26, 44
2022/10/27, 69
2022/10/28, 82
2022/10/29, 57
2022/10/30, 16
2022/10/31, 54
2022/11/1, 74
2022/11/2, 45
2022/11/3, 57
2022/11/4, 33
2022/11/5, 43
2022/11/6, 55
2022/11/7, 47
2022/11/8, 60
2022/11/9, 79
2022/11/10, 68
2022/11/11, 47
2022/11/12, 25
2022/11/13, 28
2022/11/14, 29
2022/11/15, 45
2022/11/16, 7
2022/11/17, 17
2022/11/18, 17
2022/11/19, 86
2022/11/20, 70
2022/11/21, 74
2022/11/22, 53
2022/11/23, 46
2022/11/24, 37
2022/11/25, 71
2022/11/26, 108
2022/11/27, 86
2022/11/28, 60
2022/11/29, 78
2022/11/30, 45
2022/12/1, 64
2022/12/2, 74
2022/12/3, 78
2022/12/4, 73
2022/12/5, 61
2022/12/6, 57
2022/12/7, 44
2022/12/8, 55
2022/12/9, 86
2022/12/10, 64
2022/12/11, 33
2022/12/12, 28
2022/12/13, 31
2022/12/14, 91
2022/12/15, 87
2022/12/16, 84
2022/12/17, 57
2022/12/18, 79
2022/12/19, 82
2022/12/20, 78
2022/12/21, 98
2022/12/22, 71
2022/12/23, 64
2022/12/24, 23
2022/12/25, 34
2022/12/26, 47
2022/12/27, 24
2022/12/28, 46
2022/12/29, 59
2022/12/30, 55
2022/12/31, 60
2023/1/1, 36
2022/7/1, 51
2022/7/2, 41
2022/7/3, 18
2022/7/4, 29
2022/7/5, 32
2022/7/6, 27
2022/7/7, 19
2022/7/8, 30
2022/7/9, 21
2022/7/10, 22
2022/7/11, 11
2022/7/12, 17
2022/7/13, 11
2022/7/14, 23
2022/7/15, 21
2022/7/16, 17
2022/7/17, 10
2022/7/18, 21
2022/7/19, 28
2022/7/20, 36
2022/7/21, 36
2022/7/22, 49
2022/7/23, 48
2022/7/24, 27
2022/7/25, 22
2022/7/26, 27
2022/7/27, 20
2022/7/28, 19
2022/7/29, 15
2022/7/30, 19
2022/7/31, 27
2022/8/1, 14
2022/8/2, 21
2022/8/3, 28
2022/8/4, 40
2022/8/5, 51
2022/8/6, 40
2022/8/7, 15
2022/8/8, 14
2022/8/9, 21
2022/8/10, 22
2022/8/11, 21
2022/8/12, 26
2022/8/13, 30
2022/8/14, 42
2022/8/15, 50
2022/8/16, 54
2022/8/17, 52
2022/8/18, 58
2022/8/19, 55
2022/8/20, 43
2022/8/21, 41
2022/8/22, 57
2022/8/23, 61
2022/8/24, 81
2022/8/25, 65
2022/8/26, 43
2022/8/27, 50
2022/8/28, 49
2022/8/29, 52
2022/8/30, 18
2022/8/31, 16
2022/9/1, 14
2022/9/2, 18
2022/9/3, 17
2022/9/4, 16
2022/9/5, 17
2022/9/6, 23
2022/9/7, 24
2022/9/8, 25
2022/9/9, 19
2022/9/10, 24
2022/9/11, 25
2022/9/12, 10
2022/9/13, 25
2022/9/14, 38
2022/9/15, 31
2022/9/16, 19
2022/9/17, 24
2022/9/18, 30
2022/9/19, 18
2022/9/20, 12
2022/9/21, 14
2022/9/22, 17
2022/9/23, 21
2022/9/24, 36
2022/9/25, 56
2022/9/26, 64
2022/9/27, 95
2022/9/28, 114
2022/9/29, 55
2022/9/30, 68
2022/4/1, 18
2022/4/2, 27
2022/4/3, 37
2022/4/4, 47
2022/4/5, 27
2022/4/6, 34
2022/4/7, 56
2022/4/8, 42
2022/4/9, 60
2022/4/10, 54
2022/4/11, 52
2022/4/12, 50
2022/4/13, 42
2022/4/14, 87
2022/4/15, 54
2022/4/16, 18
2022/4/17, 16
2022/4/18, 18
2022/4/19, 35
2022/4/20, 27
2022/4/21, 24
2022/4/22, 35
2022/4/23, 21
2022/4/24, 18
2022/4/25, 19
2022/4/26, 27
2022/4/27, 22
2022/4/28, 37
2022/4/29, 40
2022/4/30, 16
2022/5/1, 26
2022/5/2, 41
2022/5/3, 39
2022/5/4, 13
2022/5/5, 27
2022/5/6, 61
2022/5/7, 36
2022/5/8, 37
2022/5/9, 13
2022/5/10, 20
2022/5/11, 54
2022/5/12, 42
2022/5/13, 28
2022/5/14, 33
2022/5/15, 11
2022/5/16, 16
2022/5/17, 10
2022/5/18, 17
2022/5/19, 42
2022/5/20, 53
2022/5/21, 44
2022/5/22, 13
2022/5/23, 23
2022/5/24, 36
2022/5/25, 48
2022/5/26, 22
2022/5/27, 14
2022/5/28, 14
2022/5/29, 21
2022/5/30, 27
2022/5/31, 27
2022/6/1, 48
2022/6/2, 34
2022/6/3, 34
2022/6/4, 43
2022/6/5, 26
2022/6/6, 36
2022/6/7, 56
2022/6/8, 51
2022/6/9, 44
2022/6/10, 39
2022/6/11, 15
2022/6/12, 34
2022/6/13, 39
2022/6/14, 20
2022/6/15, 22
2022/6/16, 29
2022/6/17, 22
2022/6/18, 35
2022/6/19, 38
2022/6/20, 20
2022/6/21, 14
2022/6/22, 18
2022/6/23, 27
2022/6/24, 34
2022/6/25, 43
2022/6/26, 53
2022/6/27, 56
2022/6/28, 53
2022/6/29, 58
2022/6/30, 57
2022/1/3, 20
2022/1/4, 49
2022/1/5, 40
2022/1/6, 26
2022/1/7, 48
2022/1/8, 66
2022/1/9, 77
2022/1/10, 65
2022/1/11, 62
2022/1/12, 107
2022/1/13, 38
2022/1/14, 14
2022/1/15, 17
2022/1/16, 59
2022/1/17, 13
2022/1/18, 23
2022/1/19, 57
2022/1/20, 26
2022/1/21, 7
2022/1/22, 13
2022/1/23, 69
2022/1/24, 78
2022/1/25, 32
2022/1/26, 45
2022/1/27, 30
2022/1/28, 9
2022/1/29, 31
2022/1/30, 10
2022/1/31, 13
2022/2/1, 40
2022/2/2, 58
2022/2/3, 57
2022/2/4, 88
2022/2/5, 32
2022/2/6, 40
2022/2/7, 16
2022/2/8, 25
2022/2/9, 26
2022/2/10, 32
2022/2/11, 25
2022/2/12, 33
2022/2/13, 54
2022/2/14, 77
2022/2/15, 99
2022/2/16, 96
2022/2/17, 18
2022/2/18, 25
2022/2/19, 15
2022/2/20, 39
2022/2/21, 25
2022/2/22, 12
2022/2/23, 47
2022/2/24, 30
2022/2/25, 31
2022/2/26, 33
2022/2/27, 22
2022/2/28, 48
2022/3/1, 50
2022/3/2, 70
2022/3/3, 59
2022/3/4, 22
2022/3/5, 38
2022/3/6, 65
2022/3/7, 17
2022/3/8, 34
2022/3/9, 29
