date, pm25, pm10, no2, so2, co
2023/1/2, 33, 10, 9, , 
2023/1/3, 33, 8, 9, 2, 
2023/1/4, 33, 3, 6, 1, 
2023/1/5, 15, 9, 9, , 
2023/1/6, 38, 10, 10, , 
2023/1/7, 42, , , , 
2022/10/1, 44, 6, 4, 3, 
2022/10/2, 20, 7, 5, 2, 
2022/10/3, 20, 9, 8, 2, 
2022/10/4, 27, 14, 11, 4, 
2022/10/5, 40, 9, 9, 2, 
2022/10/6, 25, 15, 13, 3, 
2022/10/7, 37, 11, 10, 3, 
2022/10/8, 37, 8, 9, 2, 
2022/10/9, 25, 15, 14, 3, 
2022/10/10, 39, 11, 9, 2, 
2022/10/11, 32, 17, 14, 3, 
2022/10/12, 44, 26, 15, 3, 
2022/10/13, 67, 29, 14, 4, 
2022/10/14, 75, 20, 11, 4, 
2022/10/15, 65, 9, 8, 3, 
2022/10/16, 29, 16, 14, 3, 
2022/10/17, 46, 13, 8, 2, 
2022/10/18, 45, 7, 7, 2, 
2022/10/19, 19, 15, 12, 3, 
2022/10/20, 43, 21, 12, 4, 
2022/10/21, 62, 20, 9, 3, 
2022/10/22, 68, 17, 9, 3, 
2022/10/23, 55, 15, 11, 3, 
2022/10/24, 46, 10, 10, , 
2022/10/25, 34, 20, 15, , 
2022/10/26, 56, 18, 13, , 
2022/10/27, 57, 20, 13, 3, 
2022/10/28, 57, 18, 10, 2, 
2022/10/29, 56, 35, 14, 2, 
2022/10/30, 91, 28, 11, 2, 
2022/10/31, 79, 23, 8, 2, 
2022/11/1, 73, 11, 10, 2, 
2022/11/2, 37, 14, 13, 3, 
2022/11/3, 39, 24, 11, 5, 
2022/11/4, 69, 10, 8, 2, 
2022/11/5, 36, 12, 8, 2, 
2022/11/6, 42, 11, 9, 4, 
2022/11/7, 38, 10, 12, 3, 
2022/11/8, 29, 11, 12, 4, 
2022/11/9, 35, 10, 8, 2, 
2022/11/10, 35, 11, 7, 1, 
2022/11/11, 39, 19, 11, 1, 
2022/11/12, 62, 11, 7, 1, 
2022/11/13, 43, 31, 9, 3, 
2022/11/14, 86, 31, 10, 3, 
2022/11/15, 88, 10, 4, 2, 
2022/11/16, 34, 13, 5, 3, 
2022/11/17, 44, 16, 9, 2, 
2022/11/18, 47, 17, 12, 3, 
2022/11/19, 58, 12, 6, 3, 
2022/11/20, 51, 14, 8, 3, 
2022/11/21, 57, 24, 9, 4, 
2022/11/22, 78, 38, 11, 5, 
2022/11/23, 109, 34, 11, 4, 
2022/11/24, 92, 31, 9, 3, 
2022/11/25, 86, 25, 9, 1, 
2022/11/26, 75, 21, 11, 1, 
2022/11/27, 68, 23, 9, 3, 
2022/11/28, 73, 33, 8, 2, 
2022/11/29, 97, 38, 9, 1, 
2022/11/30, 108, 29, 10, 1, 
2022/12/1, 85, 21, 9, , 
2022/12/2, 67, 27, 6, , 
2022/12/3, 84, 33, 6, 1, 
2022/12/4, 100, 21, 8, 1, 
2022/12/5, 73, 16, 6, 2, 
2022/12/6, 58, 9, 9, 3, 
2022/12/7, 40, 12, 12, 2, 
2022/12/8, 46, 19, 14, 2, 
2022/12/9, 53, 23, 10, 2, 
2022/12/10, 59, 19, 8, 2, 
2022/12/11, 67, 8, 7, 1, 
2022/12/12, 36, 16, 10, 1, 
2022/12/13, 51, 31, 16, 2, 
2022/12/14, 87, 46, 16, 2, 
2022/12/15, 133, 51, 15, 2, 
2022/12/16, 138, 54, 13, , 
2022/12/17, 137, 20, 10, , 
2022/12/18, 69, 27, 13, 2, 
2022/12/19, 84, 17, 12, 5, 
2022/12/20, 63, 22, 12, 4, 
2022/12/21, 71, 19, 12, 3, 
2022/12/22, 66, 21, 13, 3, 
2022/12/23, 71, 15, 10, 2, 
2022/12/24, 56, 14, 8, 1, 
2022/12/25, 55, 9, 5, 2, 
2022/12/26, 36, 9, 7, , 
2022/12/27, 33, 8, 10, 1, 
2022/12/28, 32, 5, 10, 2, 
2022/12/29, 20, 6, 9, , 
2022/12/30, 23, 4, 6, 1, 
2022/12/31, 16, 9, 4, , 
2023/1/1, 30, 10, 10, , 
2022/9/25, 63, 13, 9, 4, 
2022/9/26, 34, 9, 10, 5, 
2022/9/27, 32, 10, 8, 5, 
2022/9/28, 34, 15, 10, 4, 
2022/9/29, 46, 20, 15, 6, 
2022/9/30, 53, 13, 10, 4, 
2021/7/27, 47, 17, 9, 1, 1
2021/7/28, 37, 24, 4, 1, 1
2021/7/29, 34, 22, 9, 1, 1
2021/7/30, 42, 22, 7, 1, 1
2021/7/31, 33, 8, 3, 1, 1
2021/8/1, 22, 9, 3, 1, 1
2021/8/2, 18, 9, 6, , 1
2021/8/3, 20, 15, 8, 1, 1
2021/8/4, 27, 20, 9, 1, 1
2021/8/5, 35, 18, 10, 1, 1
2021/8/6, 32, 12, 7, 1, 1
2021/8/7, 30, 7, 4, 1, 1
2021/8/8, 22, 11, 6, , 1
2021/8/9, 24, 14, 10, 1, 1
2021/8/10, 30, 15, 9, , 2
2021/8/11, 40, 19, 12, , 2
2021/8/12, 40, 24, 14, 1, 2
2021/8/13, 49, 13, 4, , 1
2021/8/14, 31, 11, 4, 1, 1
2021/8/15, 32, 12, 6, 1, 1
2021/8/16, 31, 7, 2, 1, 1
2021/8/17, 20, 9, 2, 1, 1
2021/8/18, 26, 10, 4, , 1
2021/8/19, 29, 8, 6, , 1
2021/8/20, 27, 11, 5, 1, 1
2021/8/21, 33, 11, 7, , 1
2021/8/22, 26, 10, 4, , 1
2021/8/23, 18, 7, 5, , 1
2021/8/24, 17, 11, 6, 2, 2
2021/8/25, 26, 6, 4, 3, 2
2021/8/26, 16, 10, 7, 1, 1
2021/8/27, 30, 9, 6, , 2
2021/8/28, 32, 6, 5, , 2
2021/8/29, 24, 12, 5, , 1
2021/8/30, 39, 14, 4, , 1
2021/8/31, 45, 11, 6, , 1
2021/9/1, 29, 16, 7, , 1
2021/9/2, 42, 19, 6, 1, 1
2021/9/3, 54, 22, 8, 1, 1
2021/9/4, 56, 9, 5, 1, 1
2021/9/5, 21, 20, 13, 3, 2
2021/9/6, 35, 25, 12, 2, 2
2021/9/7, 62, 35, 20, 1, 3
2021/9/8, 78, 38, 18, 2, 2
2021/9/9, 71, 34, 19, 4, 3
2021/9/10, 71, 15, 9, 2, 2
2021/9/11, 50, 12, 3, 2, 2
2021/9/12, 47, 9, 6, 2, 1
2021/9/13, 30, 19, 12, 1, 2
2021/9/14, 46, 24, 11, 2, 2
2021/9/15, 62, 10, 5, 2, 1
2021/9/16, 36, 5, 4, 2, 1
2021/9/17, 15, 8, 4, 2, 1
2021/9/18, 24, 10, 4, 2, 1
2021/9/19, 24, 12, 8, 2, 1
2021/9/20, 29, 12, 8, 1, 2
2021/9/21, 36, 11, 7, 1, 1
2021/9/22, 37, 19, 5, 3, 1
2021/9/23, 56, 11, 4, 3, 1
2021/9/24, 33, 18, 8, 2, 2
2021/9/25, 57, 16, 7, 2, 1
2021/9/26, 54, 25, 10, 2, 2
2021/9/27, 66, 23, 12, 2, 2
2021/9/28, 66, , , , 
2020/10/1, 78, 41, 6, 1, 2
2020/10/2, 101, 22, 5, 2, 2
2020/10/3, 70, 10, 8, 2, 2
2020/10/4, 35, 13, 9, 1, 2
2020/10/5, 43, 13, 10, 2, 1
2020/10/6, 29, 12, 10, 1, 1
2020/10/7, 36, 14, 8, 1, 1
2020/10/8, 39, 10, 9, 1, 2
2020/10/9, 28, 11, 6, 1, 2
2020/10/10, 43, 12, 7, 1, 2
2020/10/11, 47, 17, 12, 1, 2
2020/10/12, 56, 13, 10, 1, 2
2020/10/13, 44, 5, 3, 1, 1
2020/10/14, 15, 4, 5, 1, 1
2020/10/15, 16, 7, 11, , 2
2020/10/16, 25, 14, 9, , 2
2020/10/17, 52, 8, 4, 1, 1
2020/10/18, 34, 10, 9, , 2
2020/10/19, 37, 24, 12, 1, 2
2020/10/20, 70, 21, 11, 1, 2
2020/10/21, 67, 18, 11, 1, 2
2020/10/22, 51, 18, 11, 2, 2
2020/10/23, 64, 14, 7, 3, 1
2020/10/24, 52, 13, 4, 3, 1
2020/10/25, 45, 26, 10, 1, 2
2020/10/26, 75, 17, 11, , 1
2020/10/27, 54, 17, 10, , 2
2020/10/28, 50, 9, 9, , 1
2020/10/29, 35, 11, 12, , 2
2020/10/30, 45, 13, 8, , 2
2020/10/31, 52, 16, 5, , 2
2020/11/1, 60, 9, 9, , 1
2020/11/2, 32, 13, 11, , 1
2020/11/3, 40, 13, 10, , 1
2020/11/4, 45, 11, 7, 1, 1
2020/11/5, 41, 12, 9, 1, 2
2020/11/6, 50, 20, 10, 2, 2
2020/11/7, 66, 25, 6, 2, 1
2020/11/8, 76, 26, 8, 1, 1
2020/11/9, 80, 39, 11, 1, 2
2020/11/10, 110, 25, 8, 1, 3
2020/11/11, 80, 28, 10, 2, 3
2020/11/12, 81, 26, 13, 3, 3
2020/11/13, 76, 24, 10, 3, 3
2020/11/14, 78, 18, 8, 3, 2
2020/11/15, 64, 15, 10, 3, 2
2020/11/16, 51, 11, 9, 2, 1
2020/11/17, 44, 12, 9, 1, 2
2020/11/18, 47, 10, 7, 2, 1
2020/11/19, 33, 13, 11, 1, 2
2020/11/20, 45, 15, 7, 1, 1
2020/11/21, 51, 11, 5, 1, 1
2020/11/22, 46, 10, 8, 1, 2
2020/11/23, 41, 18, 12, 1, 2
2020/11/24, 61, 26, 12, 1, 2
2020/11/25, 79, 28, 12, 2, 3
