date, pm10, no2, so2, co
2023/1/2, 21, 2, 2, 
2023/1/3, 17, 4, 1, 
2023/1/4, 15, 2, 1, 
2023/1/5, 11, 4, , 
2023/1/6, 13, 1, 1, 
2023/1/7, 13, , , 
2022/10/1, 22, , , 
2022/10/2, 10, 1, , 
2022/10/3, 11, 2, , 
2022/10/4, 15, 4, , 
2022/10/5, 19, 2, , 
2022/10/6, 16, 6, , 
2022/10/7, 21, 3, , 
2022/10/8, 19, 3, , 
2022/10/9, 20, 9, , 
2022/10/10, 25, 3, , 
2022/10/11, 19, 6, , 
2022/10/12, 25, 11, 1, 
2022/10/13, 31, 7, , 
2022/10/14, 37, 5, , 
2022/10/15, 32, 2, , 
2022/10/16, 17, 6, , 
2022/10/17, 20, 2, , 
2022/10/18, 18, 3, , 
2022/10/19, 11, 11, , 
2022/10/20, 24, 13, , 
2022/10/21, 29, 4, , 
2022/10/22, 26, 2, , 
2022/10/23, 20, 7, , 
2022/10/24, 25, 4, , 
2022/10/25, 19, 4, , 
2022/10/26, 20, 6, , 
2022/10/27, 24, 6, , 
2022/10/28, 27, 5, , 
2022/10/29, 23, 4, , 
2022/10/30, 23, 4, , 
2022/10/31, 21, 3, , 
2022/11/1, 23, 4, , 
2022/11/2, 16, 9, , 
2022/11/3, 13, 8, 1, 
2022/11/4, 31, 4, , 
2022/11/5, 19, 3, , 
2022/11/6, 23, 4, , 
2022/11/7, 20, 5, , 
2022/11/8, 17, 6, 1, 
2022/11/9, 21, 3, , 
2022/11/10, 21, 2, , 
2022/11/11, 16, 2, , 
2022/11/12, 16, 3, , 
2022/11/13, 16, 8, , 
2022/11/14, 33, 5, , 
2022/11/15, 35, 3, , 
2022/11/16, 15, 3, 2, 
2022/11/17, 17, 6, , 
2022/11/18, 18, 7, 1, 
2022/11/19, 32, 5, 1, 
2022/11/20, 25, 8, 1, 
2022/11/21, 32, 7, 1, 
2022/11/22, 36, 8, 1, 
2022/11/23, 42, 8, 1, 
2022/11/24, 41, 7, 1, 
2022/11/25, 26, 6, 1, 
2022/11/26, 38, 4, 1, 
2022/11/27, 23, 5, 1, 
2022/11/28, 27, 5, 3, 
2022/11/29, 40, 6, 3, 
2022/11/30, 44, 7, 1, 
2022/12/1, 32, 5, 1, 
2022/12/2, 23, 4, 2, 
2022/12/3, 32, 4, 2, 
2022/12/4, 38, 5, 1, 
2022/12/5, 28, 6, 1, 
2022/12/6, 23, 3, 1, 
2022/12/7, 11, 7, 1, 
2022/12/8, 14, 8, 1, 
