date, pm25, pm10, o3, no2, so2, co
2023/1/2, 64, 30, , 13, , 
2023/1/3, 46, 36, , 18, , 
2023/1/4, 65, 7, , 9, , 
2023/1/5, 17, 18, , 11, , 
2023/1/6, 42, 22, , 19, , 
2023/1/7, 67, , , , , 
2022/10/1, 69, 15, , 11, , 
2022/10/2, 37, 13, , 13, , 
2022/10/3, 22, 18, , 14, , 
2022/10/4, 31, 35, , 19, , 
2022/10/5, 54, 34, , 21, , 
2022/10/6, 47, 37, , 26, , 
2022/10/7, 58, 41, , 20, , 
2022/10/8, 71, 26, , 13, , 
2022/10/9, 49, 26, , 14, , 
2022/10/10, 55, 40, , 19, , 
2022/10/11, 58, 51, , 28, , 
2022/10/12, 71, 37, , 21, , 
2022/10/13, 68, 39, , 15, , 
2022/10/14, 83, 40, , 17, , 
2022/10/15, 87, 35, , 19, , 
2022/10/16, 65, 47, , 24, , 
2022/10/17, 77, 40, , 24, , 
2022/10/18, 63, 19, , 15, , 
2022/10/19, 34, 32, , 24, , 
2022/10/20, 44, 29, , 15, , 
2022/10/21, 65, 28, , 16, , 
2022/10/22, 73, 27, , 13, , 
2022/10/23, 62, 36, , 18, , 
2022/10/24, 73, 28, , 18, , 
2022/10/25, 58, 38, , 21, , 
2022/10/26, 63, 52, , 25, , 
2022/10/27, 86, 48, , 22, , 
2022/10/28, 86, 40, , 14, , 
2022/10/29, 62, 43, , 20, , 
2022/10/30, 67, 40, , 18, , 
2022/10/31, 81, 28, , 11, , 
2022/11/1, 70, 44, , 15, , 
2022/11/2, 84, 44, , 24, , 
2022/11/3, 60, 23, , 12, , 
2022/11/4, 57, 28, , 13, , 
2022/11/5, 73, 26, , 17, , 
2022/11/6, 61, 37, , 17, , 
2022/11/7, 72, 37, , 23, , 
2022/11/8, 65, 42, , 20, , 
2022/11/9, 83, 29, , 20, , 
2022/11/10, 75, 24, , 13, , 
2022/11/11, 58, 37, , 16, , 
2022/11/12, 71, 22, , 15, , 
2022/11/13, 63, 20, , 12, , 
2022/11/14, 50, 38, , 18, , 
2022/11/15, 80, 13, , 7, , 
2022/11/16, 39, 16, , 11, , 
2022/11/17, 36, 22, , 11, , 
2022/11/18, 53, 33, , 18, , 
2022/11/19, 71, 47, , 13, , 
2022/11/20, 108, 52, , 16, , 
2022/11/21, 132, 40, , 11, , 
2022/11/22, 106, 28, , 10, , 
2022/11/23, 76, 25, , 15, , 
2022/11/24, 70, 42, , 18, , 
2022/11/25, 110, 41, , 14, , 
2022/11/26, 106, 48, , 15, , 
2022/11/27, 116, 40, , 9, , 
2022/11/28, 110, 25, , 9, , 
2022/11/29, 67, 22, , 11, , 
2022/11/30, 60, 23, , 8, , 
2022/12/1, 63, 33, , 8, , 
2022/12/2, 80, 37, , 8, , 
2022/12/3, 97, 24, , 5, , 
2022/12/4, 72, 23, , 8, , 
2022/12/5, 67, 30, , 11, , 
2022/12/6, 81, 16, , 15, , 
2022/12/7, 52, 20, , 20, , 
2022/12/8, 56, 41, , 22, , 
2022/12/9, 107, 32, , 12, , 
2022/12/10, 93, 25, , 12, , 
2022/12/11, 65, 22, , 15, , 
2022/12/12, 53, 20, , 16, , 
2022/12/13, 58, 42, , 21, , 
2022/12/14, 115, 41, , 23, , 
2022/12/15, 105, 41, , 17, , 
2022/12/16, 107, 29, , 17, , 
2022/12/17, 82, 30, , 16, , 
2022/12/18, 85, 29, , 17, , 
2022/12/19, 83, 37, , 25, , 
2022/12/20, 82, 33, , 26, , 
2022/12/21, 85, 29, , 22, , 
2022/12/22, 82, 20, , 18, , 
2022/12/23, 62, 19, , 11, , 
2022/12/24, 63, 23, , 10, , 
2022/12/25, 70, 17, , 9, , 
2022/12/26, 57, 13, , 11, , 
2022/12/27, 34, 28, , 17, , 
2022/12/28, 52, 28, , 18, , 
2022/12/29, 50, 32, , 20, , 
2022/12/30, 57, 24, , 11, , 
2022/12/31, 56, 23, , 8, , 
2023/1/1, 41, 39, , 19, , 
2022/7/1, 66, 27, , 15, , 
2022/7/2, 41, 12, , 11, , 
2022/7/3, 20, 27, , 28, , 
2022/7/4, 46, 28, , 26, , 
2022/7/5, 48, 16, , 22, , 
2022/7/6, 28, 26, , 24, , 
2022/7/7, 29, 23, , 27, , 
2022/7/8, 35, 20, , 12, , 
2022/7/9, 28, 15, , 9, , 
2022/7/10, 21, 20, , 14, , 
2022/7/11, 25, 22, , 12, , 
2022/7/12, 24, 20, , 16, , 
2022/7/13, 25, 24, , 21, , 
2022/7/14, 35, 22, , 15, , 
2022/7/15, 25, 24, , 15, , 
2022/7/16, 29, 15, , 11, , 
2022/7/17, 21, 21, , 19, , 
2022/7/18, 30, 32, , 34, , 
2022/7/19, 45, 26, , 25, , 
2022/7/20, 43, 28, , 25, , 
2022/7/21, 37, 47, , 37, , 
2022/7/22, 64, 34, , 24, , 
2022/7/23, 55, 20, , 13, , 
2022/7/24, 33, 20, , 21, , 
2022/7/25, 32, 22, , 17, , 
2022/7/26, 45, 21, , 19, , 
2022/7/27, 31, 24, , 24, , 
2022/7/28, 31, 21, , 11, , 
2022/7/29, 25, 14, , 8, , 
2022/7/30, 24, 11, , 9, , 
2022/7/31, 24, 22, , 19, , 
2022/8/1, 34, 26, , 30, , 
2022/8/2, 47, 36, , 34, , 
2022/8/3, 63, 24, , 17, , 
2022/8/4, 47, 25, , 18, , 
2022/8/5, 50, 24, , 15, , 
2022/8/6, 41, 13, , 11, , 
2022/8/7, 19, 16, , 14, , 
2022/8/8, 24, 21, , 14, , 
2022/8/9, 31, 20, , 18, , 
2022/8/10, 29, 23, , 17, , 
2022/8/11, 31, 22, , 15, , 
2022/8/12, 42, 17, , 12, , 
2022/8/13, 42, 22, , 9, , 
2022/8/14, 53, 25, , 7, , 
2022/8/15, 56, 29, , 12, , 
2022/8/16, 59, 32, , 16, , 
2022/8/17, 64, 37, , 19, , 
2022/8/18, 69, 33, , 12, , 
2022/8/19, 62, 29, , 9, , 
2022/8/20, 52, 17, , 8, , 
2022/8/21, 36, 26, , 13, , 
2022/8/22, 48, 45, , 15, , 
2022/8/23, 65, 65, , 28, , 
2022/8/24, 79, 39, , 16, , 
2022/8/25, 51, 37, , 23, , 
2022/8/26, 54, 35, , 16, , 
2022/8/27, 60, 34, , 20, , 
2022/8/28, 54, 22, , 17, , 
2022/8/29, 38, 26, , 17, , 
2022/8/30, 33, 19, , 18, , 
2022/8/31, 21, 20, , 20, , 
2022/9/1, 20, 18, , 15, , 
2022/9/2, 20, 19, , 13, , 
2022/9/3, 27, 21, , 11, , 
2022/9/4, 45, 16, , 13, , 
2022/9/5, 17, 19, , 12, , 
2022/9/6, 20, 23, , 17, , 
2022/9/7, 31, 23, , 9, , 
2022/9/8, 32, 21, , 10, , 
2022/9/9, 56, 15, , 8, , 
2022/9/10, 41, 16, , 13, , 
2022/9/11, 37, 20, , 18, , 
2022/9/12, 35, 31, , 25, , 
2022/9/13, 54, 22, , 21, , 
2022/9/14, 42, 29, , 23, , 
2022/9/15, 46, 24, , 16, , 
2022/9/16, 33, 25, , 17, , 
2022/9/17, 36, 21, , 10, , 
2022/9/18, 36, 14, , 14, , 
2022/9/19, 33, 35, , 18, , 
2022/9/20, 73, 20, , 16, , 
2022/9/21, 31, 26, , 18, , 
