date, pm25, no2, co
2023/1/2, 57, 21, 
2023/1/3, 62, 20, 
2023/1/4, 60, 10, 
2023/1/5, 31, 12, 
2023/1/6, 40, 22, 
2023/1/7, 65, 15, 
2023/1/8, 83, 23, 
2023/1/9, 83, 17, 
2022/10/1, 58, 8, 
2022/10/2, 39, 12, 
2022/10/3, 39, 14, 
2022/10/4, 39, 16, 
2022/10/5, 53, 22, 
2022/10/6, 54, 23, 
2022/10/7, 70, 17, 
2022/10/8, 62, 14, 
2022/10/9, 48, 16, 
2022/10/10, 60, 23, 
2022/10/11, 62, 25, 
2022/10/12, 80, 23, 
2022/10/13, 90, 21, 
2022/10/14, 86, 12, 
2022/10/15, 74, 11, 
2022/10/16, 50, 19, 
2022/10/17, 77, 25, 
2022/10/18, 66, 15, 
2022/10/19, 47, 18, 
2022/10/20, 60, 17, 
2022/10/21, 63, 17, 
2022/10/22, 67, 17, 
2022/10/23, 54, 19, 
2022/10/24, 58, 22, 
2022/10/25, 53, 24, 
2022/10/26, 65, 26, 
2022/10/27, 86, 23, 
2022/10/28, 72, 21, 
2022/10/29, 68, 21, 
2022/10/30, 83, 28, 
2022/10/31, 92, 14, 
2022/11/1, 81, 21, 
2022/11/2, 60, 22, 
2022/11/3, 62, 20, 
2022/11/4, 77, 16, 
2022/11/5, 48, 15, 
2022/11/6, 70, 21, 
2022/11/7, 65, 19, 
2022/11/8, 58, 21, 
2022/11/9, 87, 21, 
2022/11/10, 65, 19, 
2022/11/11, 66, 23, 
2022/11/12, 74, 13, 
2022/11/13, 105, 19, 
2022/11/14, 104, 26, 
2022/11/15, 123, 17, 
2022/11/16, 95, 11, 
2022/11/17, 41, 17, 
2022/11/18, 64, 16, 
2022/11/19, 72, 18, 
2022/11/20, 105, 19, 
2022/11/21, 88, 19, 
2022/11/22, 104, 19, 
2022/11/23, 141, 20, 
2022/11/24, 128, 25, 
2022/11/25, 110, 20, 
2022/11/26, 83, 13, 
2022/11/27, 90, 18, 
2022/11/28, 108, 21, 
2022/11/29, 95, 18, 
2022/11/30, 124, 18, 
2022/12/1, 84, 15, 
2022/12/2, 70, 12, 
2022/12/3, 113, 14, 
2022/12/4, 131, 14, 
2022/12/5, 108, 14, 
2022/12/6, 68, 18, 
2022/12/7, 45, 20, 
2022/12/8, 63, 21, 
2022/12/9, 94, 15, 
2022/12/10, 111, 11, 
2022/12/11, 86, 15, 
2022/12/12, 56, 22, 
2022/12/13, 72, 25, 
2022/12/14, 154, 28, 
2022/12/15, 131, 23, 
2022/12/16, 152, 16, 
2022/12/17, 143, 13, 
2022/12/18, 109, 21, 
2022/12/19, 120, 20, 
2022/12/20, 88, 23, 
2022/12/21, 90, 20, 
2022/12/22, 58, 23, 
2022/12/23, 60, 16, 
2022/12/24, 51, 16, 
2022/12/25, 59, 13, 
2022/12/26, 59, 15, 
2022/12/27, 38, 20, 
2022/12/28, 43, 16, 
2022/12/29, 45, 21, 
2022/12/30, 59, 10, 
2022/12/31, 41, 12, 
2023/1/1, 54, 18, 
2022/7/1, 67, 14, 
2022/7/2, 44, 16, 
2022/7/3, 45, 26, 
2022/7/4, 59, 25, 
2022/7/5, 56, 20, 
2022/7/6, 53, 18, 
2022/7/7, 45, 12, 
2022/7/8, 46, 10, 
2022/7/9, 39, 7, 
2022/7/10, 35, 14, 
2022/7/11, 38, 14, 
2022/7/12, 35, 18, 
2022/7/13, 37, 20, 
2022/7/14, 52, 14, 
2022/7/15, 44, 15, 
2022/7/16, 43, 11, 
2022/7/17, 38, 26, 
2022/7/18, 44, 31, 
2022/7/19, 53, 34, 
2022/7/20, 62, 26, 
2022/7/21, 68, 21, 
2022/7/22, 57, 20, 
2022/7/23, 64, 15, 
2022/7/24, 43, 24, 
2022/7/25, 45, 17, 
2022/7/26, 48, 17, 
2022/7/27, 42, 25, 
2022/7/28, 45, 23, 
2022/7/29, 51, 15, 
2022/7/30, 48, 12, 
2022/7/31, 41, 17, 
2022/8/1, 44, 19, 
2022/8/2, 38, 25, 
2022/8/3, 47, 29, 
2022/8/4, 66, 24, 
2022/8/5, 72, 12, 
2022/8/6, 40, 12, 
2022/8/7, 32, 24, 
2022/8/8, 44, 25, 
2022/8/9, 50, 25, 
2022/8/10, 49, 24, 
2022/8/11, 49, 23, 
2022/8/12, 48, 21, 
2022/8/13, 58, 16, 
2022/8/14, 55, 15, 
2022/8/15, 52, 28, 
2022/8/16, 55, 40, 
2022/8/17, 66, 28, 
2022/8/18, 73, 23, 
2022/8/19, 64, 14, 
2022/8/20, 58, 7, 
2022/8/21, 30, 15, 
2022/8/22, 39, 14, 
2022/8/23, 48, 18, 
2022/8/24, 64, 23, 
2022/8/25, 74, 27, 
2022/8/26, 71, 23, 
2022/8/27, 58, 9, 
2022/8/28, 45, 16, 
2022/8/29, 46, 19, 
2022/8/30, 47, 22, 
2022/8/31, 47, 20, 
2022/9/1, 40, 21, 
2022/9/2, 40, 17, 
2022/9/3, 46, 14, 
2022/9/4, 50, 19, 
2022/9/5, 57, 22, 
2022/9/6, 45, 23, 
2022/9/7, 56, 24, 
2022/9/8, 67, 17, 
2022/9/9, 43, 14, 
2022/9/10, 36, 7, 
2022/9/11, 41, 15, 
2022/9/12, 49, 18, 
2022/9/13, 51, 19, 
2022/9/14, 56, 13, 
2022/9/15, 47, 13, 
2022/9/16, 35, 10, 
2022/9/17, 34, 7, 
2022/9/18, 28, 12, 
2022/9/19, 33, 14, 
2022/9/20, 40, 15, 
2022/9/21, 42, 20, 
2022/9/22, 43, 24, 
2022/9/23, 61, 21, 
2022/9/24, 64, 20, 
2022/9/25, 74, 22, 
2022/9/26, 73, 18, 
2022/9/27, 59, 18, 
2022/9/28, 46, 23, 
2022/9/29, 54, 20, 
2022/9/30, 75, 15, 
2022/4/1, 57, 11, 
2022/4/2, 52, 10, 
2022/4/3, 42, 14, 
2022/4/4, 52, 15, 
2022/4/5, 43, 17, 
2022/4/6, 48, 18, 
2022/4/7, 41, 12, 
2022/4/8, 36, 12, 
2022/4/9, 41, 9, 
2022/4/10, 35, 20, 
2022/4/11, 49, 25, 
2022/4/12, 83, 27, 
2022/4/13, 81, 25, 
2022/4/14, 90, 12, 
2022/4/15, 51, 8, 
2022/4/16, 44, 10, 
2022/4/17, 38, 15, 
2022/4/18, 62, 20, 
2022/4/19, 61, 23, 
2022/4/20, 71, 21, 
2022/4/21, 74, 17, 
2022/4/22, 80, 23, 
2022/4/23, 68, 19, 
2022/4/24, 77, 17, 
2022/4/25, 56, 22, 
2022/4/26, 65, 27, 
2022/4/27, 81, 25, 
2022/4/28, 67, 28, 
2022/4/29, 61, 29, 
2022/4/30, 81, 20, 
2022/5/1, 69, 26, 
2022/5/2, 73, 22, 
2022/5/3, 78, 26, 
2022/5/4, 65, 27, 
2022/5/5, 75, 22, 
2022/5/6, 66, 26, 
2022/5/7, 70, 17, 
2022/5/8, 61, 20, 
2022/5/9, 49, 22, 
2022/5/10, 58, 27, 
2022/5/11, 61, 19, 
2022/5/12, 46, 23, 
2022/5/13, 53, 16, 
2022/5/14, 53, 15, 
2022/5/15, 50, 26, 
2022/5/16, 48, 27, 
