name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
biała podlaska,2022-01-01,9.4,2.7,6.6,6.8,-0.5,3.6,4.6,87.9,5.524,100,12.5,rain,0,0,50.4,22.4,303.9,1015.5,95.7,27.3,14.8,1.3,1,,2022-01-01T07:35:56,2022-01-01T15:26:27,0.99,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"33008099999,12399099999,12385099999,12497099999"
biała podlaska,2022-01-02,8,-0.6,3.2,5.2,-3.2,0.6,1.6,89.2,0.104,100,4.17,rain,0,0,39.6,18.7,200.3,1016.6,90.5,21.6,15.4,1.2,1,,2022-01-02T07:35:48,2022-01-02T15:27:32,1,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"33008099999,12399099999,12385099999,12497099999"
biała podlaska,2022-01-03,8.5,6,7.4,5.7,2.7,4.5,5.1,85.7,4.015,100,12.5,rain,0,0,57.6,24.4,260.6,1002.8,87.1,21.3,12.7,1.1,1,,2022-01-03T07:35:36,2022-01-03T15:28:40,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"33008099999,12399099999,12385099999,12497099999"
biała podlaska,2022-01-04,6.2,3.8,5.3,3.6,1,2.6,4.4,93.4,2.36,100,12.5,rain,0,0,27.1,16.5,205.8,999.7,87.2,11.6,16.2,1.4,1,,2022-01-04T07:35:21,2022-01-04T15:29:51,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"33008099999,12399099999,12385099999,12497099999"
biała podlaska,2022-01-05,6.6,1.6,4.3,3.7,-2.1,1.4,3.4,93.8,3.742,100,16.67,rain,0,0,54,18.7,242.2,997.2,92.9,11.5,9.4,0.8,0,,2022-01-05T07:35:02,2022-01-05T15:31:04,0.05,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"33008099999,12399099999,12385099999,12497099999"
biała podlaska,2022-01-06,2.7,-1.2,0.9,-1.3,-6.9,-3.4,-0.9,87.7,1.865,100,16.67,"rain,snow",0,0,54,21.9,256.3,1005.5,86.2,17.1,22.3,1.9,1,,2022-01-06T07:34:41,2022-01-06T15:32:20,0.09,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"33008099999,12399099999,12385099999,12497099999"
biała podlaska,2022-01-07,-0.1,-4.4,-2.3,-3.7,-9.5,-6.4,-5.8,77.5,0.099,100,4.17,snow,2,1.1,43.2,15.1,233.8,1019.5,43.9,19.6,52.5,4.7,3,,2022-01-07T07:34:15,2022-01-07T15:33:39,0.14,"Snow, Partially cloudy",Becoming cloudy in the afternoon with morning snow.,snow,"33008099999,12399099999,12385099999,12497099999"
biała podlaska,2022-01-08,-1.6,-6.2,-3.6,-5.5,-10.7,-7.4,-7.4,75.3,0,0,0,,0,1.3,14.4,11.5,164.7,1015.7,62.1,20.4,48.2,4.2,3,,2022-01-08T07:33:47,2022-01-08T15:34:59,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"33008099999,12399099999,12385099999,12497099999"
biała podlaska,2022-01-09,-0.9,-3.7,-2.4,-1.8,-6.6,-4.3,-3.9,89.1,0.047,100,4.17,"rain,snow",0.6,1.5,9,7.9,82.9,1008.9,82.8,8,42.3,3.6,2,,2022-01-09T07:33:15,2022-01-09T15:36:22,0.24,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain or snow.,snow,"33008099999,12399099999,12385099999,12497099999"
biała podlaska,2022-01-10,-0.7,-6.4,-2.6,-2.2,-9.3,-5.4,-5,84,9.808,100,4.17,snow,0.4,2.1,25.2,12.6,20.5,1020.9,65.6,16.1,56.2,4.9,2,10,2022-01-10T07:32:40,2022-01-10T15:37:47,0.28,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.,snow,"33008099999,12399099999,12385099999,12497099999"
biała podlaska,2022-01-11,-1.6,-7.4,-3.9,-5.2,-10.3,-7,-6.7,81.8,0,0,0,,0,2,29.5,12.7,350.9,1034.2,76.4,15.5,29.3,2.6,1,10,2022-01-11T07:32:02,2022-01-11T15:39:14,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"33008099999,12399099999,12385099999,12497099999"
biała podlaska,2022-01-12,-3.4,-11,-6.6,-4.8,-11,-8.6,-9.1,82.6,0,0,0,snow,0.1,2,37.4,9.5,271.5,1035.9,60.8,10.9,36.9,3.1,2,10,2022-01-12T07:31:20,2022-01-12T15:40:43,0.38,Partially cloudy,Partly cloudy throughout the day.,snow,"33008099999,12399099999,12385099999,12497099999"
biała podlaska,2022-01-13,3.2,-2.8,0.4,-1.2,-7,-4.2,-0.5,93.5,4.983,100,8.33,"rain,freezingrain,snow",0,0.9,58.7,20.1,260.4,1025.5,99.6,4.1,4.4,0.2,0,10,2022-01-13T07:30:36,2022-01-13T15:42:14,0.41,"Snow, Rain, Freezing Drizzle/Freezing Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain,"33008099999,12399099999,12385099999,12497099999"
biała podlaska,2022-01-14,6,1.9,3.7,1.3,-3.3,-1.1,1.2,83.8,1.011,100,16.67,rain,0,0,70.2,35,283.6,1013.8,76.4,21.9,7.3,0.7,0,10,2022-01-14T07:29:48,2022-01-14T15:43:47,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"33008099999,12399099999,12385099999,12497099999"
biała podlaska,2022-01-15,2.3,-0.5,0.9,-2.2,-5.9,-3.9,-3.1,75.6,0,0,0,,1,0.6,57.6,24.9,293,1021.2,51.2,26.1,33.9,2.8,2,10,2022-01-15T07:28:58,2022-01-15T15:45:21,0.47,Partially cloudy,Partly cloudy throughout the day.,snow,"33008099999,12399099999,12385099999,12497099999"
biała podlaska,2022-01-16,0.8,-1.3,-0.7,-3.6,-5.6,-4.5,-2.8,85.7,0,0,0,snow,0.2,0.4,52.9,17.9,242.4,1019.9,95.7,8.2,38.6,3.3,2,10,2022-01-16T07:28:04,2022-01-16T15:46:57,0.49,Overcast,Cloudy skies throughout the day.,snow,"33008099999,12399099999,12385099999,12497099999"
biała podlaska,2022-01-17,3.1,0.1,1.2,-2.1,-6.3,-4.4,-1.8,81.1,2.493,100,12.5,"rain,snow",0.7,0.5,69,32.4,284.7,1005.7,80.6,19.5,34.7,2.9,2,10,2022-01-17T07:27:08,2022-01-17T15:48:35,0.5,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"33008099999,12399099999,12385099999,12497099999"
biała podlaska,2022-01-18,1.6,-0.9,-0.1,-3.1,-6.2,-4.7,-4.4,73.2,0,0,0,snow,1,0.7,57.6,25.9,307.6,1025.5,55.9,28,50.8,4.3,2,10,2022-01-18T07:26:09,2022-01-18T15:50:13,0.5,Partially cloudy,Partly cloudy throughout the day.,snow,"33008099999,12399099999,12385099999,12497099999"
biała podlaska,2022-01-19,1,-1.2,0,-2,-5.9,-3.7,-1.5,89.6,0.036,100,8.33,"rain,snow",0,1,56.5,17.8,239.2,1023,95.8,7.2,18.4,1.4,1,10,2022-01-19T07:25:07,2022-01-19T15:51:54,0.52,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain,"33008099999,12399099999,12385099999,12497099999"
biała podlaska,2022-01-20,2.1,-2.6,-0.3,-2.8,-8.1,-5.5,-3.9,77.3,0.195,100,8.33,snow,1.4,1.4,57.6,24.6,246,1005.4,87.2,15.3,28.1,2.2,1,10,2022-01-20T07:24:02,2022-01-20T15:53:35,0.53,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"33008099999,12399099999,12385099999,12497099999"
biała podlaska,2022-01-21,0.3,-2.5,-1.2,-5.8,-9.3,-7.5,-5.4,73.8,0.307,100,8.33,snow,0.9,2.3,60.1,31.8,280.3,1008.3,93.8,20.6,35.7,3.2,1,10,2022-01-21T07:22:54,2022-01-21T15:55:18,0.56,"Snow, Overcast",Cloudy skies throughout the day with snow.,snow,"33008099999,12399099999,12385099999,12497099999"
biała podlaska,2022-01-22,-1.2,-2.4,-2,-6.4,-8.3,-7.4,-5.9,74.9,0.188,100,12.5,"rain,snow",0.2,2.2,50,22.2,311.4,1016.4,88.2,27.2,46.7,4,2,10,2022-01-22T07:21:44,2022-01-22T15:57:02,0.6,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"33008099999,12399099999,12385099999,12497099999"
biała podlaska,2022-01-23,-1.7,-7.3,-3.3,-4.3,-10,-7.1,-7.6,72.3,0.046,100,4.17,snow,0,1.8,43.2,17.5,348.6,1029.6,85,28.7,55.7,4.8,2,10,2022-01-23T07:20:32,2022-01-23T15:58:47,0.65,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.,snow,"33008099999,12399099999,12385099999,12497099999"
biała podlaska,2022-01-24,-3,-11.1,-6.4,-7.1,-13.7,-9.1,-9.4,79.5,4.904,100,4.17,snow,0.1,1.6,29.5,12.2,201.6,1036.3,54,9.3,61.1,5.3,2,10,2022-01-24T07:19:16,2022-01-24T16:00:33,0.7,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.,snow,"33008099999,12399099999,12385099999,12497099999"
biała podlaska,2022-01-25,1.8,-3.2,-0.2,-1.5,-6.9,-3.5,-1,94.3,5.049,100,12.5,snow,0.3,1.1,40.3,12.9,264.3,1025.6,100,3.4,11.2,0.8,1,10,2022-01-25T07:17:59,2022-01-25T16:02:19,0.75,"Snow, Overcast",Cloudy skies throughout the day with snow.,snow,"33008099999,12399099999,12385099999,12497099999"
biała podlaska,2022-01-26,2.1,0.6,1.2,0.8,-2.3,-1.1,0.5,95,0.22,100,16.67,"rain,snow",0.3,2.1,48.6,14.3,275.9,1021.6,98.3,5.6,19.9,1.8,1,10,2022-01-26T07:16:38,2022-01-26T16:04:07,0.81,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"33008099999,12399099999,12385099999,12497099999"
