name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
bielsko biała,2022-01-01,10.7,8.3,9.1,10.7,5.4,6.6,8.3,95.1,7.152,100,70.83,rain,0,41.4,46.7,32.2,245.6,1022.4,99,7.4,11.6,1,1,,2022-01-01T07:41:38,2022-01-01T15:53:16,0.99,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"12566099999,11782099999,11918099999,11787099999,12600099999,F6525,12560099999,F8705"
bielsko biała,2022-01-02,12,6.1,9.6,12,4.8,9.2,5.2,75.1,0.003,100,4.17,rain,0,35.1,54,39,197.7,1018.8,92.6,40.5,30.9,2.6,2,,2022-01-02T07:41:33,2022-01-02T15:54:18,1,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"12566099999,11782099999,11918099999,11787099999,12600099999,12560099999,F8705"
bielsko biała,2022-01-03,10.5,7.1,8.6,10.5,3,4.9,3.2,69.3,0.986,100,16.67,rain,0,28.7,68.1,35.8,230,1011.3,83.1,46.2,25.5,2.2,2,,2022-01-03T07:41:25,2022-01-03T15:55:22,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"12566099999,11782099999,E6430,11918099999,11787099999,12600099999,12560099999,F8705"
bielsko biała,2022-01-04,9.8,5.1,7.6,6,1.7,4.1,4.7,82.3,6.753,100,45.83,rain,0.6,22.7,64.6,42.5,196.6,1001.1,96.5,30.6,14.3,1.1,1,,2022-01-04T07:41:14,2022-01-04T15:56:29,0.02,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"12566099999,11782099999,11918099999,11787099999,12600099999,12560099999,F8705"
bielsko biała,2022-01-05,6.2,1,4,4.6,-5,0.6,2.1,87.6,8.865,100,58.33,rain,1,23.1,53.6,32.2,227.2,1001.8,96.9,24.6,11.8,0.9,1,,2022-01-05T07:41:00,2022-01-05T15:57:38,0.05,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"12566099999,11782099999,F6434,11918099999,11787099999,12600099999,12560099999,F8705"
bielsko biała,2022-01-06,2.5,-3.4,-0.1,-1.8,-8.9,-5.4,-3.8,76.2,0.315,100,16.67,"rain,snow",0.4,23.9,46.9,32,239.1,1013.3,84.2,35,26.5,2.3,2,,2022-01-06T07:40:43,2022-01-06T15:58:49,0.09,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"12566099999,11782099999,F6434,11918099999,11787099999,12600099999,12560099999,F8705"
bielsko biała,2022-01-07,0.8,-7.9,-3.4,-0.2,-12.9,-7.1,-11,58.5,0.001,100,4.17,snow,0,23.8,43.4,21.6,158.8,1022.3,27.2,36.7,54.6,4.6,3,,2022-01-07T07:40:23,2022-01-07T16:00:02,0.14,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.,rain,"12566099999,11782099999,11918099999,11787099999,12600099999,12560099999,F8705"
bielsko biała,2022-01-08,0.1,-3.6,-1.7,-0.2,-9.5,-5.5,-8,62.5,0,0,0,,0,23.1,42.8,24.9,167.4,1014.9,73,38.1,18.1,1.4,1,,2022-01-08T07:40:00,2022-01-08T16:01:17,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12566099999,11782099999,11918099999,11787099999,12600099999,12560099999,F8705"
bielsko biała,2022-01-09,2.5,-3,-0.1,2.5,-6.5,-2.7,-5.5,67.6,0.003,100,12.5,"rain,snow",0,23,43.4,24.9,129,1006.2,69.9,34.3,47.8,4,2,,2022-01-09T07:39:33,2022-01-09T16:02:35,0.24,"Snow, Rain, Partially cloudy",Becoming cloudy in the afternoon with rain or snow.,rain,"12566099999,11782099999,11918099999,11787099999,12600099999,12560099999,F8705"
bielsko biała,2022-01-10,0.3,-3.4,-1.9,-0.7,-9.2,-5,-3.7,88.1,0.001,100,4.17,"rain,snow",0,23,50.4,21.5,55.1,1019,82.4,6.2,58.1,4.9,3,10,2022-01-10T07:39:04,2022-01-10T16:03:54,0.28,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.,rain,"12566099999,11782099999,11918099999,11787099999,12600099999,12560099999,F8705"
bielsko biała,2022-01-11,-2.4,-7.8,-4.2,-6.4,-11.2,-8.1,-7.4,78.8,0.044,100,4.17,snow,0,22.8,18.2,14.5,54.2,1034.7,70.4,13.7,40.3,3.5,2,10,2022-01-11T07:38:32,2022-01-11T16:05:15,0.33,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.,snow,"12566099999,11782099999,11918099999,11787099999,12600099999,12560099999,F8705"
bielsko biała,2022-01-12,-4.5,-7.2,-5.9,-4.5,-9.5,-6.9,-7.7,87.3,0,0,0,,0.1,22.1,57.6,9.2,23.5,1038.6,90.5,7.2,27.3,2.4,1,10,2022-01-12T07:37:57,2022-01-12T16:06:37,0.38,Overcast,Cloudy skies throughout the day.,snow,"12566099999,11782099999,11918099999,11787099999,12600099999,12560099999,F8705"
bielsko biała,2022-01-13,5,-4.2,1.6,1.5,-6.1,-1.7,-0.6,85.9,0.003,100,12.5,snow,0.4,22,39.7,21.7,244.1,1034.7,84.8,11.9,24,2.2,1,10,2022-01-13T07:37:19,2022-01-13T16:08:02,0.41,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.,snow,"12566099999,11782099999,11918099999,11787099999,12600099999,12560099999,F8705"
bielsko biała,2022-01-14,5.5,-1.1,2.5,1.5,-4.9,-1.8,0.2,85.3,0.219,100,25,snow,1.2,22.4,53.9,28.7,253.3,1028,87.7,13.4,28.8,2.6,2,10,2022-01-14T07:36:38,2022-01-14T16:09:28,0.45,"Snow, Partially cloudy",Partly cloudy throughout the day with late afternoon snow.,snow,"12566099999,11782099999,E6430,11918099999,11787099999,12600099999,12560099999,F8705"
bielsko biała,2022-01-15,1.6,-4.3,-0.2,-1.7,-7.5,-4,-1.8,88.7,0.395,100,4.17,snow,0.7,23.5,21.9,21.4,248,1029.6,47.8,9.4,37.8,3.5,1,10,2022-01-15T07:35:54,2022-01-15T16:10:55,0.47,"Snow, Partially cloudy",Clearing in the afternoon with early morning snow.,snow,"12566099999,11782099999,11918099999,11787099999,12600099999,12560099999,F8705"
bielsko biała,2022-01-16,5.4,-5.4,-0.5,2.8,-9.9,-4.1,-5.2,73.3,0,0,0,snow,5,23.8,50.3,28.7,205.7,1023.5,69,18.5,57.2,5,3,10,2022-01-16T07:35:07,2022-01-16T16:12:24,0.49,Partially cloudy,Partly cloudy throughout the day.,snow,"12566099999,11782099999,E6430,11918099999,11787099999,12600099999,12560099999,F8705"
bielsko biała,2022-01-17,2.8,-0.9,0.8,-3.9,-6.7,-5.2,-1.3,85.6,2.268,100,58.33,"rain,snow",6.9,29.5,72,46.5,239.5,1019.1,92.6,18.8,9.7,0.8,0,10,2022-01-17T07:34:18,2022-01-17T16:13:54,0.5,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"12566099999,11782099999,11918099999,11787099999,12600099999,12560099999,F8705"
bielsko biała,2022-01-18,-0.7,-1.7,-1.2,-3.6,-7.2,-5.4,-3.5,83.8,0,0,0,snow,0.4,29.8,50.4,21.5,267.8,1034.2,90.5,14.1,34.7,3.1,2,10,2022-01-18T07:33:26,2022-01-18T16:15:26,0.5,Overcast,Cloudy skies throughout the day.,snow,"12566099999,11782099999,11918099999,11787099999,12600099999,12560099999,F8705"
bielsko biała,2022-01-19,5.2,-4.6,0.6,4.1,-7.4,-2,-4.6,69.9,0,0,0,,1.2,29.5,57.8,28.7,205.7,1027.6,57.4,24.2,55.7,4.9,2,10,2022-01-19T07:32:32,2022-01-19T16:16:59,0.52,Partially cloudy,Partly cloudy throughout the day.,snow,"12566099999,11782099999,E6430,11918099999,11787099999,12600099999,12560099999,F8705"
bielsko biała,2022-01-20,2.6,-2.7,0.1,-3.6,-9.7,-6.2,-4.4,72.2,1.023,100,29.17,"rain,snow",1.4,20.3,68.3,42.8,232.9,1014.7,85.4,28.1,29.4,2.6,2,10,2022-01-20T07:31:35,2022-01-20T16:18:33,0.53,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"12566099999,11782099999,E6430,11918099999,11787099999,12600099999,12560099999,F8705"
bielsko biała,2022-01-21,-2.4,-4.7,-3.8,-8.3,-11.5,-10.2,-5.5,87.4,1.111,100,62.5,snow,8.4,17.5,64.4,28.5,257.5,1021,90.5,7.4,28.4,2.5,1,10,2022-01-21T07:30:35,2022-01-21T16:20:08,0.56,"Snow, Overcast",Cloudy skies throughout the day with a chance of snow throughout the day.,snow,"12566099999,11782099999,F6434,11918099999,11787099999,12600099999,12560099999,F8705"
bielsko biała,2022-01-22,-2.9,-5.7,-3.6,-6.5,-10.4,-8.4,-5.1,89.9,2.379,100,62.5,snow,8.2,26.6,46.8,21.6,260.8,1024.5,94.3,6.4,33,2.7,2,10,2022-01-22T07:29:33,2022-01-22T16:21:43,0.6,"Snow, Overcast",Cloudy skies throughout the day with a chance of snow throughout the day.,snow,"12566099999,11782099999,E6430,11918099999,11787099999,12600099999,12560099999,F8705"
bielsko biała,2022-01-23,-2.4,-5.9,-3.8,-2.4,-10.6,-7,-5.5,87.8,0.008,100,29.17,snow,0.5,26.5,14.8,14.4,254,1032.6,98.4,8.3,24.4,2.2,1,10,2022-01-23T07:28:28,2022-01-23T16:23:20,0.65,"Snow, Overcast",Cloudy skies throughout the day with a chance of snow throughout the day.,snow,"12566099999,11782099999,11918099999,11787099999,12600099999,F6525,12560099999,F8705"
bielsko biała,2022-01-24,-0.2,-10.3,-5,-2,-14.9,-6.6,-7.2,85.2,0,0,0,,0,25.5,10.8,14.4,119.2,1036.9,72.5,6.7,50.4,4.4,2,10,2022-01-24T07:27:21,2022-01-24T16:24:58,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12566099999,11782099999,E6430,11918099999,11787099999,12600099999,12560099999,F8705"
bielsko biała,2022-01-25,1,-1.9,-0.2,-0.2,-4.7,-3.2,-1.1,93.9,0.12,100,54.17,snow,3.5,24.9,39.6,17.9,241.2,1031.6,99.8,5,15.9,1.2,1,10,2022-01-25T07:26:12,2022-01-25T16:26:36,0.75,"Snow, Overcast",Cloudy skies throughout the day with snow.,snow,"12566099999,11782099999,E6430,11918099999,11787099999,12600099999,12560099999,F8705"
bielsko biała,2022-01-26,1.1,-0.1,0.3,-3.3,-5,-4.1,0.1,98,1.101,100,70.83,snow,9.3,29.2,21.8,21.4,244.6,1027.8,99.8,3.7,22,2,1,10,2022-01-26T07:25:00,2022-01-26T16:28:15,0.81,"Snow, Overcast",Cloudy skies throughout the day with a chance of snow throughout the day.,snow,"12566099999,11782099999,11918099999,11787099999,12600099999,12560099999,F8705"
bielsko biała,2022-01-27,2.1,-0.9,0.6,-1.9,-6,-4.4,-1.7,85.1,0.423,100,25,snow,28.2,48.7,54,32.3,226.4,1020.7,96.3,18.8,33,2.8,2,10,2022-01-27T07:23:46,2022-01-27T16:29:55,0.86,"Snow, Overcast",Cloudy skies throughout the day with snow.,snow,"12566099999,11782099999,11918099999,11787099999,12600099999,F6525,12560099999,F8705"
bielsko biała,2022-01-28,2.5,-1.4,0.9,-3.3,-6.7,-4.8,-0.7,88.9,1.298,100,62.5,snow,4.4,62.5,61.1,35.9,249.7,1019.4,97.2,17.9,13.5,1.1,1,10,2022-01-28T07:22:30,2022-01-28T16:31:35,0.91,"Snow, Overcast",Cloudy skies throughout the day with a chance of snow throughout the day.,snow,"12566099999,11782099999,F6434,11918099999,11787099999,12600099999,12560099999,F8705"
bielsko biała,2022-01-29,3.8,-2.2,0.3,-2.3,-7.7,-4.8,-3.1,78.2,0.77,100,45.83,"rain,snow",3.5,66.4,64.8,39.6,217.7,1022.6,76.9,31.4,39.2,3.4,2,10,2022-01-29T07:21:11,2022-01-29T16:33:16,0.95,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"12566099999,11782099999,E0150,11918099999,11787099999,12600099999,12560099999,F8705"
bielsko biała,2022-01-30,5.1,2.3,3.3,0,-4.3,-2.4,-1.3,71.9,0.462,100,75,"rain,snow",1.8,69,75.6,46.5,252.8,1010,94.4,24.9,18,1.3,1,10,2022-01-30T07:19:51,2022-01-30T16:34:57,0.98,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"12566099999,11782099999,E6430,11918099999,11787099999,12600099999,12560099999,F8705"
bielsko biała,2022-01-31,2.3,-1,0.7,-0.7,-4.9,-3.2,-4.2,70,0.009,100,29.17,"rain,snow",2.3,70.6,53.9,32.2,246,1009,97.1,16.7,30.7,2.5,1,10,2022-01-31T07:18:28,2022-01-31T16:36:39,1,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"12566099999,11782099999,11918099999,11787099999,12600099999,12560099999,F8705"
bielsko biała,2022-02-01,1.5,-1.7,-0.4,-3.3,-7.2,-5.1,-2.2,87.9,0.047,100,66.67,"rain,snow",9.5,55.8,64.6,39.2,227.5,1009.5,97.6,9.3,31.1,2.6,1,10,2022-02-01T07:17:04,2022-02-01T16:38:21,0,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"12566099999,11782099999,11918099999,11787099999,12600099999,12560099999,F8705"
bielsko biała,2022-02-02,3.3,0,1.5,-0.8,-5.6,-3.7,0.2,90.7,1.497,100,83.33,snow,8.3,55,64.4,35.7,241.5,1005.7,97.5,11.9,28.9,2.3,2,10,2022-02-02T07:15:37,2022-02-02T16:40:04,0.01,"Snow, Overcast",Cloudy skies throughout the day with a chance of snow throughout the day.,snow,"12566099999,11782099999,11918099999,11787099999,12600099999,12560099999,F8705"
bielsko biała,2022-02-03,4.1,-2.2,0.8,4.1,-7.6,-3,-2.6,79.2,4.962,100,29.17,snow,2.1,59.5,21.6,25.1,220.3,1020.6,78,29.4,80.9,7.1,4,10,2022-02-03T07:14:09,2022-02-03T16:41:46,0.03,"Snow, Partially cloudy",Partly cloudy throughout the day with snow clearing later.,snow,"12566099999,11782099999,F6434,11918099999,11787099999,12600099999,12560099999,F8705"
bielsko biała,2022-02-04,5,1.6,3.7,1.8,-3.9,-0.4,-0.9,72.3,0.121,100,37.5,"rain,snow",46,87.6,46.4,25.1,186.6,1014.2,92.2,33.7,33.4,2.9,1,10,2022-02-04T07:12:38,2022-02-04T16:43:29,0.07,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"12566099999,11782099999,11918099999,11787099999,12600099999,12560099999,F8705"
bielsko biała,2022-02-05,5.6,0.6,3.2,0.8,-3.6,-1.6,-1.7,70.5,0.22,100,33.33,"rain,snow",1.2,104.5,64.6,35.6,231.6,1016.8,89.2,40.9,41.7,3.7,2,10,2022-02-05T07:11:06,2022-02-05T16:45:12,0.11,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"12566099999,11782099999,F6434,11918099999,11787099999,12600099999,12560099999,F8705"
bielsko biała,2022-02-06,3.6,0.3,2.6,-1.3,-5.8,-3,-1.8,73,0.098,100,41.67,"rain,snow",12,109.6,79,46.2,204.5,1011.3,94.5,32.3,24.8,2.2,1,10,2022-02-06T07:09:32,2022-02-06T16:46:55,0.15,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"12566099999,11782099999,E6430,11918099999,11787099999,12600099999,12560099999,F8705"
bielsko biała,2022-02-07,4.1,0.3,1.8,-0.6,-5,-3,-0.3,85.8,3.689,100,79.17,"rain,snow",8.7,123.5,54,32.1,243.5,1007.5,97.4,19.1,44.5,3.8,2,10,2022-02-07T07:07:57,2022-02-07T16:48:38,0.2,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"12566099999,11782099999,11918099999,11787099999,12600099999,12560099999,F8705"
bielsko biała,2022-02-08,4.3,0.8,2.5,0,-4.4,-2.5,-0.7,80.1,0.201,100,54.17,"rain,snow",1.2,126.4,61.1,39.4,238,1024.1,95.6,15.7,47.9,4.1,3,10,2022-02-08T07:06:19,2022-02-08T16:50:22,0.25,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"12566099999,11782099999,E6430,11918099999,11787099999,12600099999,12560099999,F8705"
