name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
gdańsk,2022-01-01,6.6,3.1,5.3,3.5,0.4,2.4,4.1,92.1,3.684,100,12.5,rain,0,0,44.7,21.2,306,1017.4,97.8,21.7,4.7,0.4,0,,2022-01-01T08:06:28,2022-01-01T15:31:39,0.99,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"12142099999,12376599999,12136099999,12160099999,AV308,12155099999,12135099999"
gdańsk,2022-01-02,10.2,3,7,10.2,-1,4,6.1,94,3.997,100,37.5,rain,0,0,48.2,25,208.5,1009.1,98.6,12.4,4.5,0.3,0,,2022-01-02T08:06:15,2022-01-02T15:32:50,1,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"12142099999,12376599999,12136099999,12160099999,AV308,12155099999,12135099999"
gdańsk,2022-01-03,8.5,5.4,7,5.4,2.2,3.7,5.7,91.7,3.962,100,37.5,rain,0,0,42.9,25.5,260.1,1000.1,88.9,17.4,5.3,0.4,0,,2022-01-03T08:05:58,2022-01-03T15:34:03,0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"12142099999,12376599999,D8078,12136099999,12160099999,AV308,12155099999,12135099999"
gdańsk,2022-01-04,5.9,4.8,5.4,3.3,1.4,2.3,4,90.3,0.106,100,8.33,rain,0,0,23.9,17.8,204,994.3,88.8,17.3,8.8,0.8,0,,2022-01-04T08:05:38,2022-01-04T15:35:19,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"12142099999,12376599999,12136099999,12160099999,AV308,12155099999,12135099999"
gdańsk,2022-01-05,5,1.2,2.6,0.3,-3.1,-1.5,0.3,85,0.108,100,4.17,rain,0,0,51.1,27.1,232.8,993.5,72,24.3,10.9,1,1,,2022-01-05T08:05:13,2022-01-05T15:36:39,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"12142099999,12376599999,12136099999,12160099999,AV308,12155099999,12135099999"
gdańsk,2022-01-06,2.9,-3,-0.2,-1.3,-7.8,-5.3,-2.6,84.1,1.313,100,29.17,"rain,snow",5.4,2.1,49.8,26,291.7,1005.6,75,19.6,8.5,0.8,0,,2022-01-06T08:04:45,2022-01-06T15:38:01,0.09,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"12142099999,12376599999,12136099999,12160099999,AV308,12155099999,12135099999"
gdańsk,2022-01-07,0.5,-2.9,-1,-3.8,-8.1,-5.9,-3.3,84.2,0,0,0,,3.8,8,21.4,20.5,207.3,1013.7,72.7,18.4,14.3,1.2,1,,2022-01-07T08:04:14,2022-01-07T15:39:26,0.14,Partially cloudy,Partly cloudy throughout the day.,snow,"12142099999,12376599999,12136099999,12160099999,AV308,12155099999,12135099999"
gdańsk,2022-01-08,1.2,-0.4,0.4,-3,-5.4,-4.1,-0.9,90.8,2.18,100,37.5,"rain,snow",0.7,9.5,33.6,20.4,196.4,1008.3,98.2,11.2,8,0.7,1,,2022-01-08T08:03:38,2022-01-08T15:40:53,0.19,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"12142099999,12376599999,12136099999,12160099999,AV308,12155099999,12135099999"
gdańsk,2022-01-09,0.7,-2.8,-1.5,-3.6,-7.5,-6.1,-3.4,86.7,0,0,0,,0,7.9,24.4,20.1,149.6,1005.8,47.5,8.6,18.8,1.6,1,,2022-01-09T08:02:59,2022-01-09T15:42:23,0.24,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"12142099999,12376599999,12136099999,12160099999,AV308,12155099999,12135099999"
gdańsk,2022-01-10,0.5,-5.2,-3.3,-1.9,-9.6,-6.3,-5.2,86.7,0,0,0,,0,7.1,19.9,14,80.5,1023.5,25.2,10.5,25.5,2.1,1,10,2022-01-10T08:02:17,2022-01-10T15:43:55,0.28,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"12142099999,12376599999,12136099999,12160099999,AV308,12155099999,12135099999"
gdańsk,2022-01-11,0.1,-2,-1.1,-2.3,-6,-3.9,-2.4,90.8,0,0,0,snow,0,7,15.7,13.6,279.8,1035.6,84.1,8.3,11.9,1.1,1,10,2022-01-11T08:01:31,2022-01-11T15:45:30,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12142099999,12376599999,12136099999,12160099999,AV308,12155099999,12135099999"
gdańsk,2022-01-12,1.9,-3.4,-1.2,-3.3,-8.1,-5.8,-2.7,89.7,0.007,100,4.17,"rain,snow",0,6.8,50.4,23.5,223.9,1032.9,94.9,7.7,15,1.3,1,10,2022-01-12T08:00:42,2022-01-12T15:47:07,0.38,"Snow, Rain, Overcast",Cloudy skies throughout the day with afternoon rain or snow.,rain,"12142099999,12376599999,12136099999,12160099999,AV308,12155099999,12135099999"
gdańsk,2022-01-13,7.1,2.2,5.5,2.3,-2.9,0.7,3.6,87.8,0.047,100,4.17,rain,0,2.7,70.4,39.2,272.5,1022.1,91.3,19,6.8,0.4,0,10,2022-01-13T07:59:49,2022-01-13T15:48:46,0.41,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"12142099999,12376599999,12136099999,12160099999,AV308,12155099999,12135099999"
gdańsk,2022-01-14,8.2,3.8,6.2,3.4,-1.2,1.3,1.5,72.4,0.086,100,8.33,rain,0,0.3,86.5,48,290,1016,53.9,28.6,20,1.7,1,10,2022-01-14T07:58:53,2022-01-14T15:50:27,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"12142099999,12376599999,12136099999,12160099999,AV308,12155099999,12135099999"
gdańsk,2022-01-15,3.8,-0.1,1.8,0.3,-4.4,-2.3,-1.8,77,0,0,0,snow,0,0,37,26.2,287.2,1023.7,38.1,27.8,25.3,2.1,1,10,2022-01-15T07:57:54,2022-01-15T15:52:10,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12142099999,12376599999,12136099999,12160099999,AV308,12155099999,12135099999"
gdańsk,2022-01-16,3.6,-0.8,0.7,-1.3,-5.4,-4,-1.1,88,0.353,100,4.17,"rain,snow",0,0,55.8,28.4,230.9,1015.8,95.2,13.7,11.8,1.2,0,10,2022-01-16T07:56:52,2022-01-16T15:53:55,0.49,"Snow, Rain, Overcast",Cloudy skies throughout the day with late afternoon rain or snow.,rain,"12142099999,12376599999,12136099999,12160099999,AV308,12155099999,12135099999"
gdańsk,2022-01-17,5.5,1.1,3.2,-0.4,-5.4,-2.5,-2.4,67.7,1.439,100,25,"rain,snow",1.6,0.8,85.9,47.2,301.3,1007.9,76.3,26.6,22.2,2,1,10,2022-01-17T07:55:46,2022-01-17T15:55:42,0.5,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"12142099999,12376599999,12136099999,12160099999,AV308,12155099999,12135099999"
gdańsk,2022-01-18,3.5,0.2,1.7,0.5,-4.1,-2.3,-1.8,78.1,0,0,0,,0.4,0.7,34.9,20.3,284,1028.1,47.9,25.6,27.1,2.3,1,10,2022-01-18T07:54:38,2022-01-18T15:57:30,0.5,Partially cloudy,Clearing in the afternoon.,snow,"12142099999,12376599999,12136099999,12160099999,AV308,12155099999,12135099999"
gdańsk,2022-01-19,4.2,2,2.9,0.8,-2.3,-1.3,0.7,85.8,0,0,0,,0,1,48,26.6,231.4,1017.1,91.4,19.9,21.4,1.7,1,10,2022-01-19T07:53:27,2022-01-19T15:59:20,0.52,Overcast,Cloudy skies throughout the day.,cloudy,"12142099999,12376599999,12136099999,12160099999,AV308,12155099999,12135099999"
gdańsk,2022-01-20,2.6,-1.5,0.4,-2.5,-7.7,-5.9,-3.7,74.7,3.36,100,33.33,"rain,snow",3.6,1.5,70.3,37.6,285.7,1001.5,87.3,16,21.6,1.8,1,10,2022-01-20T07:52:12,2022-01-20T16:01:11,0.53,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"12142099999,12376599999,12136099999,12160099999,AV308,12155099999,12135099999"
gdańsk,2022-01-21,1.4,0.5,0.8,-4.2,-5.9,-5.2,-5.4,63.1,0.042,100,8.33,"rain,snow",1.5,4.8,60.1,33.5,311.5,1012.3,86.7,29.7,19.1,1.5,1,10,2022-01-21T07:50:55,2022-01-21T16:03:03,0.56,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"12142099999,12376599999,12136099999,12160099999,AV308,12155099999,12135099999"
gdańsk,2022-01-22,1.5,-0.1,0.9,-2.9,-5.2,-4.2,-3.6,72.4,4.257,100,20.83,"rain,snow",1.2,5.4,54,28.9,328.6,1021.8,85.8,25.8,17.2,1.4,1,10,2022-01-22T07:49:35,2022-01-22T16:04:57,0.6,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow in the morning and afternoon.,snow,"12142099999,12376599999,12136099999,12160099999,AV308,12155099999,12135099999"
gdańsk,2022-01-23,2.1,0,1.2,0,-3.7,-1.5,-1.5,82.6,0,0,0,,0.7,6.7,18.5,12.5,242.4,1029.9,96.2,19.1,17.5,1.5,1,10,2022-01-23T07:48:12,2022-01-23T16:06:52,0.65,Overcast,Cloudy skies throughout the day.,snow,"12142099999,12376599999,12136099999,12160099999,AV308,12155099999,12135099999"
gdańsk,2022-01-24,4.4,1.3,2.8,1.2,-2.5,-0.7,1.8,92.8,0.064,100,12.5,rain,0,2.9,25.2,17.4,230.2,1030.8,97.1,14,12.9,1.1,1,10,2022-01-24T07:46:47,2022-01-24T16:08:48,0.7,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"12142099999,12376599999,12136099999,12160099999,AV308,12155099999,12135099999"
gdańsk,2022-01-25,5,3,3.9,1.4,-0.6,0.6,3,94.2,0.542,100,25,rain,0,0.7,29.4,19.3,283.9,1025.1,94.9,10.9,14.8,1.2,1,10,2022-01-25T07:45:19,2022-01-25T16:10:45,0.75,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"12142099999,12376599999,12136099999,12160099999,AV308,12155099999,12135099999"
gdańsk,2022-01-26,4.8,2.1,3.2,1.3,-1.2,-0.3,2.1,92.3,0.717,100,20.83,"rain,snow",0,0.7,44.1,28.1,260.3,1019.6,96.2,15.2,6.9,0.5,0,10,2022-01-26T07:43:49,2022-01-26T16:12:43,0.81,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow in the morning and afternoon.,rain,"12142099999,12376599999,12136099999,12160099999,AV308,12155099999,12135099999"
gdańsk,2022-01-27,5.7,3.4,4.5,0.5,-1.5,-0.2,2.7,87.9,0.771,100,12.5,rain,0,0.5,63.6,37.1,250,1005.5,97.5,13.6,8,0.6,0,10,2022-01-27T07:42:16,2022-01-27T16:14:41,0.86,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"12142099999,12376599999,12136099999,12160099999,AV308,12155099999,12135099999"
gdańsk,2022-01-28,3.9,0,2.4,-1.4,-4.4,-3,-0.2,83.7,5.449,100,12.5,"rain,snow",0.2,0.2,67.8,36.4,309,1010.4,79.8,21.5,14,1.1,1,10,2022-01-28T07:40:41,2022-01-28T16:16:41,0.91,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"12142099999,12376599999,12136099999,12160099999,AV308,12155099999,12135099999"
