name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
katowice,2022-01-01,10,8.6,9.6,10,6.8,8.1,8.5,93.1,9.268,100,16.67,rain,0,0,36.2,18.1,251.6,1021.4,98,7.4,6.1,0.6,0,,2022-01-01T07:43:40,2022-01-01T15:51:23,0.99,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"12550099999,12540099999,12566099999,EPKT,F6434,12600099999,F6525,12560099999"
katowice,2022-01-02,11.1,6.6,8.9,11.1,4.5,7.2,6,82.7,0.101,100,4.17,rain,0,0,50.3,28.7,212.9,1018.4,91.6,19.8,18.7,1.5,1,,2022-01-02T07:43:35,2022-01-02T15:52:26,1,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"12550099999,12540099999,12566099999,EPKT,F6434,12600099999,12560099999"
katowice,2022-01-03,10.1,6.7,8.4,10.1,3.9,5.6,3.3,70.2,0.702,100,12.5,rain,0,0,54.1,25.2,228.1,1010.2,83.6,33.6,19.5,1.6,1,,2022-01-03T07:43:26,2022-01-03T15:53:31,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"12550099999,12540099999,12566099999,EPKT,F6434,12600099999,F6525,12560099999"
katowice,2022-01-04,11.5,5.5,7.7,11.5,2.7,5.5,5.4,86.1,3.792,100,12.5,rain,0,0,55.6,28.8,200.6,1000.5,95.9,24.2,11.5,0.9,1,,2022-01-04T07:43:15,2022-01-04T15:54:38,0.02,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"12550099999,12540099999,12566099999,EPKT,F6434,12600099999,12560099999"
katowice,2022-01-05,6.6,0.9,4.1,4.9,-2.9,1.7,2.5,89.1,2.817,100,8.33,rain,0,0,39.8,14.5,216.5,1001.1,96.4,13.7,8.4,0.8,1,,2022-01-05T07:43:00,2022-01-05T15:55:48,0.05,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"12550099999,12540099999,12566099999,EPKT,F6434,12600099999,12560099999"
katowice,2022-01-06,2.5,-3.4,0.2,-1.2,-8.7,-3.7,-3.9,73.6,0.104,100,4.17,"rain,snow",0,0,51.6,18.4,239.3,1012.3,73.6,30.3,18,1.4,1,,2022-01-06T07:42:42,2022-01-06T15:57:00,0.09,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain or snow.,rain,"12550099999,12540099999,12566099999,EPKT,F6434,12600099999,12560099999"
katowice,2022-01-07,1.8,-6.8,-3.2,-2.3,-10.9,-6.4,-9.3,64.9,0,0,0,,0,0,34.8,18,191.2,1021.8,47.7,20.2,28.3,2.3,2,,2022-01-07T07:42:21,2022-01-07T15:58:14,0.14,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"12550099999,12540099999,12566099999,EPKT,F6434,12600099999,12560099999"
katowice,2022-01-08,-0.5,-5.7,-3.1,-1.1,-9.9,-5.9,-8,68.6,0,0,0,,0,0,26.4,18,181.8,1014.9,69.4,21.4,13.3,1.2,1,,2022-01-08T07:41:56,2022-01-08T15:59:30,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12550099999,12540099999,12566099999,EPKT,F6434,12600099999,12560099999"
katowice,2022-01-09,2.7,-5.9,-0.9,0.3,-9.9,-2.5,-5.4,72.8,0,0,0,,0,0,41.8,14.4,145.7,1006.3,72.4,16.3,29.2,2.5,2,,2022-01-09T07:41:29,2022-01-09T16:00:48,0.24,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12550099999,12540099999,12566099999,EPKT,F6434,12600099999,12560099999"
katowice,2022-01-10,0,-3.2,-1.6,0,-7.3,-4.5,-5,77.9,0,0,0,,0,0,18.8,14.4,56.7,1019.4,89.4,9.6,28.1,2.4,1,10,2022-01-10T07:40:59,2022-01-10T16:02:09,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12550099999,12540099999,12566099999,EPKT,F6434,12600099999,12560099999"
katowice,2022-01-11,-1,-6.1,-3.3,-1,-9.6,-4.6,-7,76,0.017,100,4.17,snow,0,0,14.4,10.8,25.5,1034.9,61,11.3,38,3.3,2,10,2022-01-11T07:40:26,2022-01-11T16:03:31,0.33,"Snow, Partially cloudy",Clearing in the afternoon with morning snow.,snow,"12550099999,12540099999,12566099999,EPKT,F6434,12600099999,12560099999"
katowice,2022-01-12,-3.2,-5.9,-4.5,-3.2,-9.3,-6.7,-8.1,76.2,0.017,100,4.17,snow,0,0,10.8,10.8,165.7,1038.2,98.2,10.5,27.6,2.4,1,10,2022-01-12T07:39:49,2022-01-12T16:04:55,0.38,"Snow, Overcast",Cloudy skies throughout the day with morning snow.,snow,"12550099999,12540099999,12566099999,EPKT,D2281,12600099999,12560099999"
