name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
cracow,2022-01-01,10.8,9,9.8,10.8,6.2,8,8.7,93.3,8.184,100,12.5,rain,0,0,24.6,25.1,246.6,1020.3,93.1,10.5,19.8,1.6,1,,2022-01-01T07:39:10,2022-01-01T15:48:41,0.99,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"12575099999,12566099999,E9997,12660099999,11918099999,EPKK,12560099999"
cracow,2022-01-02,11,5.5,8.5,11,2,7.4,6.7,89.1,0.024,100,8.33,rain,0,0,50.4,26.8,228.9,1018,86.9,10.9,33.6,3,2,,2022-01-02T07:39:05,2022-01-02T15:49:43,1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"12575099999,12566099999,E9997,12660099999,11918099999,EPKK,12560099999"
cracow,2022-01-03,10.8,7.1,8.8,10.8,3.8,5.7,4,72,0.789,100,8.33,rain,0,0,56.6,37.5,239.8,1009.2,76,23.7,28.2,2.3,2,,2022-01-03T07:38:57,2022-01-03T15:50:48,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"12575099999,12566099999,E9997,12660099999,11918099999,EPKK,12560099999"
cracow,2022-01-04,10.9,5,7.9,10.9,3,6.8,5,82.8,0.907,100,12.5,rain,0,0,54,24.4,214.1,1000.3,91.3,20.7,19.3,1.6,1,,2022-01-04T07:38:46,2022-01-04T15:51:55,0.02,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"12575099999,12566099999,E9997,12660099999,11918099999,EPKK,12560099999"
cracow,2022-01-05,8.2,1.1,5,5.2,-3.6,2.1,3.5,90,4.944,100,12.5,rain,0,0,59.1,28.7,244.6,1000.1,89,15,17.4,1.4,1,,2022-01-05T07:38:31,2022-01-05T15:53:04,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"12575099999,12566099999,E9997,12660099999,11918099999,EPKK,12560099999"
cracow,2022-01-06,3.9,-2.9,1,-0.8,-8.5,-4.3,-2.9,75.1,0.116,100,12.5,"rain,snow",0,0,59.9,38.9,251.3,1010.8,78.2,24.7,26.2,2.2,2,,2022-01-06T07:38:13,2022-01-06T15:54:15,0.09,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"12575099999,12566099999,E9997,12660099999,11918099999,EPKK,12560099999"
cracow,2022-01-07,2,-8.7,-4.3,1.7,-12.1,-5.5,-8.5,74.6,0.184,100,4.17,snow,0,0,41.6,14.5,249.6,1020.9,29.6,14.3,22.3,1.9,1,,2022-01-07T07:37:53,2022-01-07T15:55:29,0.14,"Snow, Partially cloudy",Becoming cloudy in the afternoon with early morning snow.,rain,"12575099999,12566099999,E9997,12660099999,11918099999,EPKK,12560099999"
cracow,2022-01-08,0,-9.9,-4.5,-0.1,-13.9,-5,-7.9,77.9,0,0,0,,0,0,10.7,8.3,354.8,1014.2,66.4,9.7,156.1,13.3,9,,2022-01-08T07:37:29,2022-01-08T15:56:45,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12575099999,12566099999,12660099999,11918099999,EPKK,E6527,12560099999"
cracow,2022-01-09,4,-4.1,-1.3,4,-7.3,-3.2,-4.8,78.5,0,0,0,,0,0,14.2,9.9,38.5,1005.6,70,10.3,101.1,8.6,10,,2022-01-09T07:37:02,2022-01-09T15:58:03,0.24,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12575099999,12566099999,E9997,12660099999,11918099999,EPKK,E6527,12560099999"
cracow,2022-01-10,-1.2,-7,-3.6,-5,-11.5,-7.8,-5.3,88.4,0,0,0,,0,0,23.4,19.4,45.1,1018.4,89.8,8.9,31.9,2.7,2,10,2022-01-10T07:36:32,2022-01-10T15:59:22,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12575099999,12566099999,12660099999,11918099999,EPKK,E6527,12560099999"
