name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
poznań,2022-01-01,11,9.3,10.4,11,8.5,10.2,9.7,95.2,6.27,100,12.5,rain,0,0,,28.4,283.4,1019.4,97.8,10.6,10.7,1,0,,2022-01-01T08:02:35,2022-01-01T15:49:14,0.99,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"12330099999,EPPO,AS410,12326099999,12336099999"
poznań,2022-01-02,10.3,7.7,9.2,10.3,5.4,7.7,7.5,89.2,4.103,100,8.33,rain,0,0,50.3,30.8,227.4,1013.5,80.8,20.2,15.6,1.3,1,,2022-01-02T08:02:26,2022-01-02T15:50:20,1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"12330099999,EPPO,AU103,AS410,12326099999,12336099999"
poznań,2022-01-03,10.2,5.4,7.7,10.2,2.3,4.7,5.7,87.4,7.009,100,8.33,rain,0,0,64.5,31.8,258,1005.5,70.4,24.3,8.8,0.7,0,,2022-01-03T08:02:13,2022-01-03T15:51:29,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"12330099999,EPPO,AU103,AS410,12326099999,12336099999"
poznań,2022-01-04,7.1,4.7,5.8,6.3,-0.4,3.4,5,94.5,1.814,100,12.5,rain,0,0,14.4,62.8,226.6,997.1,84.7,18,11.5,1,1,,2022-01-04T08:01:57,2022-01-04T15:52:41,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"12330099999,EPPO,AU103,AS410,12326099999,12336099999"
poznań,2022-01-05,6,1.8,3.2,2.6,-2.8,-0.5,1.6,89,2.587,100,12.5,rain,0,0,43.2,23.7,246.5,997.4,86.6,20.2,13.5,1.3,1,,2022-01-05T08:01:38,2022-01-05T15:53:55,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"12330099999,EPPO,AU103,AS410,12326099999,12336099999"
poznań,2022-01-06,3.1,-4.2,-0.2,-1.5,-7.6,-5.4,-3.3,79.7,1.672,100,12.5,"rain,snow",0,0,61.1,32.7,289.8,1010.2,61.6,30.3,17.8,1.5,1,,2022-01-06T08:01:15,2022-01-06T15:55:12,0.09,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"12330099999,EPPO,AS410,AU103,12326099999,12336099999"
poznań,2022-01-07,1.9,-4.5,-1.1,-2.7,-8.5,-5.3,-3.7,82.7,0,0,0,,0,0,18,18.8,201.6,1016.5,57.2,15.6,29.4,2.4,2,,2022-01-07T08:00:49,2022-01-07T15:56:32,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12330099999,EPPO,AS410,12326099999,12336099999"
poznań,2022-01-08,1.5,-1,0.1,-1.5,-4.8,-3.4,-0.8,93.6,11.567,100,8.33,"rain,snow",0,0,14.4,14.5,202,1010.3,87.6,9.4,26.5,2.2,2,,2022-01-08T08:00:19,2022-01-08T15:57:53,0.19,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow clearing later.,rain,"12330099999,EPPO,AU103,AS410,12326099999,12336099999"
poznań,2022-01-09,0,-4.2,-2.1,-2.9,-9.7,-6.7,-3.8,87.9,0,0,0,,3,1.9,14.4,20.5,119.6,1003.3,62.7,8.9,30.8,2.6,2,,2022-01-09T07:59:46,2022-01-09T15:59:17,0.24,Partially cloudy,Partly cloudy throughout the day.,snow,"12330099999,EPPO,AS410,12326099999,12336099999"
poznań,2022-01-10,-0.5,-6.3,-3.8,-4,-10.3,-8.1,-5.5,88.1,0,0,0,,0,3,27.7,18.5,80.6,1020.7,63,7.4,35.2,3.1,2,10,2022-01-10T07:59:10,2022-01-10T16:00:43,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12330099999,EPPO,AS410,12326099999,12336099999"
poznań,2022-01-11,-0.2,-10.7,-6.8,-0.2,-13.8,-7.2,-8.2,90.4,0,0,0,,0,3,20.9,5.6,335.8,1036.1,29.6,3.4,30.6,2.6,1,10,2022-01-11T07:58:31,2022-01-11T16:02:12,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12330099999,EPPO,AS410,AU103,12326099999,12336099999"
poznań,2022-01-12,0.1,-11.3,-5,-3.6,-12.1,-7.8,-5.8,94.7,0.017,100,4.17,"rain,snow",0.2,2.7,33.5,28.2,237.6,1036.1,84.3,3.1,25.5,2.1,1,10,2022-01-12T07:57:48,2022-01-12T16:03:42,0.38,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain or snow.,snow,"12330099999,EPPO,AS410,12326099999,12336099999"
poznań,2022-01-13,4.4,0.1,2.5,-0.5,-5.6,-2.7,1.9,95.9,5.701,100,8.33,"rain,snow",0,1.7,57.6,29.5,268.2,1030.8,99.7,5.3,7.1,0.7,0,10,2022-01-13T07:57:02,2022-01-13T16:05:14,0.41,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow in the morning and afternoon.,rain,"12330099999,EPPO,AS410,AU103,12326099999,12336099999"
