name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
warsaw,2022-01-01,10,4.5,7.9,10,2,5.2,6.1,88.3,7.747,100,16.67,rain,0,0,46.8,27.2,294.9,1016.8,90.9,17.3,36.6,1.1,1,,2022-01-01T07:45:24,2022-01-01T15:33:50,0.99,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
warsaw,2022-01-02,9.5,3.7,6.6,8.1,0.5,4.6,5.2,90.5,0.728,100,37.5,rain,0,0,7.2,18.1,191,1014.7,79.6,13.3,40,1.1,1,,2022-01-02T07:45:15,2022-01-02T15:34:56,1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
warsaw,2022-01-03,10.6,6.1,7.7,10.6,2.9,4.8,5.8,87.7,4.017,100,37.5,rain,0,0,68.4,36.7,266,1003.6,69.5,16.8,26,0.7,0,,2022-01-03T07:45:03,2022-01-03T15:36:05,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
warsaw,2022-01-04,7,4.3,6,6.8,1.9,4.1,5,93.7,4.369,100,50,rain,0,0,10.8,20.7,205.2,997.7,73.9,12.5,38.3,1,1,,2022-01-04T07:44:47,2022-01-04T15:37:16,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
warsaw,2022-01-05,5.9,2,4.2,5,-1.9,1.3,3,92.1,5.977,100,41.67,rain,0,0,32.4,20.5,250.3,996.9,84.4,13.9,24.6,0.7,1,,2022-01-05T07:44:28,2022-01-05T15:38:30,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
warsaw,2022-01-06,2.9,-2.8,0.7,-1.1,-8.5,-4.4,-1.4,86.2,1.182,100,50,"rain,snow",0,0,54,27.5,263,1006.1,84.1,16.3,29.4,0.9,1,,2022-01-06T07:44:06,2022-01-06T15:39:46,0.09,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
warsaw,2022-01-07,1,-5.1,-2,-1.8,-8.8,-5.8,-6,75,0,0,0,,3,1.7,7.2,16.6,206,1018.2,55.6,18.8,95.8,3.1,2,,2022-01-07T07:43:40,2022-01-07T15:41:05,0.14,Partially cloudy,Partly cloudy throughout the day.,snow,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
warsaw,2022-01-08,-0.8,-5.5,-2.3,-2.6,-10.4,-5.7,-6.9,71,0,0,0,,0,2.1,10.8,12.8,161.3,1012.8,70.1,13.6,67.1,2.1,2,,2022-01-08T07:43:11,2022-01-08T15:42:26,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
warsaw,2022-01-09,1.4,-4.1,-1.3,-2,-7.8,-4.9,-4.2,81.4,0,0,0,,0,1.8,7.2,14.5,113.9,1006.8,40.2,10.7,103.4,3.2,2,,2022-01-09T07:42:39,2022-01-09T15:43:50,0.24,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
warsaw,2022-01-10,-0.1,-4.8,-2.6,-3.9,-10,-6.9,-4.8,85.8,0,0,0,,0,1.1,,16.7,47.2,1020.7,50.5,9.5,67.5,2,1,,2022-01-10T07:42:03,2022-01-10T15:45:15,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
warsaw,2022-01-11,-2.2,-7.5,-4.2,-3.9,-9.6,-6.7,-6,87.4,0,0,0,,0,0.4,14.4,13.4,345.2,1034.7,66.4,8.9,40.2,1.4,1,,2022-01-11T07:41:24,2022-01-11T15:46:43,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
warsaw,2022-01-12,-1,-3.9,-2.3,-3,-7.1,-5.4,-5.6,78,9.658,100,4.17,snow,0,0,,20.2,263.3,1035.2,84.8,11.9,66.6,2,1,,2022-01-12T07:40:42,2022-01-12T15:48:12,0.38,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.,snow,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
warsaw,2022-01-13,3.9,-1.1,1.3,-1.3,-7.3,-4.2,0.5,94.1,9.921,100,41.67,"rain,snow",0,0,57.6,32.2,261.2,1026.5,97.9,4.9,21.3,0.5,0,,2022-01-13T07:39:57,2022-01-13T15:49:44,0.41,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
warsaw,2022-01-14,6,1.9,4,1.1,-3.7,-1.1,2.2,88.1,2.03,100,25,rain,0,0,75.6,35.3,273.2,1017.5,71.5,13.1,29.9,0.9,1,,2022-01-14T07:39:09,2022-01-14T15:51:17,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
warsaw,2022-01-15,2.2,-1.6,0.4,-2,-6.8,-4.6,-2.1,83.9,0,0,0,,0,0,43.2,28.4,278.2,1023.6,43.3,15.7,107.9,3.7,2,,2022-01-15T07:38:18,2022-01-15T15:52:52,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
warsaw,2022-01-16,1.7,-2.3,-0.6,0,-6.6,-4.3,-2.2,89.1,0,0,0,,0,0,,28,237.1,1019.4,88.2,7.7,32.3,1,1,,2022-01-16T07:37:23,2022-01-16T15:54:29,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
warsaw,2022-01-17,4,0,1.9,-1.8,-6.3,-4.2,-1.6,78.5,2.092,100,37.5,"rain,snow",0,0,93.6,41.2,282.5,1008.7,66.7,15.8,74,2.1,2,,2022-01-17T07:36:26,2022-01-17T15:56:07,0.5,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
warsaw,2022-01-18,2.7,-2,0.1,-2,-7.5,-4.9,-2.9,80.4,0,0,0,,0,0,21.6,23.7,285.2,1027.9,54.1,17,122.7,4.1,2,,2022-01-18T07:35:26,2022-01-18T15:57:47,0.5,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
warsaw,2022-01-19,1.9,-1,0.6,-1,-6.3,-3.2,-0.9,90,0.11,100,8.33,"rain,snow",0,0,21.6,18.9,240.6,1022.3,86.9,9.4,33.7,1.1,1,,2022-01-19T07:34:23,2022-01-19T15:59:28,0.52,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with morning rain or snow.,rain,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
warsaw,2022-01-20,1.7,-2.1,-0.1,-2,-9.6,-5.9,-3.4,79.1,1.719,100,25,"rain,snow",0,0,64.8,33.8,255.7,1005.5,79.3,14.8,68.7,2.1,1,,2022-01-20T07:33:18,2022-01-20T16:01:10,0.53,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
warsaw,2022-01-21,0.1,-2.1,-1.1,-6.7,-9.2,-7.7,-6.4,67.8,0.003,100,4.17,"rain,snow",0,0,64.8,35.5,274.3,1011.7,67.6,19.3,87.7,2.9,2,,2022-01-21T07:32:10,2022-01-21T16:02:54,0.56,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain or snow.,rain,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
