city,date,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,snow,snowdepth,windgust,windspeed,winddir,cloudcover,visibility,solarradiation,solarenergy,uvindex,conditions
bielsko biała,2022-01-01,10.7,8.3,9.1,10.7,5.4,6.6,8.3,95.1,7.152,100,70.83,0.0,41.4,46.7,32.2,245.6,99.0,7.4,11.6,1.0,1,"Rain, Overcast"
bielsko biała,2022-01-02,12.0,6.1,9.6,12.0,4.8,9.2,5.2,75.1,0.003,100,4.17,0.0,35.1,54.0,39.0,197.7,92.6,40.5,30.9,2.6,2,"Rain, Overcast"
bielsko biała,2022-01-03,10.5,7.1,8.6,10.5,3.0,4.9,3.2,69.3,0.986,100,16.67,0.0,28.7,68.1,35.8,230.0,83.1,46.2,25.5,2.2,2,"Rain, Partially cloudy"
bielsko biała,2022-01-04,9.8,5.1,7.6,6.0,1.7,4.1,4.7,82.3,6.753,100,45.83,0.6,22.7,64.6,42.5,196.6,96.5,30.6,14.3,1.1,1,"Rain, Overcast"
bielsko biała,2022-01-05,6.2,1.0,4.0,4.6,-5.0,0.6,2.1,87.6,8.865,100,58.33,1.0,23.1,53.6,32.2,227.2,96.9,24.6,11.8,0.9,1,"Rain, Overcast"
bielsko biała,2022-01-06,2.5,-3.4,-0.1,-1.8,-8.9,-5.4,-3.8,76.2,0.315,100,16.67,0.4,23.9,46.9,32.0,239.1,84.2,35.0,26.5,2.3,2,"Snow, Rain, Partially cloudy"
bielsko biała,2022-01-07,0.8,-7.9,-3.4,-0.2,-12.9,-7.1,-11.0,58.5,0.001,100,4.17,0.0,23.8,43.4,21.6,158.8,27.2,36.7,54.6,4.6,3,"Snow, Partially cloudy"
bielsko biała,2022-01-08,0.1,-3.6,-1.7,-0.2,-9.5,-5.5,-8.0,62.5,0.0,0,0.0,0.0,23.1,42.8,24.9,167.4,73.0,38.1,18.1,1.4,1,Partially cloudy
bielsko biała,2022-01-09,2.5,-3.0,-0.1,2.5,-6.5,-2.7,-5.5,67.6,0.003,100,12.5,0.0,23.0,43.4,24.9,129.0,69.9,34.3,47.8,4.0,2,"Snow, Rain, Partially cloudy"
bielsko biała,2022-01-10,0.3,-3.4,-1.9,-0.7,-9.2,-5.0,-3.7,88.1,0.001,100,4.17,0.0,23.0,50.4,21.5,55.1,82.4,6.2,58.1,4.9,3,"Snow, Rain, Partially cloudy"
bielsko biała,2022-01-11,-2.4,-7.8,-4.2,-6.4,-11.2,-8.1,-7.4,78.8,0.044,100,4.17,0.0,22.8,18.2,14.5,54.2,70.4,13.7,40.3,3.5,2,"Snow, Partially cloudy"
bielsko biała,2022-01-12,-4.5,-7.2,-5.9,-4.5,-9.5,-6.9,-7.7,87.3,0.0,0,0.0,0.1,22.1,57.6,9.2,23.5,90.5,7.2,27.3,2.4,1,Overcast
bielsko biała,2022-01-13,5.0,-4.2,1.6,1.5,-6.1,-1.7,-0.6,85.9,0.003,100,12.5,0.4,22.0,39.7,21.7,244.1,84.8,11.9,24.0,2.2,1,"Snow, Partially cloudy"
bielsko biała,2022-01-14,5.5,-1.1,2.5,1.5,-4.9,-1.8,0.2,85.3,0.219,100,25.0,1.2,22.4,53.9,28.7,253.3,87.7,13.4,28.8,2.6,2,"Snow, Partially cloudy"
bielsko biała,2022-01-15,1.6,-4.3,-0.2,-1.7,-7.5,-4.0,-1.8,88.7,0.395,100,4.17,0.7,23.5,21.9,21.4,248.0,47.8,9.4,37.8,3.5,1,"Snow, Partially cloudy"
bielsko biała,2022-01-16,5.4,-5.4,-0.5,2.8,-9.9,-4.1,-5.2,73.3,0.0,0,0.0,5.0,23.8,50.3,28.7,205.7,69.0,18.5,57.2,5.0,3,Partially cloudy
bielsko biała,2022-01-17,2.8,-0.9,0.8,-3.9,-6.7,-5.2,-1.3,85.6,2.268,100,58.33,6.9,29.5,72.0,46.5,239.5,92.6,18.8,9.7,0.8,0,"Snow, Rain, Overcast"
bielsko biała,2022-01-18,-0.7,-1.7,-1.2,-3.6,-7.2,-5.4,-3.5,83.8,0.0,0,0.0,0.4,29.8,50.4,21.5,267.8,90.5,14.1,34.7,3.1,2,Overcast
bielsko biała,2022-01-19,5.2,-4.6,0.6,4.1,-7.4,-2.0,-4.6,69.9,0.0,0,0.0,1.2,29.5,57.8,28.7,205.7,57.4,24.2,55.7,4.9,2,Partially cloudy
bielsko biała,2022-01-20,2.6,-2.7,0.1,-3.6,-9.7,-6.2,-4.4,72.2,1.023,100,29.17,1.4,20.3,68.3,42.8,232.9,85.4,28.1,29.4,2.6,2,"Snow, Rain, Partially cloudy"
bielsko biała,2022-01-21,-2.4,-4.7,-3.8,-8.3,-11.5,-10.2,-5.5,87.4,1.111,100,62.5,8.4,17.5,64.4,28.5,257.5,90.5,7.4,28.4,2.5,1,"Snow, Overcast"
