name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
wroclaw,2022-01-01,11.9,9.2,10.9,11.9,8.4,10.9,9.6,91.3,1.275,100,8.33,rain,0,0,46.2,27.2,288.4,1021.3,91.7,16.4,5.5,0.3,0,,2022-01-01T07:55:43,2022-01-01T15:55:24,0.99,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"12424099999,EPWR,F4529,12415099999"
wroclaw,2022-01-02,12,3.7,9.1,12,3.3,8.6,5.8,80.8,0.684,100,8.33,rain,0,0,57.6,32.1,233.7,1015.9,88.6,23.7,9.7,0.8,1,,2022-01-02T07:55:36,2022-01-02T15:56:28,1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"12424099999,EPWR,F4529,12415099999"
wroclaw,2022-01-03,11.1,7.1,9.4,11.1,4.5,7.8,3.8,68.1,0.2,100,4.17,rain,0,0,64.9,40,268.3,1008.5,71.7,30.4,11.4,0.8,1,,2022-01-03T07:55:26,2022-01-03T15:57:34,0,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"12424099999,EPWR,F4529,12415099999"
wroclaw,2022-01-04,9,5.1,7.4,8.2,2.2,5.3,5.6,88.5,1,100,8.33,rain,0,0,38.9,21.7,215.8,998.1,90.6,22.3,7.5,0.7,0,,2022-01-04T07:55:12,2022-01-04T15:58:43,0.02,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"12424099999,EPWR,F4529,12415099999"
wroclaw,2022-01-05,6.2,1.3,4.2,4.5,-3,0.9,1.2,80.7,1.781,100,8.33,rain,0,0,39.1,23,249.6,999.7,83.2,27.8,5,0.4,0,,2022-01-05T07:54:56,2022-01-05T15:59:55,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"12424099999,EPWR,F4529,12415099999"
wroclaw,2022-01-06,3.9,-3.5,0.8,-0.3,-7.5,-4.1,-3.3,75.1,1.089,100,8.33,"rain,snow",0,0,52.4,31.6,291.1,1012,67.3,25.3,10.5,0.8,1,,2022-01-06T07:54:36,2022-01-06T16:01:08,0.09,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow in the morning and afternoon.,rain,"12424099999,EPWR,F4529,12415099999"
wroclaw,2022-01-07,2.3,-3.4,-0.9,-1.1,-8.2,-4.6,-5.4,72.1,0,0,0,,0,0,17.8,16.3,192.6,1018.2,62.7,28.2,11.4,1,1,,2022-01-07T07:54:13,2022-01-07T16:02:24,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12424099999,EPWR,F4529,12415099999"
wroclaw,2022-01-08,3.1,-1,0.5,0,-4.2,-2.3,-3.1,77.4,0.006,100,4.17,"rain,snow",0,0,21.4,18.1,188.2,1011.5,81.9,22.5,10.6,0.9,1,,2022-01-08T07:53:47,2022-01-08T16:03:43,0.19,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain or snow.,rain,"12424099999,EPWR,F4529,12415099999"
wroclaw,2022-01-09,2.3,-4.6,-1,0.4,-10.2,-4.8,-3.2,85.5,0,0,0,,0,0,24.8,23.6,132.9,1003,74,14.9,11.5,0.9,1,,2022-01-09T07:53:17,2022-01-09T16:05:03,0.24,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12424099999,EPWR,F4529,12415099999"
wroclaw,2022-01-10,3,-2.7,0.4,1.1,-7.8,-1.7,-2.4,81.6,0,0,0,,0,0.1,17.7,18,63,1019,88.2,9.4,19.6,1.6,1,10,2022-01-10T07:52:45,2022-01-10T16:06:26,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12424099999,EPWR,F4529,12415099999"
