,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
0,0,3,0.0,22.0,1,0,7.25,0.0
1,1,1,1.0,38.0,1,0,71.2833,1.0
2,1,3,1.0,26.0,0,0,7.925,0.0
3,1,1,1.0,35.0,1,0,53.1,0.0
4,0,3,0.0,35.0,0,0,8.05,0.0
6,0,1,0.0,54.0,0,0,51.8625,0.0
7,0,3,0.0,2.0,3,1,21.075,0.0
8,1,3,1.0,27.0,0,2,11.1333,0.0
9,1,2,1.0,14.0,1,0,30.0708,1.0
10,1,3,1.0,4.0,1,1,16.7,0.0
11,1,1,1.0,58.0,0,0,26.55,0.0
12,0,3,0.0,20.0,0,0,8.05,0.0
13,0,3,0.0,39.0,1,5,31.275,0.0
14,0,3,1.0,14.0,0,0,7.8542,0.0
15,1,2,1.0,55.0,0,0,16.0,0.0
16,0,3,0.0,2.0,4,1,29.125,2.0
18,0,3,1.0,31.0,1,0,18.0,0.0
20,0,2,0.0,35.0,0,0,26.0,0.0
21,1,2,0.0,34.0,0,0,13.0,0.0
22,1,3,1.0,15.0,0,0,8.0292,2.0
23,1,1,0.0,28.0,0,0,35.5,0.0
24,0,3,1.0,8.0,3,1,21.075,0.0
25,1,3,1.0,38.0,1,5,31.3875,0.0
27,0,1,0.0,19.0,3,2,263.0,0.0
30,0,1,0.0,40.0,0,0,27.7208,1.0
33,0,2,0.0,66.0,0,0,10.5,0.0
34,0,1,0.0,28.0,1,0,82.1708,1.0
35,0,1,0.0,42.0,1,0,52.0,0.0
37,0,3,0.0,21.0,0,0,8.05,0.0
38,0,3,1.0,18.0,2,0,18.0,0.0
39,1,3,1.0,14.0,1,0,11.2417,1.0
40,0,3,1.0,40.0,1,0,9.475,0.0
41,0,2,1.0,27.0,1,0,21.0,0.0
43,1,2,1.0,3.0,1,2,41.5792,1.0
44,1,3,1.0,19.0,0,0,7.8792,2.0
49,0,3,1.0,18.0,1,0,17.8,0.0
50,0,3,0.0,7.0,4,1,39.6875,0.0
51,0,3,0.0,21.0,0,0,7.8,0.0
52,1,1,1.0,49.0,1,0,76.7292,1.0
53,1,2,1.0,29.0,1,0,26.0,0.0
54,0,1,0.0,65.0,0,1,61.9792,1.0
56,1,2,1.0,21.0,0,0,10.5,0.0
57,0,3,0.0,28.5,0,0,7.2292,1.0
58,1,2,1.0,5.0,1,2,27.75,0.0
59,0,3,0.0,11.0,5,2,46.9,0.0
60,0,3,0.0,22.0,0,0,7.2292,1.0
62,0,1,0.0,45.0,1,0,83.475,0.0
63,0,3,0.0,4.0,3,2,27.9,0.0
66,1,2,1.0,29.0,0,0,10.5,0.0
67,0,3,0.0,19.0,0,0,8.1583,0.0
68,1,3,1.0,17.0,4,2,7.925,0.0
69,0,3,0.0,26.0,2,0,8.6625,0.0
70,0,2,0.0,32.0,0,0,10.5,0.0
71,0,3,1.0,16.0,5,2,46.9,0.0
72,0,2,0.0,21.0,0,0,73.5,0.0
73,0,3,0.0,26.0,1,0,14.4542,1.0
74,1,3,0.0,32.0,0,0,56.4958,0.0
75,0,3,0.0,25.0,0,0,7.65,0.0
78,1,2,0.0,0.83,0,2,29.0,0.0
79,1,3,1.0,30.0,0,0,12.475,0.0
80,0,3,0.0,22.0,0,0,9.0,0.0
81,1,3,0.0,29.0,0,0,9.5,0.0
83,0,1,0.0,28.0,0,0,47.1,0.0
84,1,2,1.0,17.0,0,0,10.5,0.0
85,1,3,1.0,33.0,3,0,15.85,0.0
86,0,3,0.0,16.0,1,3,34.375,0.0
88,1,1,1.0,23.0,3,2,263.0,0.0
89,0,3,0.0,24.0,0,0,8.05,0.0
90,0,3,0.0,29.0,0,0,8.05,0.0
91,0,3,0.0,20.0,0,0,7.8542,0.0
92,0,1,0.0,46.0,1,0,61.175,0.0
93,0,3,0.0,26.0,1,2,20.575,0.0
94,0,3,0.0,59.0,0,0,7.25,0.0
96,0,1,0.0,71.0,0,0,34.6542,1.0
97,1,1,0.0,23.0,0,1,63.3583,1.0
98,1,2,1.0,34.0,0,1,23.0,0.0
99,0,2,0.0,34.0,1,0,26.0,0.0
100,0,3,1.0,28.0,0,0,7.8958,0.0
102,0,1,0.0,21.0,0,1,77.2875,0.0
103,0,3,0.0,33.0,0,0,8.6542,0.0
104,0,3,0.0,37.0,2,0,7.925,0.0
105,0,3,0.0,28.0,0,0,7.8958,0.0
106,1,3,1.0,21.0,0,0,7.65,0.0
108,0,3,0.0,38.0,0,0,7.8958,0.0
110,0,1,0.0,47.0,0,0,52.0,0.0
111,0,3,1.0,14.5,1,0,14.4542,1.0
112,0,3,0.0,22.0,0,0,8.05,0.0
113,0,3,1.0,20.0,1,0,9.825,0.0
114,0,3,1.0,17.0,0,0,14.4583,1.0
115,0,3,0.0,21.0,0,0,7.925,0.0
116,0,3,0.0,70.5,0,0,7.75,2.0
117,0,2,0.0,29.0,1,0,21.0,0.0
118,0,1,0.0,24.0,0,1,247.5208,1.0
119,0,3,1.0,2.0,4,2,31.275,0.0
120,0,2,0.0,21.0,2,0,73.5,0.0
122,0,2,0.0,32.5,1,0,30.0708,1.0
123,1,2,1.0,32.5,0,0,13.0,0.0
124,0,1,0.0,54.0,0,1,77.2875,0.0
125,1,3,0.0,12.0,1,0,11.2417,1.0
127,1,3,0.0,24.0,0,0,7.1417,0.0
129,0,3,0.0,45.0,0,0,6.975,0.0
130,0,3,0.0,33.0,0,0,7.8958,1.0
131,0,3,0.0,20.0,0,0,7.05,0.0
132,0,3,1.0,47.0,1,0,14.5,0.0
133,1,2,1.0,29.0,1,0,26.0,0.0
134,0,2,0.0,25.0,0,0,13.0,0.0
135,0,2,0.0,23.0,0,0,15.0458,1.0
136,1,1,1.0,19.0,0,2,26.2833,0.0
137,0,1,0.0,37.0,1,0,53.1,0.0
138,0,3,0.0,16.0,0,0,9.2167,0.0
139,0,1,0.0,24.0,0,0,79.2,1.0
141,1,3,1.0,22.0,0,0,7.75,0.0
142,1,3,1.0,24.0,1,0,15.85,0.0
143,0,3,0.0,19.0,0,0,6.75,2.0
144,0,2,0.0,18.0,0,0,11.5,0.0
145,0,2,0.0,19.0,1,1,36.75,0.0
146,1,3,0.0,27.0,0,0,7.7958,0.0
147,0,3,1.0,9.0,2,2,34.375,0.0
148,0,2,0.0,36.5,0,2,26.0,0.0
149,0,2,0.0,42.0,0,0,13.0,0.0
150,0,2,0.0,51.0,0,0,12.525,0.0
151,1,1,1.0,22.0,1,0,66.6,0.0
152,0,3,0.0,55.5,0,0,8.05,0.0
153,0,3,0.0,40.5,0,2,14.5,0.0
155,0,1,0.0,51.0,0,1,61.3792,1.0
156,1,3,1.0,16.0,0,0,7.7333,2.0
157,0,3,0.0,30.0,0,0,8.05,0.0
160,0,3,0.0,44.0,0,1,16.1,0.0
